stat,bets,wins,losses,win_pct,section,confidence_label,prediction,hit_rate_bucket
AST,3,1,2,0.333,by_stat,,,
PTS,86,46,40,0.535,by_stat,,,
REB,3,2,1,0.667,by_stat,,,
,56,35,21,0.625,by_confidence,High,,
,14,7,7,0.5,by_confidence,Low,,
,22,7,15,0.318,by_confidence,Medium,,
,48,18,30,0.375,by_side,,OVER,
,42,29,13,0.69,by_side,,UNDER,
,2,2,0,1.0,by_side,,,
,4,2,2,0.5,by_hit_rate,,,<=55%
,15,7,8,0.467,by_hit_rate,,,55-60%
,11,3,8,0.273,by_hit_rate,,,60-65%
,7,4,3,0.571,by_hit_rate,,,65-70%
,32,21,11,0.656,by_hit_rate,,,70%+
