LINES_PLAYER,PROJECTION_PLAYER,PLAYER_KEY,RAW_STAT,NORMALIZED_STAT,LINE,PROJECTION
Alex Caruso,Alex Caruso,alex caruso,3-PT Made,FG3M,2.0,2.09
Alex Caruso,Alex Caruso,alex caruso,Blks+Stls,SB,1.5,1.82
Alex Caruso,Alex Caruso,alex caruso,Fantasy Score,FANTASY,25.0,25.33
Alex Caruso,Alex Caruso,alex caruso,Free Throws Attempted,FTA,1.5,2.39
Alex Caruso,Alex Caruso,alex caruso,Free Throws Made,FTM,1.5,1.64
Alex Caruso,Alex Caruso,alex caruso,Points,PTS,10.5,12.5
Alex Caruso,Alex Caruso,alex caruso,Pts+Asts,PA,13.5,15.15
Alex Caruso,Alex Caruso,alex caruso,Pts+Rebs,PR,14.0,15.06
Alex Caruso,Alex Caruso,alex caruso,Pts+Rebs+Asts,PRA,17.0,17.71
Alex Caruso,Alex Caruso,alex caruso,Rebs+Asts,RA,3.5,5.21
Alex Caruso,Alex Caruso,alex caruso,Turnovers,TOV,0.5,0.74
Cason Wallace,Cason Wallace,cason wallace,3-PT Made,FG3M,1.5,1.94
Cason Wallace,Cason Wallace,cason wallace,Blks+Stls,SB,1.5,2.65
Cason Wallace,Cason Wallace,cason wallace,Defensive Rebounds,DREB,2.5,2.78
Cason Wallace,Cason Wallace,cason wallace,Fantasy Score,FANTASY,23.5,27.58
Cason Wallace,Cason Wallace,cason wallace,Free Throws Attempted,FTA,0.5,1.24
Cason Wallace,Cason Wallace,cason wallace,Free Throws Made,FTM,0.5,0.82
Cason Wallace,Cason Wallace,cason wallace,Offensive Rebounds,OREB,0.5,1.29
Cason Wallace,Cason Wallace,cason wallace,Points,PTS,9.0,10.58
Cason Wallace,Cason Wallace,cason wallace,Pts+Asts,PA,11.5,13.21
Cason Wallace,Cason Wallace,cason wallace,Pts+Rebs,PR,12.5,14.59
Cason Wallace,Cason Wallace,cason wallace,Pts+Rebs+Asts,PRA,15.0,17.22
Cason Wallace,Cason Wallace,cason wallace,Rebounds,REB,3.5,4.01
Cason Wallace,Cason Wallace,cason wallace,Rebs+Asts,RA,6.0,6.64
