date,player,team,matchup,bet,line,projection,edge,model_confidence,bet_confidence,result,actual,stat,confidence_label,prediction,stddev,hit_rate,raw_stat
2026-03-27,Clint Capela,HOU,HOU @ MEM,UNDER REB,11.5,3.9,-7.6,LOW,10.0,WIN,5.0,REB,High,,,,
2026-03-27,Trae Young,WAS,WAS @ GSW,UNDER AST,10.5,6.2,-4.3,LOW,10.0,,,AST,High,,,,
2026-03-27,Jaylen Brown,BOS,BOS vs. ATL,OVER PTS,23.5,25.4,1.9,HIGH,5.7,WIN,31.0,PTS,Medium,,,,
2026-03-27,Kristaps Porziņģis,GSW,GSW vs. WAS,UNDER PTS,21.5,15.2,-6.3,LOW,10.0,PENDING,,PTS,High,,,,
2026-03-27,Jamal Murray,DEN,DEN vs. UTA,OVER PTS,23.5,29.7,6.2,LOW,10.0,PENDING,,PTS,High,,,,
2026-03-27,Collin Sexton,CHI,CHI @ OKC,OVER PTS,12.5,17.8,5.3,LOW,10.0,PENDING,,PTS,High,,,,
2026-03-27,Alperen Sengun,HOU,HOU @ MEM,OVER PTS,20.5,25.7,5.2,MEDIUM,10.0,PENDING,,PTS,High,,,,
2026-03-27,Bilal Coulibaly,WAS,WAS @ GSW,OVER PTS,11.5,16.7,5.2,MEDIUM,10.0,PENDING,,PTS,High,,,,
2026-03-27,Luka Dončić,LAL,LAL vs. BKN,OVER PTS,32.0,37.0,5.0,HIGH,10.0,PENDING,,PTS,High,,,,
2026-03-27,Pelle Larsson,MIA,MIA @ CLE,OVER PTS,10.5,15.3,4.8,MEDIUM,10.0,PENDING,,PTS,High,,,,
2026-03-27,Peyton Watson,DEN,DEN vs. UTA,OVER PTS,12.5,17.3,4.8,LOW,10.0,PENDING,,PTS,High,,,,
2026-03-27,Bub Carrington,WAS,WAS @ GSW,OVER PTS,9.5,14.3,4.8,LOW,10.0,PENDING,,PTS,High,,,,
2026-03-27,Cody Williams,UTA,UTA @ DEN,OVER PTS,14.5,19.1,4.6,MEDIUM,10.0,PENDING,,PTS,High,,,,
2026-03-28,Josh Giddey,CHI,CHI @ MEM,UNDER PTS,19.5,11.89,-7.61,0.772,10.0,WIN,18.0,PTS,High,UNDER,,,
2026-03-28,Cody Williams,UTA,UTA @ PHX,OVER PTS,14.5,20.53,6.03,0.65,10.0,LOSS,0.0,PTS,High,OVER,,,
2026-03-28,VJ Edgecombe,PHI,PHI @ CHA,OVER PTS,15.5,21.0,5.5,0.85,10.0,LOSS,13.0,PTS,High,OVER,,,
2026-03-28,Joel Embiid,PHI,PHI @ CHA,OVER PTS,26.5,31.28,4.78,0.65,10.0,WIN,29.0,PTS,High,OVER,,,
2026-03-28,Naz Reid,MIN,MIN vs. DET,UNDER PTS,15.5,11.12,-4.38,0.72,10.0,WIN,8.0,PTS,High,UNDER,,,
2026-03-28,DeMar DeRozan,SAC,SAC @ ATL,OVER PTS,17.5,21.64,4.14,0.65,10.0,WIN,22.0,PTS,High,OVER,,,
