PLAYER,TEAM,MATCHUP,CONFIDENCE,MIN,PTS,REB,AST,STL,BLK,3PM,TOV,PRA,PR,PA,RA,SB,FANTASY
Victor Wembanyama,SAS,SAS vs. MIN,Medium,31.7,26.8,12.1,3.4,1.1,4.8,1.9,2.1,42.3,38.9,30.2,15.5,5.9,63.0
Karl-Anthony Towns,NYK,NYK vs. PHI,High,32.8,18.0,11.0,6.8,1.6,1.2,1.2,2.5,35.8,29.0,24.8,17.8,2.9,48.1
Joel Embiid,PHI,PHI @ NYK,High,34.6,24.7,8.1,4.9,0.5,1.2,1.2,2.0,37.7,32.8,29.6,13.0,1.7,45.6
Tyrese Maxey,PHI,PHI @ NYK,High,38.3,23.0,4.9,5.1,1.2,0.6,2.5,1.3,33.1,27.9,28.2,10.0,1.8,41.9
Jalen Brunson,NYK,NYK vs. PHI,High,37.3,25.3,2.9,6.5,1.1,0.1,2.2,2.3,34.7,28.2,31.9,9.4,1.1,40.8
OG Anunoby,NYK,NYK vs. PHI,High,34.8,19.8,7.5,1.8,1.5,1.1,2.6,0.7,29.0,27.3,21.6,9.2,2.6,39.9
Stephon Castle,SAS,SAS vs. MIN,High,33.8,18.9,4.9,6.7,0.9,0.3,2.0,2.9,30.5,23.8,25.6,11.6,1.2,36.5
De'Aaron Fox,SAS,SAS vs. MIN,High,35.0,19.0,3.7,6.2,1.0,0.4,1.8,2.0,29.0,22.7,25.2,10.0,1.4,36.0
Julius Randle,MIN,MIN @ SAS,High,34.0,19.4,6.4,4.0,0.7,0.2,1.3,2.3,29.8,25.8,23.4,10.5,0.8,33.9
Jaden McDaniels,MIN,MIN @ SAS,High,35.5,17.2,6.2,2.3,0.7,0.8,0.9,1.4,25.8,23.5,19.5,8.5,1.5,31.6
Paul George,PHI,PHI @ NYK,High,36.4,15.9,4.4,3.0,1.5,0.4,2.8,1.6,23.4,20.3,18.9,7.5,1.9,31.1
Devin Vassell,SAS,SAS vs. MIN,High,33.6,12.6,5.5,2.3,1.3,0.8,1.6,1.3,20.4,18.1,14.9,7.8,2.1,28.5
VJ Edgecombe,PHI,PHI @ NYK,High,35.9,12.1,6.2,3.0,1.0,0.6,1.5,1.4,21.4,18.4,15.2,9.3,1.6,28.3
Josh Hart,NYK,NYK vs. PHI,High,34.0,10.5,7.2,3.7,1.1,0.2,1.1,1.5,21.5,17.7,14.3,10.9,1.2,27.5
