player,stat_type,line
Aaron Gordon,PTS,15.5
Aaron Gordon,REB,5.0
Ajay Mitchell,PTS,11.5
Alex Caruso,PTS,5.5
Alex Caruso,REB,2.5
Alperen Sengun,AST,6.0
Alperen Sengun,PTS,19.5
Alperen Sengun,REB,9.0
Amen Thompson,AST,5.0
Amen Thompson,PTS,18.5
Amen Thompson,REB,8.0
Andrew Nembhard,PTS,16.5
Andrew Wiggins,3PM,1.5
Andrew Wiggins,PTS,14.5
Andrew Wiggins,REB,4.5
Bam Adebayo,PTS,23.5
Bam Adebayo,REB,10.5
Baylor Scheierman,PTS,6.5
Baylor Scheierman,REB,4.5
Ben Sheppard,PTS,7.5
Bilal Coulibaly,PTS,13.0
Bilal Coulibaly,REB,3.5
Brandin Podziemski,AST,4.5
Brandin Podziemski,PTS,15.5
Brandin Podziemski,REB,6.0
Brandon Ingram,3PM,1.5
Brandon Ingram,AST,3.5
Brandon Ingram,PTS,22.5
Brandon Ingram,REB,5.0
Brandon Miller,PTS,19.0
Brandon Miller,REB,5.0
Bub Carrington,AST,4.5
Bub Carrington,PTS,11.5
Cameron Johnson,PTS,10.5
Chet Holmgren,PTS,14.5
Chet Holmgren,REB,8.0
Chet Holmgren,STL,0.5
Christian Braun,PTS,11.0
Christian Braun,REB,4.0
Christian Braun,STL,0.5
Coby White,PTS,13.5
Collin Murray-Boyles,PTS,7.5
Collin Murray-Boyles,STL,0.5
Davion Mitchell,AST,6.0
Davion Mitchell,PTS,9.0
De'Anthony Melton,3PM,1.5
De'Anthony Melton,AST,2.5
De'Anthony Melton,PTS,14.5
Dejounte Murray,3PM,1.5
Dejounte Murray,AST,6.0
Dejounte Murray,PTS,15.5
Dejounte Murray,REB,5.0
Deni Avdija,AST,7.0
Deni Avdija,PTS,26.5
Deni Avdija,REB,7.0
Derik Queen,REB,5.0
Derik Queen,STL,0.5
Derrick White,AST,5.0
Derrick White,PTS,18.0
Derrick White,REB,4.0
Desmond Bane,AST,4.0
Desmond Bane,PTS,21.5
Devin Carter,PTS,15.5
Devin Carter,REB,4.5
Donovan Clingan,PTS,16.5
