PLAYER_NAME,PLAYER_TYPE,STAT,LINE,RAW_STAT_TYPE,RAW_DESCRIPTION,OPPONENT,BOARD_TIME,START_TIME,UPDATED_AT,SLATE_DATE,GAME_ID,GROUP_KEY,ODDS_TYPE,ADJUSTED_ODDS,FLASH_SALE_LINE_SCORE,IS_PROMO,IN_GAME,IS_LIVE,PROJECTION_TYPE,STATUS,PAYLOAD_RANK,LEAGUE,SELECTION_REASON,PLAYABLE_STANDARD,PLAYABILITY_REASON
Agustín Ramírez,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,STL,STL,2026-04-20T22:40:41.414-04:00,2026-04-21T18:40:00.000-04:00,2026-04-20T23:28:14.462-04:00,2026-04-21,MLB_game_nkOKNdvgNH4WyNIW0pgv5lwc,237311-282-MLB_game_nkOKNdvgNH4WyNIW0pgv5lwc-11-false,standard,,,False,False,False,Single Stat,pre_game,901,MLB,explicit_standard_odds_type,True,clean_standard
Alex Bregman,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,PHI,PHI,2026-04-20T22:13:09.410-04:00,2026-04-21T19:40:00.000-04:00,2026-04-20T22:14:24.409-04:00,2026-04-21,MLB_game_LTrPyOjSzAitVCQM9YmqPWuJ,303400-282-MLB_game_LTrPyOjSzAitVCQM9YmqPWuJ-11-false,standard,,,False,False,False,Single Stat,pre_game,2961,MLB,explicit_standard_odds_type,True,clean_standard
Amed Rosario,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,BOS,BOS,2026-04-21T00:10:02.003-04:00,2026-04-21T18:45:00.000-04:00,2026-04-21T00:19:13.302-04:00,2026-04-21,MLB_game_PDkMRIj6Lb495VL4W7oageqO,250301-282-MLB_game_PDkMRIj6Lb495VL4W7oageqO-11-false,standard,,,False,False,False,Single Stat,pre_game,1781,MLB,explicit_standard_odds_type,True,clean_standard
Andrew Benintendi,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,AZ,AZ,2026-04-21T03:24:58.783-04:00,2026-04-21T21:40:00.000-04:00,2026-04-21T03:59:54.041-04:00,2026-04-21,MLB_game_HaBTmkABHg8zYix6IZWoeaDF,127166-282-MLB_game_HaBTmkABHg8zYix6IZWoeaDF-11-false,standard,,,False,False,False,Single Stat,pre_game,5374,MLB,explicit_standard_odds_type,True,clean_standard
Andy Pages,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,SF,SF,2026-04-21T02:13:11.492-04:00,2026-04-21T21:45:00.000-04:00,2026-04-21T02:17:58.052-04:00,2026-04-21,MLB_game_GsojfZA5IqOLQub6ThbWhtBp,137904-282-MLB_game_GsojfZA5IqOLQub6ThbWhtBp-11-false,standard,,,False,False,False,Single Stat,pre_game,5695,MLB,explicit_standard_odds_type,True,clean_standard
Brandon Lowe,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,TEX,TEX,2026-04-20T22:28:49.131-04:00,2026-04-21T20:05:00.000-04:00,2026-04-20T22:47:44.987-04:00,2026-04-21,MLB_game_QemEKAorzPz79NgTeCvEZ9pY,308573-282-MLB_game_QemEKAorzPz79NgTeCvEZ9pY-11-false,standard,,,False,False,False,Single Stat,pre_game,3762,MLB,explicit_standard_odds_type,True,clean_standard
Bryan Reynolds,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,TEX,TEX,2026-04-20T22:28:51.124-04:00,2026-04-21T20:05:00.000-04:00,2026-04-20T23:58:59.432-04:00,2026-04-21,MLB_game_QemEKAorzPz79NgTeCvEZ9pY,67525-282-MLB_game_QemEKAorzPz79NgTeCvEZ9pY-11-false,standard,,,False,False,False,Single Stat,pre_game,3764,MLB,explicit_standard_odds_type,True,clean_standard
Bryce Harper,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,CHC,CHC,2026-04-20T22:13:12.406-04:00,2026-04-21T19:40:00.000-04:00,2026-04-20T22:23:52.910-04:00,2026-04-21,MLB_game_LTrPyOjSzAitVCQM9YmqPWuJ,73988-282-MLB_game_LTrPyOjSzAitVCQM9YmqPWuJ-11-false,standard,,,False,False,False,Single Stat,pre_game,2967,MLB,explicit_standard_odds_type,True,clean_standard
Byron Buxton,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,NYM,NYM,2026-04-20T17:10:13.436-04:00,2026-04-21T19:10:00.000-04:00,2026-04-20T17:30:38.884-04:00,2026-04-21,MLB_game_HzO8AFxSEkbkYtu9czDoTss3,67509-282-MLB_game_HzO8AFxSEkbkYtu9czDoTss3-11-false,standard,,,False,False,False,Single Stat,pre_game,2539,MLB,explicit_standard_odds_type,True,clean_standard
CJ Abrams,HITTER,H+R+RBI,1.5,Hits+Runs+RBIs,ATL,ATL,2026-04-20T23:52:33.472-04:00,2026-04-21T18:45:00.000-04:00,2026-04-21T00:09:27.596-04:00,2026-04-21,MLB_game_rGEaL323NveTDgbIGJuK2Utl,70998-282-MLB_game_rGEaL323NveTDgbIGJuK2Utl-11-false,standard,,,False,False,False,Single Stat,pre_game,2128,MLB,explicit_standard_odds_type,True,clean_standard
