team,k_pct,pa,so,source,fetched_date
Arizona Diamondbacks,0.2007,2401,482,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Athletics,0.222,2495,554,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Atlanta Braves,0.2067,2496,516,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Baltimore Orioles,0.2367,2505,593,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Boston Red Sox,0.2196,2373,521,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Chicago Cubs,0.2127,2586,550,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Chicago White Sox,0.2406,2485,598,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Cincinnati Reds,0.2442,2437,595,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Cleveland Guardians,0.2051,2506,514,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Colorado Rockies,0.2384,2496,595,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Detroit Tigers,0.2266,2476,561,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Houston Astros,0.2163,2533,548,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Kansas City Royals,0.2154,2488,536,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Los Angeles Angels,0.2493,2499,623,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Los Angeles Dodgers,0.2022,2522,510,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Miami Marlins,0.223,2462,549,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Milwaukee Brewers,0.2045,2450,501,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Minnesota Twins,0.2285,2525,577,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
New York Mets,0.2195,2415,530,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
New York Yankees,0.2302,2415,556,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Philadelphia Phillies,0.2264,2412,546,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Pittsburgh Pirates,0.2347,2595,609,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
San Diego Padres,0.2335,2317,541,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
San Francisco Giants,0.2106,2483,523,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Seattle Mariners,0.2314,2498,578,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
St. Louis Cardinals,0.212,2410,511,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Tampa Bay Rays,0.1909,2378,454,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Texas Rangers,0.2278,2419,551,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Toronto Blue Jays,0.191,2466,471,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
Washington Nationals,0.2133,2560,546,"FanGraphs team batting (full-season, PA-weighted)",2026-06-09
