market,bin,rows,avg_pred_prob,actual_rate,abs_gap
winner_red,"(-0.001, 0.2]",145,0.1221,0.0,0.1221
winner_red,"(0.2, 0.4]",51,0.2722,0.1373,0.135
winner_red,"(0.4, 0.6]",32,0.4982,0.5938,0.0956
winner_red,"(0.6, 0.8]",37,0.718,0.7568,0.0388
winner_red,"(0.8, 1.0]",202,0.9062,0.9802,0.074
inside_distance,"(0.2, 0.4]",158,0.3531,0.019,0.3342
inside_distance,"(0.4, 0.6]",196,0.491,0.6122,0.1213
inside_distance,"(0.6, 0.8]",89,0.6748,0.9888,0.314
inside_distance,"(0.8, 1.0]",24,0.8517,1.0,0.1483
under_1_5,"(-0.001, 0.2]",53,0.1868,0.0,0.1868
under_1_5,"(0.2, 0.4]",316,0.2677,0.1899,0.0778
under_1_5,"(0.4, 0.6]",67,0.4979,0.9254,0.4275
under_1_5,"(0.6, 0.8]",25,0.688,1.0,0.312
under_1_5,"(0.8, 1.0]",6,0.8357,1.0,0.1643
under_2_5,"(0.2, 0.4]",226,0.3351,0.0575,0.2776
under_2_5,"(0.4, 0.6]",158,0.4935,0.7658,0.2724
under_2_5,"(0.6, 0.8]",63,0.6847,0.9841,0.2995
under_2_5,"(0.8, 1.0]",20,0.8547,1.0,0.1453
under_3_5,"(0.2, 0.4]",8,0.3094,0.0,0.3094
under_3_5,"(0.4, 0.6]",3,0.4834,0.0,0.4834
under_3_5,"(0.6, 0.8]",17,0.7194,0.4706,0.2489
under_3_5,"(0.8, 1.0]",439,0.9765,0.9977,0.0212
under_4_5,"(0.2, 0.4]",8,0.305,0.0,0.305
under_4_5,"(0.4, 0.6]",3,0.472,0.3333,0.1387
under_4_5,"(0.6, 0.8]",15,0.7184,0.4667,0.2518
under_4_5,"(0.8, 1.0]",441,0.9807,0.9977,0.017
