event_name,event_date,fight_id,card_position,card_label,fight_title,weight_class,scheduled_rounds,predicted_winner,predicted_winner_pct,confidence_tier,red_win_pct,blue_win_pct,ko_tko_pct,submission_pct,decision_pct,inside_distance_pct,fight_time_mins,red_takedowns,blue_takedowns
UFC Freedom 250,2026-06-14,174ba941e1e9,1,Main Event,Ilia Topuria vs Justin Gaethje,Lightweight,3,Ilia Topuria,74.2,medium,74.2,25.8,23.6,30.7,45.7,54.3,10.2084,2.0663,0.1856
UFC Freedom 250,2026-06-14,5298e5e0a60d,2,Co-Main Event,Alex Pereira vs Ciryl Gane,Heavyweight,3,Alex Pereira,75.2,medium,75.2,24.8,22.9,16.9,60.2,39.8,12.2387,0.651,0.7806
UFC Freedom 250,2026-06-14,93b6d0ca7a9c,3,Card Position 3,Sean O'Malley vs Aiemann Zahabi,Bantamweight,3,Sean O'Malley,81.4,high,81.4,18.6,31.2,11.7,57.2,42.8,12.0336,0.4145,0.5493
UFC Freedom 250,2026-06-14,4fe79fd63f72,4,Card Position 4,Josh Hokit vs Derrick Lewis,Heavyweight,3,Josh Hokit,79.1,medium,79.1,20.9,36.7,12.6,50.7,49.3,8.897,4.0705,0.1355
UFC Freedom 250,2026-06-14,f5e57e5647fc,5,Card Position 5,Mauricio Ruffy vs Michael Chandler,Lightweight,3,Mauricio Ruffy,71.5,medium,71.5,28.5,22.2,9.6,68.3,31.7,13.142,0.4084,2.4116
UFC Freedom 250,2026-06-14,0a00520d9348,6,Card Position 6,Bo Nickal vs Kyle Daukaus,Middleweight,3,Bo Nickal,86.4,high,86.4,13.6,29.2,15.2,55.6,44.4,11.0931,1.4945,0.1476
UFC Freedom 250,2026-06-14,8f7de25dba61,7,Card Position 7,Diego Lopes vs Steve Garcia,Featherweight,3,Diego Lopes,66.0,medium,66.0,34.0,21.7,24.3,54.0,46.0,11.1183,1.2906,0.5119
UFC Freedom 250,2026-06-14,3ed90fd59696,8,Card Position 8,Manel Kape vs Kyoji Horiguchi,Flyweight,3,Manel Kape,77.5,medium,77.5,22.5,22.7,11.9,65.3,34.7,12.6546,0.5089,1.4459
UFC Freedom 250,2026-06-14,dc02d6ce620e,9,Card Position 9,Ion Cutelaba vs Navajo Stirling,Light Heavyweight,3,Ion Cutelaba,67.6,medium,67.6,32.4,27.4,16.9,55.7,44.3,11.3618,1.8137,0.1245
UFC Freedom 250,2026-06-14,7ef6b3551787,10,Card Position 10,Giga Chikadze vs Vinicius Oliveira,Featherweight,3,Giga Chikadze,60.2,competitive,60.2,39.8,25.7,9.2,65.1,34.9,12.8527,0.1879,1.3696
