date,market,player_name,line,play,edge,confidence_score,confidence,STAT,matchup_pitcher,opponent,hit_prob,tb2_prob,hr_prob,rbi_prob,projected_value,predicted_strikeouts,projected_hitter_strikeouts,actual_stat,result,graded
2026-04-16,HITTER_K,Gary Sánchez,2.5,UNDER,-1.32,7.3,Medium,K,Patrick Corbin,,,,,,,,1.18,,,
2026-04-16,HITTER_K,Garrett Mitchell,2.5,UNDER,-1.25,7.0,Medium,K,Patrick Corbin,,,,,,,,1.25,,,
2026-04-16,HITTER_K,James Wood,2.5,UNDER,-1.25,7.0,Medium,K,Braxton Ashcraft,,,,,,,,1.25,,,
2026-04-16,HITTER_HIT,Daulton Varsho,0.5,OVER,0.18,3.2,Low,HIT,Brandon Sproat,,58.6,27.4,2.2,14.3,0.68,,,,,
2026-04-16,HITTER_HIT,Jackson Merrill,0.5,OVER,0.15,3.0,Low,HIT,Luis Castillo,,57.4,31.2,4.9,16.7,0.65,,,,,
2026-04-16,HITTER_HIT,Jesús Sánchez,0.5,OVER,0.14,2.9,Low,HIT,Brandon Sproat,,57.2,30.8,4.5,17.0,0.64,,,,,
2026-04-19,PITCHER_OUTS,Michael Lorenzen,14.0,UNDER,-2.88,7.2,Medium,OUTS,,Los Angeles Dodgers,,,,,11.12,,,,,
2026-04-19,PITCHER_OUTS,Bailey Ober,16.5,UNDER,-2.69,6.8,Medium,OUTS,,Cincinnati Reds,,,,,13.81,,,,,
2026-04-19,PITCHER_OUTS,Jacob Misiorowski,16.5,UNDER,-2.38,6.3,Low,OUTS,,Miami Marlins,,,,,14.12,,,,,
2026-04-19,HITTER_K,Nathan Lukes,0.5,OVER,1.01,6.0,Low,K,Ryne Nelson,,,,,,,,1.51,,,
2026-04-19,HITTER_K,Yandy Díaz,0.5,OVER,1.0,6.0,Low,K,Mitch Keller,,,,,,,,1.5,,,
2026-04-19,HITTER_K,Luis García Jr.,0.5,OVER,0.94,5.8,Low,K,Robbie Ray,,,,,,,,1.44,,,
2026-04-19,PITCHER_K,Cole Ragans,6.5,UNDER,-1.38,5.7,Low,K,,New York Yankees,,,,,0.71,5.12,,,,
2026-04-19,PITCHER_K,Andrew Painter,4.5,OVER,1.81,5.0,Low,K,,Atlanta Braves,,,,,0.677,6.31,,,,
