date,market,bets,wins,losses,pushes,win_rate
2026-03-26,HITTER_HIT,19,19,0,0,100.0
2026-03-26,PITCHER_K,14,8,6,0,57.1
2026-03-27,HITTER_HIT,20,20,0,0,100.0
2026-03-27,PITCHER_K,15,11,4,0,73.3
2026-03-28,HITTER_HIT,1,1,0,0,100.0
2026-03-28,PITCHER_K,4,4,0,0,100.0
2026-03-29,HITTER_HIT,5,2,3,0,40.0
2026-03-30,HITTER_HIT,2,2,0,0,100.0
2026-03-30,PITCHER_K,3,0,3,0,0.0
2026-03-31,HITTER_HIT,7,3,4,0,42.9
2026-03-31,HITTER_RBI,4,2,2,0,50.0
2026-03-31,PITCHER_K,4,3,1,0,75.0
2026-03-31,PITCHER_OUTS,3,0,3,0,0.0
2026-04-01,HITTER_HIT,3,1,2,0,33.3
2026-04-01,HITTER_HR,3,0,3,0,0.0
2026-04-01,HITTER_HRRBI,3,2,1,0,66.7
2026-04-01,HITTER_RBI,3,1,2,0,33.3
2026-04-02,HITTER_HIT,1,1,0,0,100.0
2026-04-02,HITTER_HRRBI,1,0,1,0,0.0
2026-04-02,HITTER_RBI,3,1,2,0,33.3
2026-04-03,HITTER_HIT,5,3,2,0,60.0
2026-04-03,HITTER_HR,3,1,2,0,33.3
2026-04-04,HITTER_HIT,3,2,1,0,66.7
2026-04-04,PITCHER_K,3,3,0,0,100.0
