player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Aaron Judge,New York Yankees,Boston Red Sox,Connelly Early,6,4.13,5.68,0.0,5.0,14.0,Low
CJ Abrams,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.11,5.24,0.0,5.0,12.0,Medium
Bryce Harper,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.14,5.16,0.0,3.0,14.0,Low
Brice Turang,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.15,4.99,0.0,5.0,12.0,Medium
Corbin Carroll,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.08,4.81,0.0,3.0,12.0,Medium
Austin Martin,Minnesota Twins,New York Mets,Nolan McLean,6,4.15,4.79,0.0,5.0,11.0,Medium
Cody Bellinger,New York Yankees,Boston Red Sox,Connelly Early,6,4.15,4.71,0.0,3.0,12.0,Medium
Bobby Witt Jr.,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.08,4.71,0.0,5.0,11.0,Medium
Ben Rice,New York Yankees,Boston Red Sox,Connelly Early,6,4.19,4.68,0.0,3.0,12.0,Medium
Brayan Rocchio,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.08,4.65,0.0,3.0,11.0,Medium
Jordan Walker,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.13,4.63,0.0,3.0,12.0,Medium
Hyeseong Kim,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.11,4.55,0.0,4.0,10.0,Medium
Geraldo Perdomo,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.06,4.47,0.0,3.0,11.0,Medium
Mike Trout,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.11,4.46,0.0,3.0,12.0,Medium
Angel Martínez,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.05,4.42,0.0,3.0,10.0,Medium
Alex Call,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.11,4.41,0.0,3.0,11.0,Medium
Andy Pages,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.14,4.4,0.0,3.0,10.0,Medium
JJ Wetherholt,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.13,4.35,0.0,3.0,11.0,Medium
Christian Vázquez,Houston Astros,Cleveland Guardians,Parker Messick,6,4.12,4.34,0.0,3.0,12.0,Medium
Oswald Peraza,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.07,4.33,0.0,3.0,12.0,Medium
Elly De La Cruz,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.12,4.33,0.0,3.0,11.0,Medium
Iván Herrera,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.13,4.33,0.0,3.0,11.0,Medium
Andrés Giménez,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.1,4.33,0.0,3.0,10.0,Medium
José Ramírez,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.07,4.32,0.0,3.0,12.0,Medium
Drake Baldwin,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.15,4.28,0.0,3.0,10.0,Medium
Daniel Schneemann,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.06,4.27,0.0,3.0,12.0,Medium
Sal Stewart,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.14,4.26,0.0,3.0,12.0,Medium
Christian Walker,Houston Astros,Cleveland Guardians,Parker Messick,6,4.13,4.26,0.0,3.0,11.0,Medium
Darell Hernaiz,Athletics,Seattle Mariners,Luis Castillo,6,4.11,4.24,0.0,3.0,10.0,Medium
Max Muncy,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.12,4.23,0.0,3.0,11.0,Medium
Dustin Harris,Houston Astros,Cleveland Guardians,Parker Messick,6,4.1,4.21,0.0,3.0,10.0,Medium
Dominic Smith,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.13,4.21,0.0,3.0,10.0,Medium
Dalton Rushing,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.11,4.21,0.0,3.0,10.0,Medium
Chandler Simpson,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.06,4.19,0.0,3.0,10.0,Medium
Dillon Dingler,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.07,4.18,0.0,3.0,10.0,Medium
Garrett Mitchell,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.14,4.17,0.0,3.0,10.0,Medium
