date,hitter_name,hitter_id,pitcher_name,pitcher_id,hit_prob,tb2_prob,hr_prob,rbi_prob,actual_hits,actual_tb,actual_hr,actual_rbi,season_avg,season_obp,season_slg,season_ops,xBA,xSLG,xwOBA,xISO,xOBP,vs_lhp_avg,vs_rhp_avg,vs_lhp_ops,vs_rhp_ops,barrel_rate,hard_hit_rate,avg_ev,max_ev,sweet_spot_rate,last_30_avg,last_30_obp,last_30_slg,last_30_ops,last_7_ops,last_15_ops,pitcher_k_pct,pitcher_bb_pct,pitcher_swstr,pitcher_csw
2026-03-26,Kyle Schwarber,656941,Nathan Eovaldi,543135,50.8,41.0,27.9,30.9,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Shohei Ohtani,660271,Zac Gallen,668678,50.3,41.9,13.2,13.8,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Cal Raleigh,663728,Tanner Bibee,676440,49.2,48.1,24.8,26.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Brice Turang,668930,Shane Smith,681343,47.3,38.8,9.4,13.1,2.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Josh Naylor,647304,Tanner Bibee,676440,46.7,35.8,10.2,12.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Ketel Marte,606466,Yoshinobu Yamamoto,808967,46.5,43.3,6.3,7.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Trea Turner,607208,Nathan Eovaldi,543135,46.5,35.9,7.7,8.7,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Bo Bichette,666182,Paul Skenes,694973,46.3,39.8,6.0,7.6,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Carlos Correa,621043,José Soriano,667755,46.2,32.0,13.4,16.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Geraldo Perdomo,672695,Yoshinobu Yamamoto,808967,46.0,36.3,8.1,8.5,2.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Juan Soto,665742,Paul Skenes,694973,45.7,33.4,7.8,7.3,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Nico Hoerner,663538,Cade Cavalli,676917,45.6,34.7,10.4,13.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Alec Bohm,664761,Nathan Eovaldi,543135,44.9,36.9,11.5,13.8,1.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Alec Burleson,676475,Drew Rasmussen,656876,44.3,36.8,10.0,12.6,3.0,6.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Freddie Freeman,518692,Zac Gallen,668678,44.3,35.8,10.0,11.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Brendan Donovan,680977,Tanner Bibee,676440,44.2,35.1,11.7,12.5,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Gunnar Henderson,683002,Joe Ryan,657746,44.1,40.5,12.9,14.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Ryan O'Hearn,656811,Freddy Peralta,642547,44.1,38.8,10.7,14.6,2.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,CJ Abrams,682928,Matthew Boyd,571510,44.1,38.2,13.1,16.2,1.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Sal Frelick,686217,Shane Smith,681343,43.9,37.4,10.8,13.8,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Trevor Story,596115,Andrew Abbott,671096,43.2,38.5,11.1,14.1,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Corbin Carroll,682998,Yoshinobu Yamamoto,808967,42.7,45.8,13.4,14.6,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Lenyn Sosa,672820,Jacob Misiorowski,694819,42.7,39.6,0.9,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Spencer Torkelson,679529,Nick Pivetta,601713,42.1,39.8,14.4,17.7,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Gavin Sheets,657757,Tarik Skubal,669373,41.9,36.7,11.4,14.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Mike Trout,545361,Hunter Brown,686613,41.9,35.7,11.8,15.5,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Spencer Steer,668715,Garrett Crochet,676979,41.6,32.3,0.9,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Nolan Schanuel,694384,Hunter Brown,686613,41.6,31.4,12.2,16.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Brandon Lowe,664040,Freddy Peralta,642547,41.5,39.1,12.9,15.9,2.0,8.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Trevor Larnach,663616,Trevor Rogers,669432,41.5,26.9,1.4,1.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Jose Altuve,514888,José Soriano,667755,41.4,37.9,13.9,16.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Steven Kwan,680757,Logan Gilbert,669302,41.4,34.7,0.6,1.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Willson Contreras,575929,Andrew Abbott,671096,41.1,37.7,9.6,12.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Mookie Betts,605141,Zac Gallen,668678,41.1,27.3,7.4,9.8,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Ke'Bryan Hayes,663647,Garrett Crochet,676979,41.1,21.3,0.1,0.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Taylor Ward,621493,Joe Ryan,657746,41.0,37.7,16.0,20.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,James Wood,695578,Matthew Boyd,571510,40.7,36.2,10.0,12.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Riley Greene,682985,Nick Pivetta,601713,40.5,39.6,15.5,18.4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,TJ Friedl,670770,Garrett Crochet,676979,40.4,32.5,11.2,15.8,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Ian Happ,664023,Cade Cavalli,676917,40.3,34.2,12.5,15.8,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Ceddanne Rafaela,678882,Andrew Abbott,671096,40.3,29.2,0.4,0.3,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Joey Ortiz,687401,Shane Smith,681343,40.3,18.6,0.6,0.3,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Caleb Durbin,702332,Andrew Abbott,671096,40.1,33.0,0.8,1.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Brandon Nimmo,607043,Cristopher Sánchez,650911,39.9,37.4,11.4,13.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Josh Bell,605137,Trevor Rogers,669432,39.8,32.2,12.1,16.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Jarren Duran,680776,Andrew Abbott,671096,39.7,38.2,12.8,13.9,2.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Fernando Tatis Jr.,665487,Tarik Skubal,669373,39.7,35.4,7.0,9.1,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,Zach Neto,687263,Hunter Brown,686613,39.6,37.7,10.8,14.2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
