Pitcher,Pitcher_ID,Team,Opponent,Pitcher_K_Pct,Pitcher_BB_Pct,K_per_9,Estimated_IP,Projected_Outs,Opponent_K_Pct,Opponent_wOBA,Opponent_OPS,Park_Factor,Pitcher_Putaway_Pct,Pitcher_Fastball_Pct,Pitcher_Breaking_Pct,Pitcher_Offspeed_Pct,Pitcher_Avg_Velo,Starter_Role_Score,Data_Quality,Data_Source,Raw_Strikeouts,Projected_Strikeouts,Source,season_k_pct,season_bb_pct,k_pct_last_30d,bb_pct_last_30d,swstr_pct_last_30d,csw_pct_last_30d,season_ip_per_start,ip_last_3_starts_avg,pitches_last_3_starts_avg,days_rest,opponent_k_pct,opponent_woba,opponent_ops,home_flag,park_factor,implied_pitch_count,Sim_Mean_Strikeouts,Sim_Median_Strikeouts,Sim_Std_Strikeouts,Sim_P10_Strikeouts,Sim_P25_Strikeouts,Sim_P75_Strikeouts,Sim_P90_Strikeouts,Sim_Mean_Outs,Sim_Median_Outs,Sim_Std_Outs,Sim_P10_Outs,Sim_P25_Outs,Sim_P75_Outs,Sim_P90_Outs,Sim_Estimated_IP,MonteCarlo_Shape,Sim_Prob_Over_4_5,Sim_Prob_Over_5_5,Sim_Prob_Over_6_5,Sim_Prob_Over_7_5,Sim_Prob_Over_8_5,Sim_Prob_Over_Outs_14_5,Sim_Prob_Over_Outs_15_5,Sim_Prob_Over_Outs_17_5,Sim_Prob_Over_Outs_18_5,Seq_Sim_Mean_Strikeouts,Seq_Sim_Median_Strikeouts,Seq_Sim_Std_Strikeouts,Seq_Sim_P10_Strikeouts,Seq_Sim_P25_Strikeouts,Seq_Sim_P75_Strikeouts,Seq_Sim_P90_Strikeouts,Seq_Sim_Mean_Outs,Seq_Sim_Median_Outs,Seq_Sim_Std_Outs,Seq_Sim_P10_Outs,Seq_Sim_P25_Outs,Seq_Sim_P75_Outs,Seq_Sim_P90_Outs,Seq_Sim_Prob_Over_4_5,Seq_Sim_Prob_Over_5_5,Seq_Sim_Prob_Over_6_5,Seq_Sim_Prob_Over_7_5,Seq_Sim_Prob_Over_8_5,Seq_Sim_Estimated_IP,Seq_Sim_Prob_Over_Outs_14_5,Seq_Sim_Prob_Over_Outs_15_5,Seq_Sim_Prob_Over_Outs_17_5,Seq_Sim_Prob_Over_Outs_18_5,Simulation_Based_Outs,Simulation_Based_IP,Volume_Based_Strikeouts,Simulation_Based_Strikeouts,Model_Projected_Strikeouts,Model_Projected_Outs,Projected_IP
Gavin Williams,668909,Cleveland Guardians,Tampa Bay Rays,26.8,11.6,9.89,5.96,19.22,21.3,0.357,0.707,99.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,6.28,6.48,blended_2025_2026,0.26821,0.115523,0.267784,0.107171,0.11,0.28,5.9557,6.445,93.862,5.0,0.213085,0.357415,0.7072,1.0,99.0,95.986439,4.62,5.0,3.32,2.0,3.0,6.0,7.0,19.37,20.0,2.49,16.0,18.0,21.0,21.0,6.46,9.8973,0.5082,0.311,0.158,0.0707,0.0271,0.9036,0.8115,0.5326,0.3706,4.62,5.0,1.93,2.0,3.0,6.0,7.0,19.37,20.0,2.04,16.0,18.0,21.0,21.0,0.5082,0.311,0.158,0.0707,0.0271,6.46,0.9715,0.941,0.8184,0.7136,19.22,6.41,6.0,5.77,6.63,17.87,6.41
Tyler Glasnow,607192,Los Angeles Dodgers,Miami Marlins,30.2,10.8,10.69,6.02,19.36,20.7,0.358,0.708,102.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,7.14,6.48,blended_2025_2026,0.302487,0.107963,0.306846,0.111077,0.11,0.28,6.0165,6.328,91.521,5.35,0.20672,0.357923,0.708447,1.0,102.0,96.510677,4.91,5.0,3.35,2.0,4.0,6.0,7.0,19.5,20.0,2.4,17.0,18.0,21.0,21.0,6.5,10.5413,0.5706,0.3604,0.1983,0.0965,0.039,0.9052,0.8142,0.5212,0.3604,4.91,5.0,1.95,2.0,4.0,6.0,7.0,19.5,20.0,1.98,17.0,18.0,21.0,21.0,0.5706,0.3604,0.1983,0.0965,0.039,6.5,0.9745,0.9494,0.8323,0.7408,19.36,6.45,6.75,6.55,7.74,18.05,6.45
Peter Lambert,663567,Houston Astros,Baltimore Orioles,33.3,8.3,13.09,5.39,15.8,24.7,0.357,0.705,100.0,27.0,48.0,32.0,20.0,92.8,0.667,unknown,unknown,6.82,6.48,current_2026,0.333333,0.083333,0.333333,0.083333,0.11,0.28,5.39,5.5,93.0,5.0,0.247034,0.35668,0.705017,0.0,100.0,84.088851,4.69,5.0,2.96,2.0,3.0,6.0,7.0,15.76,16.0,2.19,13.0,14.0,18.0,19.0,5.25,9.8293,0.5205,0.3227,0.1727,0.0775,0.0279,0.4313,0.2657,0.0605,0.0223,4.69,5.0,1.92,2.0,3.0,6.0,7.0,15.76,16.0,2.34,13.0,14.0,18.0,19.0,0.5205,0.3227,0.1727,0.0775,0.0279,5.25,0.7055,0.5637,0.2774,0.1333,15.8,5.27,6.13,6.56,7.48,16.17,5.27
Tarik Skubal,669373,Detroit Tigers,Atlanta Braves,30.3,4.3,10.51,6.13,18.05,19.3,0.371,0.733,102.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,6.86,6.48,blended_2025_2026,0.303088,0.043466,0.302759,0.046177,0.11,0.28,6.1295,6.2457,95.346,5.35,0.19312,0.370781,0.732697,0.0,102.0,98.323309,4.01,4.0,3.3,2.0,3.0,5.0,6.0,18.01,19.0,2.37,15.0,17.0,19.0,21.0,6.0,10.6437,0.3743,0.2034,0.0905,0.0366,0.0111,0.9299,0.8488,0.5678,0.4009,4.01,4.0,1.82,2.0,3.0,5.0,6.0,18.01,19.0,2.17,15.0,17.0,19.0,21.0,0.3743,0.2034,0.0905,0.0366,0.0111,6.0,0.9266,0.8618,0.6484,0.5045,18.05,6.02,5.89,5.9,7.5,18.39,6.02
George Kirby,669923,Seattle Mariners,Minnesota Twins,23.7,5.8,8.74,6.14,18.56,23.0,0.356,0.704,100.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,5.03,5.5,blended_2025_2026,0.236796,0.057603,0.232763,0.056166,0.11,0.28,6.1437,5.688,90.226,5.0,0.229793,0.355684,0.703882,0.0,100.0,99.016385,4.35,4.0,3.18,2.0,3.0,6.0,7.0,18.58,19.0,2.51,15.0,17.0,20.0,21.0,6.19,10.1149,0.4399,0.2564,0.1339,0.0565,0.0214,0.8967,0.8006,0.5187,0.3606,4.35,4.0,1.9,2.0,3.0,6.0,7.0,18.58,19.0,2.18,15.0,17.0,20.0,21.0,0.4399,0.2564,0.1339,0.0565,0.0214,6.19,0.9469,0.8969,0.7144,0.5923,18.56,6.19,5.12,4.99,5.62,18.43,6.19
Taj Bradley,671737,Minnesota Twins,Seattle Mariners,22.5,9.0,8.59,5.69,17.78,23.4,0.361,0.715,100.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,5.98,5.5,blended_2025_2026,0.224952,0.090338,0.215478,0.087262,0.11,0.28,5.6851,6.096,96.762,5.0,0.233864,0.361494,0.714845,1.0,100.0,91.62525,4.5,4.0,3.11,2.0,3.0,6.0,7.0,17.86,18.0,2.41,15.0,16.0,20.0,20.0,5.95,8.7089,0.4784,0.2854,0.1462,0.0673,0.0266,0.8065,0.6728,0.352,0.2081,4.5,4.0,1.93,2.0,3.0,6.0,7.0,17.86,18.0,2.21,15.0,16.0,20.0,20.0,0.4784,0.2854,0.1462,0.0673,0.0266,5.95,0.9121,0.8414,0.6201,0.4821,17.78,5.93,5.11,4.88,5.4,17.06,5.93
Cristopher Sánchez,650911,Philadelphia Phillies,San Francisco Giants,26.9,5.8,10.16,5.82,17.46,21.1,0.349,0.691,103.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,5.8,5.5,blended_2025_2026,0.269122,0.058316,0.269122,0.058316,0.11,0.28,5.8213,5.9382,97.5,5.0,0.210776,0.349443,0.691118,1.0,103.0,93.379473,3.92,4.0,3.18,2.0,3.0,5.0,6.0,17.46,18.0,2.27,14.0,16.0,19.0,20.0,5.82,9.4714,0.3556,0.1777,0.0793,0.0323,0.0101,0.836,0.7003,0.3589,0.21,3.92,4.0,1.78,2.0,3.0,5.0,6.0,17.46,18.0,2.16,14.0,16.0,19.0,20.0,0.3556,0.1777,0.0793,0.0323,0.0101,5.82,0.8882,0.8099,0.5626,0.4235,17.46,5.82,5.26,5.2,6.29,17.46,5.82
Logan Webb,657277,San Francisco Giants,Philadelphia Phillies,24.0,6.3,9.05,6.14,19.04,21.8,0.361,0.713,103.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,7.04,5.5,blended_2025_2026,0.239659,0.06319,0.239659,0.06319,0.11,0.28,6.1433,6.2595,98.054,5.35,0.218476,0.360976,0.713371,0.0,103.0,98.544675,4.49,4.0,3.28,2.0,3.0,6.0,7.0,19.11,20.0,2.34,16.0,18.0,20.0,21.0,6.37,9.9455,0.4778,0.29,0.1461,0.0674,0.0238,0.932,0.8549,0.5777,0.4079,4.49,4.0,1.91,2.0,3.0,6.0,7.0,19.11,20.0,1.87,16.0,18.0,20.0,21.0,0.4778,0.29,0.1461,0.0674,0.0238,6.37,0.972,0.9407,0.8125,0.7134,19.04,6.35,5.62,5.34,6.38,18.43,6.35
Nathan Eovaldi,543135,Texas Rangers,New York Yankees,24.8,4.8,8.9,5.74,17.54,23.9,0.376,0.743,103.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,5.27,5.5,blended_2025_2026,0.247955,0.047751,0.243225,0.050699,0.11,0.28,5.7396,5.9727,94.396,5.0,0.238841,0.376337,0.7428,1.0,103.0,92.503612,4.32,4.0,3.11,2.0,3.0,5.0,7.0,17.57,18.0,2.32,14.0,16.0,19.0,20.0,5.86,9.352,0.4426,0.2497,0.1239,0.0524,0.0176,0.8156,0.6812,0.3451,0.2039,4.32,4.0,1.87,2.0,3.0,5.0,7.0,17.57,18.0,2.15,14.0,16.0,19.0,20.0,0.4426,0.2497,0.1239,0.0524,0.0176,5.86,0.8999,0.8206,0.5877,0.4481,17.54,5.84,5.16,5.07,5.7,17.22,5.85
Michael Wacha,608379,Kansas City Royals,Athletics,19.4,6.9,7.0,6.2,19.42,21.9,0.367,0.724,103.0,27.0,48.0,32.0,20.0,92.8,0.802,unknown,unknown,5.22,4.43,blended_2025_2026,0.19406,0.069307,0.19406,0.069307,0.11,0.28,6.1979,6.1818,90.667,5.0,0.219452,0.366657,0.724323,0.0,103.0,98.951116,4.34,4.0,2.92,2.0,3.0,6.0,7.0,19.51,20.0,2.31,17.0,18.0,21.0,21.0,6.5,9.1861,0.4434,0.2565,0.131,0.0554,0.0164,0.9291,0.8519,0.5663,0.3918,4.34,4.0,1.87,2.0,3.0,6.0,7.0,19.51,20.0,1.96,17.0,18.0,21.0,21.0,0.4434,0.2565,0.131,0.0554,0.0164,6.5,0.9768,0.9485,0.8371,0.7446,19.42,6.47,4.62,4.27,4.57,18.59,6.47
Bubba Chandler,696149,Pittsburgh Pirates,St. Louis Cardinals,23.9,6.3,8.76,5.31,15.03,21.7,0.357,0.706,98.0,27.0,48.0,32.0,20.0,92.8,0.751,unknown,unknown,4.77,4.43,blended_2025_2026,0.239153,0.06345,0.239153,0.06345,0.11,0.28,5.31,5.1931,84.0,5.25,0.216879,0.356823,0.706359,1.0,98.0,84.050822,3.46,3.0,2.86,1.0,2.0,5.0,6.0,14.93,15.0,2.19,12.0,14.0,16.0,17.0,4.98,7.4854,0.2587,0.1191,0.0415,0.0151,0.0034,0.4218,0.2535,0.057,0.022,3.46,3.0,1.69,1.0,2.0,5.0,6.0,14.93,15.0,1.95,12.0,14.0,16.0,17.0,0.2587,0.1191,0.0415,0.0151,0.0034,4.98,0.6335,0.473,0.083,0.0,15.03,5.01,4.05,4.07,4.66,15.93,5.01
Yusei Kikuchi,579328,Los Angeles Angels,Chicago White Sox,22.7,9.7,8.98,4.72,14.1,25.1,0.35,0.693,98.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,4.43,4.34,blended_2025_2026,0.22714,0.096539,0.231542,0.098974,0.11,0.28,4.7215,4.6543,75.169,5.0,0.250847,0.350017,0.692744,0.0,98.0,82.0,3.72,4.0,2.69,2.0,2.0,5.0,6.0,14.09,15.0,2.13,11.0,13.0,15.0,16.0,4.7,6.7413,0.3074,0.1527,0.0651,0.0227,0.006,0.1976,0.0915,0.0116,0.0028,3.72,4.0,1.75,2.0,2.0,5.0,6.0,14.09,15.0,1.91,11.0,13.0,15.0,16.0,0.3074,0.1527,0.0651,0.0227,0.006,4.7,0.5011,0.198,0.0,0.0,14.1,4.7,3.98,4.05,4.15,14.16,4.7
Jameson Taillon,592791,Chicago Cubs,San Diego Padres,20.0,6.6,7.24,5.74,17.51,21.4,0.355,0.702,98.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,4.41,4.16,blended_2025_2026,0.199687,0.066085,0.199687,0.066085,0.11,0.28,5.736,5.8914,92.391,5.0,0.213918,0.354698,0.701911,0.0,98.0,92.011176,4.03,4.0,2.83,2.0,3.0,5.0,6.0,17.54,18.0,2.27,14.0,16.0,19.0,20.0,5.85,7.8914,0.3799,0.2071,0.0971,0.036,0.0115,0.7987,0.6529,0.31,0.1738,4.03,4.0,1.83,2.0,3.0,5.0,6.0,17.54,18.0,2.17,14.0,16.0,19.0,20.0,0.3799,0.2071,0.0971,0.036,0.0115,5.85,0.8971,0.8181,0.5813,0.4364,17.51,5.84,4.14,3.93,4.02,17.21,5.84
