pitcher_name,team,opponent,projected_strikeouts,projected_outs,projected_ip,sim_mean,sim_mean_outs,range,recommended_play,recommendation_confidence,sportsbook_line,floor_p10,ceiling_p90,outs_floor_p10,outs_ceiling_p90,over_4_5_pct,over_5_5_pct,over_6_5_pct,over_7_5_pct,over_8_5_pct,best_over_line,best_over_prob_pct
Nolan McLean,New York Mets,Minnesota Twins,7.85,16.89,5.63,7.77,16.79,4.0-12.0,Over 6.5,Medium,6.5,4.0,12.0,14.0,20.0,83.6,74.1,62.9,51.0,39.7,6.5,62.9
Chase Burns,Cincinnati Reds,Tampa Bay Rays,6.97,14.98,4.99,6.95,14.81,3.0-11.0,Over 5.5,High,5.5,3.0,11.0,12.0,18.0,78.1,66.4,53.8,41.3,29.8,5.5,66.4
Connelly Early,Boston Red Sox,New York Yankees,6.01,12.92,4.31,6.72,12.72,3.0-11.0,Over 5.5,Medium,5.5,3.0,11.0,10.0,15.0,76.9,64.9,51.4,38.2,26.3,5.5,64.9
Yoshinobu Yamamoto,Los Angeles Dodgers,San Francisco Giants,6.78,17.98,5.99,6.76,17.9,3.0-11.0,Over 5.5,Medium,5.5,3.0,11.0,15.0,21.0,73.6,62.1,49.9,38.7,28.4,5.5,62.1
Kris Bubic,Kansas City Royals,Baltimore Orioles,7.12,15.92,5.31,6.94,15.79,3.0-11.0,Pass,Low,,3.0,11.0,13.0,19.0,75.1,64.2,52.9,41.5,30.9,6.5,52.9
Jesús Luzardo,Philadelphia Phillies,Chicago Cubs,7.02,15.82,5.27,6.78,15.68,3.0-11.0,Pass,Low,,3.0,11.0,13.0,18.0,74.9,63.6,51.2,39.2,28.2,6.5,51.2
Parker Messick,Cleveland Guardians,Houston Astros,6.17,17.73,5.91,6.19,17.64,2.0-10.0,Pass,Low,,2.0,10.0,15.0,21.0,67.2,55.0,43.5,32.5,23.0,5.5,55.0
Shota Imanaga,Chicago Cubs,Philadelphia Phillies,5.92,15.56,5.19,5.88,15.43,2.0-10.0,Pass,Low,6.5,2.0,10.0,13.0,18.0,64.0,51.4,39.7,28.7,20.0,6.5,39.7
Landen Roupp,San Francisco Giants,Los Angeles Dodgers,5.11,14.82,4.94,5.19,14.66,2.0-9.0,Pass,Low,,2.0,9.0,12.0,17.0,55.0,42.5,31.1,21.5,13.9,4.5,55.0
Jacob Lopez,Athletics,Seattle Mariners,5.19,13.04,4.35,5.11,12.88,2.0-9.0,Pass,Low,5.5,2.0,9.0,10.0,16.0,54.7,41.6,29.9,20.0,12.8,5.5,41.6
