date,pitcher_name,opponent,predicted_strikeouts,actual_strikeouts,pitcher_id,predicted_outs,actual_outs,season_k_pct,season_bb_pct,k_pct_last_30d,bb_pct_last_30d,swstr_pct_last_30d,csw_pct_last_30d,season_ip_per_start,ip_last_3_starts_avg,pitches_last_3_starts_avg,days_rest,opponent_k_pct,opponent_woba,opponent_ops,home_flag,park_factor,implied_pitch_count
2026-03-26,Tarik Skubal,San Diego Padres,8.26,6.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-26,Garrett Crochet,Cincinnati Reds,7.94,8.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-26,Paul Skenes,New York Mets,6.98,1.0,,,2.0,,,,,,,,,,,,,,,,
2026-03-26,Yoshinobu Yamamoto,Arizona Diamondbacks,6.9,6.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-26,Hunter Brown,Los Angeles Angels,6.8,9.0,,,14.0,,,,,,,,,,,,,,,,
2026-03-26,Joe Ryan,Baltimore Orioles,6.37,7.0,,,16.0,,,,,,,,,,,,,,,,
2026-03-26,Nick Pivetta,Detroit Tigers,6.26,4.0,,,9.0,,,,,,,,,,,,,,,,
2026-03-26,Freddy Peralta,Pittsburgh Pirates,6.25,7.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-26,Andrew Abbott,Boston Red Sox,5.4,4.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-26,Cristopher Sánchez,Texas Rangers,5.39,10.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-26,Jacob Misiorowski,Chicago White Sox,5.39,11.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-26,Logan Gilbert,Cleveland Guardians,5.39,7.0,,,16.0,,,,,,,,,,,,,,,,
2026-03-26,Trevor Rogers,Minnesota Twins,5.39,5.0,,,21.0,,,,,,,,,,,,,,,,
2026-03-26,Matthew Liberatore,Tampa Bay Rays,5.39,2.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-26,Matthew Boyd,Washington Nationals,5.36,7.0,,,11.0,,,,,,,,,,,,,,,,
2026-03-26,Nathan Eovaldi,Philadelphia Phillies,5.24,7.0,,,14.0,,,,,,,,,,,,,,,,
2026-03-26,José Soriano,Houston Astros,5.24,7.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-26,Drew Rasmussen,St. Louis Cardinals,5.24,2.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-26,Cade Cavalli,Chicago Cubs,5.24,5.0,,,11.0,,,,,,,,,,,,,,,,
2026-03-26,Shane Smith,Milwaukee Brewers,5.24,2.0,,,5.0,,,,,,,,,,,,,,,,
2026-03-26,Tanner Bibee,Seattle Mariners,5.21,7.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-26,Zac Gallen,Los Angeles Dodgers,5.14,2.0,,,12.0,,,,,,,,,,,,,,,,
2026-03-27,Kevin Gausman,Athletics,6.31,11.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-27,Framber Valdez,San Diego Padres,6.01,5.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-27,Robbie Ray,New York Yankees,5.99,4.0,,,16.0,,,,,,,,,,,,,,,,
2026-03-27,Gavin Williams,Seattle Mariners,5.48,7.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-27,Chris Sale,Kansas City Royals,5.39,6.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-27,Mike Burrows,Los Angeles Angels,5.39,6.0,,,17.0,,,,,,,,,,,,,,,,
2026-03-27,Michael King,Detroit Tigers,5.39,6.0,,,15.0,,,,,,,,,,,,,,,,
2026-03-27,George Kirby,Cleveland Guardians,5.39,6.0,,,18.0,,,,,,,,,,,,,,,,
2026-03-27,Emmet Sheehan,Arizona Diamondbacks,5.39,6.0,,,10.0,,,,,,,,,,,,,,,,
2026-03-27,Cam Schlittler,San Francisco Giants,5.24,8.0,,,16.0,,,,,,,,,,,,,,,,
2026-03-27,Cole Ragans,Atlanta Braves,5.24,5.0,,,12.0,,,,,,,,,,,,,,,,
2026-03-27,Ryne Nelson,Los Angeles Dodgers,5.24,4.0,,,14.0,,,,,,,,,,,,,,,,
2026-03-27,Yusei Kikuchi,Houston Astros,5.01,3.0,,,13.0,,,,,,,,,,,,,,,,
2026-03-27,Sandy Alcantara,Colorado Rockies,4.69,5.0,,,21.0,,,,,,,,,,,,,,,,
2026-03-27,Luis Severino,Toronto Blue Jays,4.07,3.0,,,15.0,,,,,,,,,,,,,,,,
