DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL
2026-03-29,Peyton Watson,DEN,,PTS,Points,OVER PTS,12.5,18.6,6.1,6.1,MEDIUM,0.72,Medium,,
2026-03-29,Karl-Anthony Towns,NYK,,PTS,Points,OVER PTS,17.0,22.3,5.3,5.3,MEDIUM,0.72,Medium,,
2026-03-29,Cameron Johnson,DEN,,PTS,Points,OVER PTS,10.5,15.1,4.6,4.6,MEDIUM,0.72,Medium,,
2026-03-29,Christian Braun,DEN,,PTS,Points,OVER PTS,10.5,14.7,4.2,4.2,MEDIUM,0.72,Medium,,
2026-03-29,Gary Payton,GSW,,PTS,Points,OVER PTS,10.5,14.1,3.6,3.6,MEDIUM,0.72,Medium,,
2026-03-29,OG Anunoby,NYK,,PTS,Points,OVER PTS,15.5,18.5,3.0,3.0,HIGH,0.84,High,,
2026-03-29,Mitchell Robinson,NYK,,PTS,Points,OVER PTS,4.5,7.5,3.0,3.0,LOW,0.56,Low,,
2026-03-29,Jamal Murray,DEN,,PTS,Points,OVER PTS,23.5,26.3,2.8,2.8,HIGH,0.84,High,,
2026-03-29,Ajay Mitchell,OKC,,PTS,Points,OVER PTS,11.5,13.6,2.1,2.1,MEDIUM,0.72,Medium,,
2026-03-29,Chet Holmgren,OKC,,PTS,Points,OVER PTS,15.0,17.0,2.0,2.0,MEDIUM,0.72,Medium,,
2026-03-29,Gui Santos,GSW,,PTS,Points,OVER PTS,15.5,17.4,1.9,1.9,HIGH,0.84,High,,
2026-03-29,Jabari Smith,HOU,,PTS,Points,OVER PTS,15.0,16.9,1.9,1.9,HIGH,0.84,High,,
2026-03-29,Josh Hart,NYK,,PTS,Points,OVER PTS,12.5,14.2,1.7,1.7,HIGH,0.84,High,,
2026-03-29,Saddiq Bey,NOP,,PTS,Points,OVER PTS,16.5,17.8,1.3,1.3,HIGH,0.84,High,,
2026-03-29,Amen Thompson,HOU,,PTS,Points,OVER PTS,18.5,19.7,1.2,1.2,HIGH,0.84,High,,
2026-03-29,Tim Hardaway,DEN,,PTS,Points,OVER PTS,11.5,12.7,1.2,1.2,MEDIUM,0.72,Medium,,
2026-03-29,Alperen Sengun,HOU,,PTS,Points,OVER PTS,19.5,20.6,1.1,1.1,HIGH,0.84,High,,
2026-03-29,Jalen Brunson,NYK,,PTS,Points,OVER PTS,23.5,24.6,1.1,1.1,HIGH,0.84,High,,
2026-03-29,Dejounte Murray,NOP,,PTS,Points,OVER PTS,16.5,17.6,1.1,1.1,MEDIUM,0.72,Medium,,
2026-03-29,Kevin Durant,HOU,,PTS,Points,OVER PTS,24.5,25.5,1.0,1.0,HIGH,0.84,High,,
2026-03-29,Brandin Podziemski,GSW,,PTS,Points,OVER PTS,15.5,16.3,0.8,0.8,HIGH,0.84,High,,
2026-03-29,Jalen Williams,OKC,,PTS,Points,OVER PTS,16.5,17.2,0.7,0.7,MEDIUM,0.72,Medium,,
2026-03-29,Alex Caruso,OKC,,PTS,Points,OVER PTS,5.5,6.0,0.5,0.5,LOW,0.56,Low,,
2026-03-29,Draymond Green,GSW,,PTS,Points,OVER PTS,8.5,8.9,0.4,0.4,HIGH,0.84,High,,
2026-03-29,Herbert Jones,NOP,,PTS,Points,OVER PTS,9.0,9.4,0.4,0.4,HIGH,0.84,High,,
2026-03-29,Derik Queen,NOP,,PTS,Points,OVER PTS,8.0,8.2,0.2,0.2,LOW,0.56,Low,,
2026-03-29,Zion Williamson,NOP,,PTS,Points,OVER PTS,20.5,20.6,0.1,0.1,HIGH,0.84,High,,
2026-03-29,Mikal Bridges,NYK,,PTS,Points,UNDER PTS,12.5,9.1,-3.4,3.4,HIGH,0.84,High,,
2026-03-29,Nikola Jokić,DEN,,PTS,Points,UNDER PTS,26.5,23.1,-3.4,3.4,HIGH,0.84,High,,
2026-03-29,Kristaps Porziņģis,GSW,,PTS,Points,UNDER PTS,19.5,17.1,-2.4,2.4,MEDIUM,0.72,Medium,,
2026-03-29,Isaiah Hartenstein,OKC,,PTS,Points,UNDER PTS,7.5,5.8,-1.7,1.7,LOW,0.56,Low,,
2026-03-29,Aaron Gordon,DEN,,PTS,Points,UNDER PTS,15.5,13.9,-1.6,1.6,MEDIUM,0.72,Medium,,
2026-03-29,Tari Eason,HOU,,PTS,Points,UNDER PTS,9.0,7.5,-1.5,1.5,LOW,0.56,Low,,
2026-03-29,Reed Sheppard,HOU,,PTS,Points,UNDER PTS,14.5,13.1,-1.4,1.4,HIGH,0.84,High,,
2026-03-29,Shai Gilgeous-Alexander,OKC,,PTS,Points,UNDER PTS,30.5,29.7,-0.8,0.8,HIGH,0.84,High,,
2026-03-29,Luguentz Dort,OKC,,PTS,Points,UNDER PTS,7.5,6.7,-0.8,0.8,LOW,0.56,Low,,
2026-03-29,Trey Murphy,NOP,,PTS,Points,UNDER PTS,20.5,20.2,-0.3,0.3,HIGH,0.84,High,,
2026-03-29,Cason Wallace,OKC,,PTS,Points,UNDER PTS,7.5,7.3,-0.2,0.2,MEDIUM,0.72,Medium,,
2026-03-29,De'Anthony Melton,GSW,,PTS,Points,UNDER PTS,14.5,14.4,-0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Mitchell Robinson,NYK,,REB,Rebounds,OVER REB,6.5,9.6,3.1,3.1,LOW,0.56,Low,,
2026-03-29,Nikola Jokić,DEN,,AST,Assists,OVER AST,11.0,13.3,2.3,2.3,HIGH,0.84,High,,
2026-03-29,Isaiah Hartenstein,OKC,,REB,Rebounds,OVER REB,8.0,9.9,1.9,1.9,LOW,0.56,Low,,
2026-03-29,Jalen Brunson,NYK,,AST,Assists,OVER AST,7.0,8.8,1.8,1.8,HIGH,0.84,High,,
2026-03-29,Nikola Jokić,DEN,,REB,Rebounds,OVER REB,13.0,14.4,1.4,1.4,HIGH,0.84,High,,
2026-03-29,Karl-Anthony Towns,NYK,,REB,Rebounds,OVER REB,10.5,11.9,1.4,1.4,MEDIUM,0.72,Medium,,
2026-03-29,Shai Gilgeous-Alexander,OKC,,AST,Assists,OVER AST,6.0,7.2,1.2,1.2,HIGH,0.84,High,,
2026-03-29,Alex Caruso,OKC,,REB,Rebounds,OVER REB,2.5,3.6,1.1,1.1,LOW,0.56,Low,,
2026-03-29,Luguentz Dort,OKC,,REB,Rebounds,OVER REB,2.5,3.5,1.0,1.0,LOW,0.56,Low,,
2026-03-29,Tari Eason,HOU,,REB,Rebounds,OVER REB,5.5,6.5,1.0,1.0,LOW,0.56,Low,,
2026-03-29,Amen Thompson,HOU,,REB,Rebounds,OVER REB,8.0,8.8,0.8,0.8,HIGH,0.84,High,,
2026-03-29,Trey Murphy,NOP,,REB,Rebounds,OVER REB,5.0,5.8,0.8,0.8,HIGH,0.84,High,,
2026-03-29,Dejounte Murray,NOP,,REB,Rebounds,OVER REB,5.0,5.8,0.8,0.8,MEDIUM,0.72,Medium,,
2026-03-29,Jalen Williams,OKC,,AST,Assists,OVER AST,4.5,5.3,0.8,0.8,MEDIUM,0.72,Medium,,
2026-03-29,Derik Queen,NOP,,REB,Rebounds,OVER REB,4.5,5.3,0.8,0.8,LOW,0.56,Low,,
2026-03-29,Gui Santos,GSW,,AST,Assists,OVER AST,3.5,4.2,0.7,0.7,HIGH,0.84,High,,
2026-03-29,Isaiah Hartenstein,OKC,,AST,Assists,OVER AST,3.5,4.2,0.7,0.7,LOW,0.56,Low,,
2026-03-29,Draymond Green,GSW,,AST,Assists,OVER AST,5.5,6.1,0.6,0.6,HIGH,0.84,High,,
2026-03-29,Dejounte Murray,NOP,,AST,Assists,OVER AST,6.0,6.6,0.6,0.6,MEDIUM,0.72,Medium,,
2026-03-29,Jabari Smith,HOU,,REB,Rebounds,OVER REB,7.0,7.5,0.5,0.5,HIGH,0.84,High,,
2026-03-29,Peyton Watson,DEN,,REB,Rebounds,OVER REB,4.0,4.5,0.5,0.5,MEDIUM,0.72,Medium,,
2026-03-29,Jamal Murray,DEN,,REB,Rebounds,OVER REB,4.0,4.4,0.4,0.4,HIGH,0.84,High,,
2026-03-29,Saddiq Bey,NOP,,REB,Rebounds,OVER REB,4.5,4.9,0.4,0.4,HIGH,0.84,High,,
2026-03-29,Aaron Gordon,DEN,,REB,Rebounds,OVER REB,5.0,5.4,0.4,0.4,MEDIUM,0.72,Medium,,
2026-03-29,Chet Holmgren,OKC,,REB,Rebounds,OVER REB,8.0,8.4,0.4,0.4,MEDIUM,0.72,Medium,,
2026-03-29,Christian Braun,DEN,,REB,Rebounds,OVER REB,4.0,4.4,0.4,0.4,MEDIUM,0.72,Medium,,
2026-03-29,Peyton Watson,DEN,,AST,Assists,OVER AST,2.5,2.9,0.4,0.4,MEDIUM,0.72,Medium,,
2026-03-29,Draymond Green,GSW,,REB,Rebounds,OVER REB,5.0,5.3,0.3,0.3,HIGH,0.84,High,,
2026-03-29,OG Anunoby,NYK,,REB,Rebounds,OVER REB,4.5,4.8,0.3,0.3,HIGH,0.84,High,,
2026-03-29,Shai Gilgeous-Alexander,OKC,,REB,Rebounds,OVER REB,4.0,4.3,0.3,0.3,HIGH,0.84,High,,
2026-03-29,Trey Murphy,NOP,,AST,Assists,OVER AST,3.5,3.8,0.3,0.3,HIGH,0.84,High,,
2026-03-29,Luguentz Dort,OKC,,AST,Assists,OVER AST,0.5,0.8,0.3,0.3,LOW,0.56,Low,,
2026-03-29,De'Anthony Melton,GSW,,AST,Assists,OVER AST,2.5,2.7,0.2,0.2,MEDIUM,0.72,Medium,,
2026-03-29,Gary Payton,GSW,,REB,Rebounds,OVER REB,5.0,5.2,0.2,0.2,MEDIUM,0.72,Medium,,
2026-03-29,Kevin Durant,HOU,,REB,Rebounds,OVER REB,5.0,5.1,0.1,0.1,HIGH,0.84,High,,
2026-03-29,De'Anthony Melton,GSW,,REB,Rebounds,OVER REB,4.5,4.6,0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Kristaps Porziņģis,GSW,,AST,Assists,OVER AST,2.5,2.6,0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Tim Hardaway,DEN,,AST,Assists,OVER AST,1.5,1.6,0.1,0.1,MEDIUM,0.72,Medium,,
2026-03-29,Herbert Jones,NOP,,AST,Assists,UNDER AST,4.5,2.8,-1.7,1.7,HIGH,0.84,High,,
2026-03-29,Cason Wallace,OKC,,REB,Rebounds,UNDER REB,4.5,2.8,-1.7,1.7,MEDIUM,0.72,Medium,,
2026-03-29,Zion Williamson,NOP,,REB,Rebounds,UNDER REB,6.5,4.9,-1.6,1.6,HIGH,0.84,High,,
2026-03-29,OG Anunoby,NYK,,AST,Assists,UNDER AST,3.5,2.1,-1.4,1.4,HIGH,0.84,High,,
2026-03-29,Cameron Johnson,DEN,,AST,Assists,UNDER AST,3.5,2.2,-1.3,1.3,MEDIUM,0.72,Medium,,
2026-03-29,Alperen Sengun,HOU,,REB,Rebounds,UNDER REB,9.0,7.8,-1.2,1.2,HIGH,0.84,High,,
2026-03-29,Zion Williamson,NOP,,AST,Assists,UNDER AST,3.5,2.4,-1.1,1.1,HIGH,0.84,High,,
2026-03-29,Cameron Johnson,DEN,,REB,Rebounds,UNDER REB,4.5,3.4,-1.1,1.1,MEDIUM,0.72,Medium,,
2026-03-29,Tim Hardaway,DEN,,REB,Rebounds,UNDER REB,3.5,2.4,-1.1,1.1,MEDIUM,0.72,Medium,,
2026-03-29,Cason Wallace,OKC,,AST,Assists,UNDER AST,3.5,2.5,-1.0,1.0,MEDIUM,0.72,Medium,,
2026-03-29,Josh Hart,NYK,,AST,Assists,UNDER AST,4.5,3.8,-0.7,0.7,HIGH,0.84,High,,
