PLAYER,TEAM,MATCHUP,CONFIDENCE,MIN,PTS,REB,AST,STL,BLK,3PM,TOV,PRA,PR,PA,RA,SB,FANTASY
Nikola Jokić,DEN,DEN @ MIN,High,38.6,28.1,13.0,10.9,1.5,1.1,1.3,2.3,52.1,41.2,39.1,24.0,2.6,66.2
Shai Gilgeous-Alexander,OKC,OKC @ PHX,High,37.0,33.4,3.9,8.4,1.2,0.5,1.7,2.5,45.7,37.3,41.8,12.3,1.8,54.3
Devin Booker,PHX,PHX vs. OKC,High,35.4,29.7,4.0,6.4,0.9,0.3,2.2,2.2,40.0,33.6,36.0,10.4,1.2,46.4
Jamal Murray,DEN,DEN @ MIN,High,36.7,24.9,4.2,6.3,0.9,0.7,3.6,1.7,35.5,29.1,31.3,10.5,1.6,44.3
Jalen Brunson,NYK,NYK @ ATL,High,37.9,24.7,3.1,8.1,1.2,0.1,1.9,2.2,35.9,27.8,32.8,11.2,1.3,43.2
Paolo Banchero,ORL,ORL vs. DET,High,35.3,19.6,9.3,5.9,1.2,0.4,0.8,3.0,34.7,28.8,25.4,15.1,1.6,41.8
Cade Cunningham,DET,DET @ ORL,Medium,32.7,18.4,4.5,9.8,1.1,0.4,1.6,2.7,32.7,22.9,28.2,14.3,1.6,41.4
Chet Holmgren,OKC,OKC @ PHX,Medium,28.1,18.2,8.7,2.0,1.1,2.3,1.6,1.4,28.9,26.9,20.2,10.7,3.4,41.4
Karl-Anthony Towns,NYK,NYK @ ATL,High,30.8,18.7,10.0,4.5,1.0,0.5,1.2,2.1,33.2,28.7,23.2,14.5,1.5,40.4
Jalen Johnson,ATL,ATL vs. NYK,High,36.8,18.3,8.8,5.7,0.8,0.4,1.6,2.9,32.8,27.1,24.0,14.5,1.2,39.0
Jalen Duren,DET,DET @ ORL,High,33.7,19.9,9.6,3.5,0.6,0.9,0.2,2.2,32.9,29.5,23.4,13.0,1.5,38.9
Anthony Edwards,MIN,MIN vs. DEN,Medium,34.5,23.6,3.8,3.7,1.2,0.7,2.5,2.6,31.1,27.4,27.3,7.5,1.9,38.0
Dyson Daniels,ATL,ATL vs. NYK,High,34.6,13.2,8.1,5.5,2.1,0.4,0.9,1.5,26.7,21.2,18.6,13.5,2.4,37.3
Nickeil Alexander-Walker,ATL,ATL vs. NYK,High,36.2,22.2,3.4,3.0,1.3,0.8,3.5,1.8,28.7,25.7,25.2,6.5,2.1,37.2
Julius Randle,MIN,MIN vs. DEN,High,35.1,21.1,5.4,4.6,1.0,0.2,1.4,2.3,31.1,26.5,25.7,10.0,1.2,36.5
CJ McCollum,ATL,ATL vs. NYK,High,32.3,17.8,3.3,4.9,1.6,0.8,2.6,1.5,26.0,21.1,22.8,8.2,2.4,36.0
Ayo Dosunmu,MIN,MIN vs. DEN,High,34.8,17.3,5.4,4.2,1.3,0.4,1.6,1.9,27.0,22.8,21.6,9.7,1.7,34.3
Jalen Green,PHX,PHX vs. OKC,Medium,30.3,19.7,4.1,3.5,0.9,0.8,1.8,2.3,27.3,23.8,23.2,7.6,1.8,33.7
Jalen Suggs,ORL,ORL vs. DET,High,33.5,14.0,4.2,6.2,1.6,0.5,3.0,2.3,24.4,18.2,20.2,10.4,2.0,33.7
Jaden McDaniels,MIN,MIN vs. DEN,High,34.0,17.2,4.5,2.3,1.3,1.3,1.3,1.3,24.0,21.7,19.5,6.8,2.6,33.1
Desmond Bane,ORL,ORL vs. DET,Medium,32.4,17.9,3.6,3.7,1.3,0.7,1.8,1.7,25.1,21.4,21.5,7.2,2.0,32.8
OG Anunoby,NYK,NYK @ ATL,Medium,35.8,17.1,5.3,2.2,0.8,0.9,3.0,1.2,24.6,22.4,19.3,7.5,1.8,32.3
Daniss Jenkins,DET,DET @ ORL,Medium,33.5,13.5,4.0,7.4,1.0,0.4,1.1,2.3,24.9,17.5,20.9,11.4,1.4,32.0
Cameron Johnson,DEN,DEN @ MIN,High,34.0,15.6,4.7,3.3,1.2,0.5,2.2,0.9,23.6,20.3,18.9,8.0,1.7,31.5
Naz Reid,MIN,MIN vs. DEN,High,31.0,13.8,6.2,1.8,1.3,1.5,1.6,1.6,21.8,20.0,15.6,7.9,2.8,31.5
Ausar Thompson,DET,DET @ ORL,High,28.0,8.8,5.4,4.0,2.3,1.4,0.2,1.6,18.2,14.2,12.8,9.4,3.6,30.7
Mitchell Robinson,NYK,NYK @ ATL,High,22.0,9.2,9.4,1.0,1.4,1.5,0.2,0.4,19.7,18.6,10.3,10.4,3.0,30.6
Aaron Gordon,DEN,DEN @ MIN,High,32.7,15.6,5.4,3.2,0.6,0.4,1.4,1.1,24.1,20.9,18.7,8.5,1.1,29.7
Branden Carlson,OKC,OKC @ PHX,Medium,21.7,12.6,5.8,2.0,0.8,1.3,1.6,0.5,20.4,18.4,14.6,7.8,2.1,29.2
Dillon Brooks,PHX,PHX vs. OKC,High,30.2,17.9,3.7,2.1,0.9,0.2,1.7,1.4,23.7,21.6,20.0,5.8,1.1,28.2
Paul Reed,DET,DET @ ORL,Medium,18.0,11.6,6.1,1.8,1.0,1.2,0.3,0.8,19.5,17.7,13.4,7.9,2.3,27.7
Rudy Gobert,MIN,MIN vs. DEN,High,27.2,8.4,9.5,1.5,0.7,1.4,0.2,1.2,19.4,17.9,9.9,11.0,2.1,27.2
Onyeka Okongwu,ATL,ATL vs. NYK,High,31.4,11.8,5.9,2.2,0.8,0.9,1.2,1.3,19.9,17.7,14.0,8.1,1.7,26.6
Franz Wagner,ORL,ORL vs. DET,High,26.1,17.2,3.4,2.4,0.5,0.3,1.3,1.5,23.0,20.6,19.7,5.8,0.8,26.5
Terrence Shannon Jr.,MIN,MIN vs. DEN,Low,23.4,15.7,2.1,3.2,0.9,0.3,1.7,0.9,21.0,17.8,18.8,5.3,1.2,26.4
Josh Hart,NYK,NYK @ ATL,High,33.2,11.5,5.5,3.4,1.2,0.2,1.4,1.7,20.5,17.0,15.0,9.0,1.3,26.3
Jonas Valančiūnas,DEN,DEN @ MIN,Medium,13.8,11.6,7.0,1.9,0.3,1.0,0.4,0.9,20.5,18.6,13.5,8.9,1.3,26.1
Christian Braun,DEN,DEN @ MIN,High,34.0,13.8,4.6,2.3,0.8,0.3,1.2,0.5,20.6,18.4,16.0,6.9,1.0,25.9
