GAME_DATE,PLAYER_KEY,PLAYER_NAME,TEAM_ABBREVIATION,OPPONENT,MATCHUP,SIM_RUNS,ACTIVE_PROB,TEAM_INJURY_IMPACT,ARCHETYPE_SCORER,ARCHETYPE_PLAYMAKER,ARCHETYPE_REBOUNDER,ARCHETYPE_RIM,ARCHETYPE_SHOOTER,EXPECTED_PACE,PACE_MULTIPLIER,EXPECTED_TEAM_MARGIN,BLOWOUT_RISK,MARKET_SPREAD,MARKET_TOTAL,IMPLIED_TEAM_TOTAL,ROTATION_TIER,ROTATION_TEMPLATE_GAMES,ROTATION_TEMPLATE_MIN,INJURY_STATUS,CONFIDENCE,BET_CONFIDENCE,MODEL_CONFIDENCE,CONFIDENCE_LABEL,SPOT_STABILITY,PLAYOFF_ROLE,PLAYOFF_SLATE,TEAM_FACES_ELIMINATION,PLAYOFF_CLOSURE_TIER,MIN_PRE_CLOSURE,MIN_CLOSURE_DELTA,projected_rotation_size,projected_core_5,projected_core_7,projected_closing_group,fringe_rotation_risk,TEAM_MINUTES_CLOSED_SUM,PLAYOFF_TRACE_CLOSURE,PLAYOFF_TRACE_USAGE_CONC,PLAYOFF_TRACE_CREATOR_CTX,PLAYOFF_TRACE_LINEUP_CRED,PLAYOFF_TRACE_MATCHUP_ENV,PLAYOFF_TRACE_LINEUP_LAYER,PLAYOFF_TRACE_COMPOSITE,PLAYOFF_MINUTE_ANCHOR,PLAYOFF_ANCHOR_SOURCE,PLAYOFF_ANCHOR_GAMES_USED,PLAYOFF_ANCHOR_CONFIDENCE,PLAYOFF_PRIOR_KIND,MARKET_GUARDRAIL_MODE,SIM_TEAM_MIN_RAW_MEAN,SIM_TEAM_MIN_RECONCILED_MEAN,AVG_MIN_LAST_5,AVG_MIN_LAST_10,MIN_PROJ,PRED_MIN,ACTIVE_MIN_PROJ,SIM_MIN_P10,SIM_MIN_P50,SIM_MIN_P90,SIM_MIN_STD,PTS_PROJ,PRED_PTS,ACTIVE_PTS_PROJ,SIM_PTS_P10,SIM_PTS_P50,SIM_PTS_P90,SIM_PTS_STD,REB_PROJ,PRED_REB,ACTIVE_REB_PROJ,SIM_REB_P10,SIM_REB_P50,SIM_REB_P90,SIM_REB_STD,AST_PROJ,PRED_AST,ACTIVE_AST_PROJ,SIM_AST_P10,SIM_AST_P50,SIM_AST_P90,SIM_AST_STD,STL_PROJ,PRED_STL,SIM_STL_P10,SIM_STL_P50,SIM_STL_P90,SIM_STL_STD,BLK_PROJ,PRED_BLK,SIM_BLK_P10,SIM_BLK_P50,SIM_BLK_P90,SIM_BLK_STD,FG3M_PROJ,PRED_FG3M,ACTIVE_FG3M_PROJ,SIM_FG3M_P10,SIM_FG3M_P50,SIM_FG3M_P90,SIM_FG3M_STD,PTS_PRE_TEAM_BALANCE,PTS_POST_TEAM_BALANCE,PTS_TEAM_ALLOCATED,PTS_TEAM_BALANCE_MODE,REB_PRE_TEAM_BALANCE,REB_POST_TEAM_BALANCE,REB_TEAM_ALLOCATED,REB_TEAM_BALANCE_MODE,AST_PRE_TEAM_BALANCE,AST_POST_TEAM_BALANCE,AST_TEAM_ALLOCATED,AST_TEAM_BALANCE_MODE,TOV_PROJ,PRED_TOV,SIM_TOV_P10,SIM_TOV_P50,SIM_TOV_P90,SIM_TOV_STD,FTM_PROJ,PRED_FTM,SIM_FTM_P10,SIM_FTM_P50,SIM_FTM_P90,SIM_FTM_STD,FTA_PROJ,PRED_FTA,SIM_FTA_P10,SIM_FTA_P50,SIM_FTA_P90,SIM_FTA_STD,FGM_PROJ,PRED_FGM,SIM_FGM_P10,SIM_FGM_P50,SIM_FGM_P90,SIM_FGM_STD,FGA_PROJ,PRED_FGA,SIM_FGA_P10,SIM_FGA_P50,SIM_FGA_P90,SIM_FGA_STD,FG2M_PROJ,PRED_FG2M,SIM_FG2M_P10,SIM_FG2M_P50,SIM_FG2M_P90,SIM_FG2M_STD,FG2A_PROJ,PRED_FG2A,SIM_FG2A_P10,SIM_FG2A_P50,SIM_FG2A_P90,SIM_FG2A_STD,FG3A_PROJ,PRED_FG3A,SIM_FG3A_P10,SIM_FG3A_P50,SIM_FG3A_P90,SIM_FG3A_STD,OREB_PROJ,PRED_OREB,SIM_OREB_P10,SIM_OREB_P50,SIM_OREB_P90,SIM_OREB_STD,DREB_PROJ,PRED_DREB,SIM_DREB_P10,SIM_DREB_P50,SIM_DREB_P90,SIM_DREB_STD,PF_PROJ,PRED_PF,SIM_PF_P10,SIM_PF_P50,SIM_PF_P90,SIM_PF_STD,DUNKS_PROJ,PRED_DUNKS,SIM_DUNKS_P10,SIM_DUNKS_P50,SIM_DUNKS_P90,SIM_DUNKS_STD,FANTASY_PROJ,PRED_FANTASY,SIM_FANTASY_P10,SIM_FANTASY_P50,SIM_FANTASY_P90,SIM_FANTASY_STD,DD_PROJ,PRED_DD,SIM_DD_P10,SIM_DD_P50,SIM_DD_P90,SIM_DD_STD,TD_PROJ,PRED_TD,SIM_TD_P10,SIM_TD_P50,SIM_TD_P90,SIM_TD_STD,PTS_3M_PROJ,PRED_PTS_3M,SIM_PTS_3M_P10,SIM_PTS_3M_P50,SIM_PTS_3M_P90,SIM_PTS_3M_STD,AST_3M_PROJ,PRED_AST_3M,SIM_AST_3M_P10,SIM_AST_3M_P50,SIM_AST_3M_P90,SIM_AST_3M_STD,REB_3M_PROJ,PRED_REB_3M,SIM_REB_3M_P10,SIM_REB_3M_P50,SIM_REB_3M_P90,SIM_REB_3M_STD,Q3P_PROJ,PRED_Q3P,SIM_Q3P_P10,SIM_Q3P_P50,SIM_Q3P_P90,SIM_Q3P_STD,Q5P_PROJ,PRED_Q5P,SIM_Q5P_P10,SIM_Q5P_P50,SIM_Q5P_P90,SIM_Q5P_STD,PRA_PROJ,SIM_PRA_P10,SIM_PRA_P50,SIM_PRA_P90,SIM_PRA_STD,PR_PROJ,SIM_PR_P10,SIM_PR_P50,SIM_PR_P90,SIM_PR_STD,PA_PROJ,SIM_PA_P10,SIM_PA_P50,SIM_PA_P90,SIM_PA_STD,RA_PROJ,SIM_RA_P10,SIM_RA_P50,SIM_RA_P90,SIM_RA_STD,SB_PROJ,SIM_SB_P10,SIM_SB_P50,SIM_SB_P90,SIM_SB_STD,HAS_PROP_LINE,TEAM_ACTIVE_RANK,TEAM_PUBLISHED_CUM_MIN,PUBLISH_ACTIVE_ROTATION
2026-04-25,shai gilgeous alexander,Shai Gilgeous-Alexander,OKC,PHX,OKC @ PHX,5000,1.0,0.5714,1.0,0.9769,0.5247,0.2924,0.7488,8.96,0.9535,8.74,0.172,9.5,214.5,111.62,CORE,12.0,44.42,ACTIVE,0.8,0.8,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,30.6,31.7,36.97,36.97,36.97,32.23,37.76,40.0,3.22,33.42,33.42,33.42,17.35,33.7,49.01,12.29,3.9,3.9,3.9,0.32,3.81,7.28,2.55,8.37,8.37,8.37,4.31,8.32,12.41,3.15,1.24,1.24,0.0,1.0,3.0,1.11,0.52,0.52,0.0,0.0,1.0,0.72,1.71,1.71,1.71,0.26,1.77,3.33,1.07,32.37,29.78,10.39,soft_reconcile,3.45,3.33,2.75,soft_reconcile,8.09,7.52,3.05,soft_reconcile,2.48,2.48,1.11,2.38,4.14,1.13,4.57,4.57,2.94,4.5,6.39,1.36,6.17,6.17,3.88,6.09,8.51,1.82,8.34,8.34,5.72,8.23,11.09,2.09,14.8,14.8,11.2,14.69,18.68,2.91,7.41,7.41,5.0,7.28,10.0,1.98,13.21,13.21,9.6,13.0,16.87,2.84,4.23,4.23,2.0,4.0,7.0,2.11,0.98,0.98,0.0,1.0,2.0,0.98,2.88,2.88,1.0,3.0,5.0,1.71,2.16,2.16,0.0,2.0,4.0,1.5,3.49,3.49,1.0,3.0,6.0,1.9,54.29,54.29,35.34,54.48,72.99,14.75,0.3034,0.3034,0.0,0.0,1.0,0.4597,0.0028,0.0028,0.0,0.0,0.0,0.0528,2.96,2.96,1.0,3.0,6.0,2.06,0.58,0.58,0.0,0.0,2.0,0.79,0.29,0.29,0.0,0.0,1.0,0.57,3.69,3.69,3.0,4.0,4.0,0.79,3.21,3.21,1.0,4.0,4.0,1.16,45.69,28.43,46.09,62.84,13.35,37.32,20.72,37.57,53.53,12.66,41.79,24.68,41.97,58.11,12.98,12.27,7.09,12.18,17.64,4.11,1.75,0.0,2.0,4.0,1.34,True,1,36.97,True
2026-04-25,devin booker,Devin Booker,PHX,OKC,PHX vs. OKC,5000,1.0,0.7,1.0,0.8434,0.4931,0.1117,0.8511,8.96,0.9535,-8.74,0.172,-9.5,214.5,102.88,CORE,16.0,30.17,ACTIVE,0.93,0.93,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,36.8,33.8,35.38,35.38,35.38,31.98,35.56,38.49,2.46,29.66,29.66,29.66,18.16,29.39,41.57,9.19,3.99,3.99,3.99,1.48,3.96,6.47,1.91,6.37,6.37,6.37,3.13,6.34,9.62,2.51,0.89,0.89,0.0,1.0,2.0,0.94,0.26,0.26,0.0,0.0,1.0,0.52,2.21,2.21,2.21,0.97,1.89,4.2,1.28,31.89,29.47,10.9,soft_reconcile,4.19,3.89,2.48,soft_reconcile,6.77,6.3,2.91,soft_reconcile,2.21,2.21,1.11,1.95,3.68,1.02,5.18,5.18,3.34,5.15,7.11,1.51,6.64,6.64,4.2,6.56,9.41,2.01,7.1,7.1,4.66,7.02,9.61,1.93,15.25,15.25,11.46,15.18,19.2,3.03,5.59,5.59,3.0,5.69,8.0,1.85,12.49,12.49,8.0,12.39,16.57,3.14,6.37,6.37,3.0,6.0,10.0,2.61,0.66,0.66,0.0,0.0,2.0,0.81,3.12,3.12,1.0,3.0,6.0,1.8,2.91,2.91,1.0,3.0,5.0,1.74,1.93,1.93,0.0,2.0,4.0,1.36,46.35,46.35,31.72,45.94,61.49,11.61,0.0782,0.0782,0.0,0.0,0.0,0.2685,0.0,0.0,0.0,0.0,0.0,0.0,2.76,2.76,1.0,3.0,5.0,1.86,0.45,0.45,0.0,0.0,1.0,0.71,0.31,0.31,0.0,0.0,1.0,0.58,3.7,3.7,3.0,4.0,4.0,0.67,3.05,3.05,1.0,3.0,4.0,1.13,40.02,26.9,39.64,53.53,10.25,33.65,21.64,33.34,46.07,9.54,36.03,23.28,35.68,49.07,9.89,10.36,6.16,10.38,14.56,3.26,1.15,0.0,1.0,3.0,1.08,True,1,35.38,True
2026-04-25,nikola jokic,Nikola Jokić,DEN,MIN,DEN @ MIN,5000,1.0,0.557,1.0,1.0,1.0,0.587,0.6086,9.56,1.0173,0.01,0.0988,1.5,229.5,114.76,CORE,14.0,44.31,ACTIVE,0.8,0.8,HIGH,High,risky,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,33.8,35.2,38.63,38.63,38.63,34.61,40.0,40.0,2.69,28.14,28.14,28.14,11.83,28.01,44.33,12.4,13.01,13.01,13.01,7.11,13.06,18.91,4.59,10.94,10.94,10.94,3.92,10.78,17.99,5.39,1.51,1.51,0.0,1.0,3.0,1.24,1.06,1.06,0.0,1.0,2.0,1.04,1.26,1.26,1.26,0.22,1.02,2.51,0.9,28.77,26.5,9.98,soft_reconcile,13.32,12.18,3.96,soft_reconcile,11.23,10.33,3.11,soft_reconcile,2.33,2.33,1.07,2.31,3.65,1.06,4.08,4.08,2.55,4.01,5.66,1.22,5.4,5.4,3.36,5.23,7.53,1.67,7.3,7.3,4.94,7.2,9.89,1.92,13.82,13.82,10.27,13.65,17.47,2.81,6.43,6.43,4.0,6.33,8.98,1.86,12.49,12.49,9.0,12.48,16.0,2.8,3.45,3.45,1.0,3.0,6.0,1.86,3.34,3.34,1.0,3.0,6.0,1.83,10.9,10.9,7.0,11.0,15.0,3.5,1.96,1.96,0.0,2.0,4.0,1.4,4.06,4.06,2.0,4.0,7.0,2.01,66.16,66.16,42.97,66.26,89.27,17.74,0.8426,0.8426,0.0,1.0,1.0,0.3642,0.398,0.398,0.0,0.0,1.0,0.4895,2.35,2.35,0.0,2.0,5.0,1.85,0.71,0.71,0.0,0.0,2.0,0.92,1.01,1.01,0.0,1.0,2.0,1.07,3.47,3.47,2.0,4.0,4.0,1.04,2.8,2.8,0.0,3.0,4.0,1.39,52.1,32.4,52.03,71.79,15.02,41.15,23.38,41.11,59.02,13.62,39.08,20.76,39.05,57.0,13.84,23.95,14.62,23.87,33.26,7.24,2.56,1.0,2.0,5.0,1.63,True,1,38.63,True
2026-04-25,jamal murray,Jamal Murray,DEN,MIN,DEN @ MIN,5000,1.0,0.557,1.0,0.8562,0.545,0.2332,0.9882,9.56,1.0173,0.01,0.0988,1.5,229.5,114.76,CORE,13.0,20.0,ACTIVE,0.86,0.86,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,38.0,37.9,36.7,36.7,36.7,33.48,36.99,39.78,2.37,24.93,24.93,24.93,13.92,24.92,35.98,8.67,4.19,4.19,4.19,1.23,4.16,7.12,2.22,6.34,6.34,6.34,3.18,6.31,9.57,2.47,0.9,0.9,0.0,1.0,2.0,0.96,0.7,0.7,0.0,1.0,2.0,0.82,3.62,3.62,3.62,1.79,3.5,5.95,1.73,28.13,26.22,11.14,soft_reconcile,4.72,4.35,2.54,soft_reconcile,7.25,6.72,2.84,soft_reconcile,1.73,1.73,0.52,1.67,2.94,0.89,2.22,2.22,1.26,2.11,3.29,0.82,3.02,3.02,1.58,2.88,4.48,1.12,6.52,6.52,4.37,6.42,8.81,1.74,13.01,13.01,9.81,12.91,16.36,2.57,3.79,3.79,2.0,4.0,6.0,1.74,7.86,7.86,4.0,8.0,11.07,2.68,8.35,8.35,5.0,8.0,12.0,2.79,0.4,0.4,0.0,0.0,1.0,0.63,3.88,3.88,1.0,4.0,7.0,2.0,1.86,1.86,0.0,2.0,4.0,1.35,1.4,1.4,0.0,1.0,3.0,1.22,44.32,44.32,29.92,44.24,58.91,11.34,0.074,0.074,0.0,0.0,0.0,0.2618,0.0004,0.0004,0.0,0.0,0.0,0.02,2.24,2.24,0.0,2.0,4.1,1.66,0.43,0.43,0.0,0.0,1.0,0.68,0.32,0.32,0.0,0.0,1.0,0.58,3.46,3.46,2.0,4.0,4.0,0.92,2.59,2.59,1.0,3.0,4.0,1.29,35.46,23.04,35.35,47.95,9.64,29.12,17.38,29.07,40.6,9.01,31.27,19.35,31.19,43.36,9.28,10.53,6.16,10.5,14.95,3.42,1.59,0.0,1.0,3.0,1.27,True,2,75.33,True
2026-04-25,jalen brunson,Jalen Brunson,NYK,ATL,NYK @ ATL,5000,1.0,0.0,1.0,1.0,0.3908,0.0384,0.7569,9.31,0.99,1.45,0.1062,1.5,214.5,107.97,CORE,15.0,42.02,ACTIVE,0.89,0.89,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,34.8,35.9,37.91,37.91,37.91,34.87,38.37,40.0,2.11,24.73,24.73,24.73,13.91,24.51,35.98,8.6,3.1,3.1,3.1,0.22,3.05,5.77,1.99,8.1,8.1,8.1,2.3,8.04,13.64,4.26,1.15,1.15,0.0,1.0,3.0,1.08,0.13,0.13,0.0,0.0,1.0,0.36,1.87,1.87,1.87,0.31,1.82,3.4,1.12,24.25,22.65,10.62,soft_reconcile,2.88,2.75,2.17,soft_reconcile,7.88,7.33,3.01,soft_reconcile,2.2,2.2,1.07,1.96,3.65,1.04,2.43,2.43,1.26,2.38,3.62,0.91,3.49,3.49,1.9,3.38,5.26,1.31,7.6,7.6,5.23,7.51,10.1,1.92,15.44,15.44,11.81,15.34,19.2,2.92,6.42,6.42,4.0,6.42,8.91,1.86,12.87,12.87,9.0,13.0,16.78,2.96,6.33,6.33,3.0,6.0,10.0,2.59,0.23,0.23,0.0,0.0,1.0,0.48,2.8,2.8,1.0,3.0,5.0,1.68,2.47,2.47,1.0,2.0,5.0,1.6,2.13,2.13,0.0,2.0,4.0,1.47,43.18,43.18,27.58,43.15,58.9,12.07,0.322,0.322,0.0,0.0,1.0,0.4672,0.0002,0.0002,0.0,0.0,0.0,0.0141,2.13,2.13,0.0,2.0,4.0,1.65,0.54,0.54,0.0,0.0,2.0,0.8,0.21,0.21,0.0,0.0,1.0,0.49,3.47,3.47,2.0,4.0,4.0,0.92,2.6,2.6,1.0,3.0,4.0,1.32,35.93,22.94,36.01,49.0,10.13,27.83,16.56,27.71,39.51,8.91,32.83,20.28,32.72,45.63,9.84,11.2,4.96,11.18,17.4,4.74,1.28,0.0,1.0,3.0,1.14,True,1,37.91,True
2026-04-25,anthony edwards,Anthony Edwards,MIN,DEN,MIN vs. DEN,5000,1.0,0.0,1.0,0.5243,0.587,0.2809,0.9596,9.56,1.0173,-0.01,0.0988,-1.5,229.5,114.74,CORE,7.0,18.23,ACTIVE,0.78,0.78,MEDIUM,Medium,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,30.0,31.9,34.5,34.5,34.5,29.43,34.72,40.0,3.78,23.59,23.59,23.59,5.8,23.19,40.77,13.04,3.77,3.77,3.77,0.0,3.6,7.46,2.69,3.72,3.72,3.72,1.24,3.68,6.24,1.9,1.19,1.19,0.0,1.0,3.0,1.12,0.67,0.67,0.0,0.0,2.0,0.82,2.53,2.53,2.53,1.0,2.63,4.32,1.41,23.22,21.78,10.43,soft_reconcile,3.49,3.34,2.6,soft_reconcile,3.73,3.47,1.96,soft_reconcile,2.57,2.57,1.05,2.33,4.15,1.2,3.64,3.64,2.13,3.56,5.27,1.24,5.08,5.08,3.07,4.92,7.25,1.66,6.38,6.38,4.05,6.27,8.79,1.84,13.73,13.73,10.08,13.63,17.66,2.98,4.62,4.62,2.0,4.74,7.0,1.76,9.88,9.88,6.0,10.0,14.0,3.07,7.41,7.41,4.0,7.0,11.0,2.81,0.38,0.38,0.0,0.0,1.0,0.62,3.79,3.79,1.0,4.0,6.0,1.97,3.13,3.13,1.0,3.0,5.0,1.79,1.9,1.9,0.0,2.0,4.0,1.41,37.98,37.98,18.48,37.68,57.3,14.94,0.015,0.015,0.0,0.0,0.0,0.1216,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,0.0,2.0,5.0,1.92,0.25,0.25,0.0,0.0,1.0,0.51,0.31,0.31,0.0,0.0,1.0,0.59,3.06,3.06,0.0,4.0,4.0,1.35,2.31,2.31,0.0,3.0,4.0,1.53,31.09,12.75,30.77,49.07,13.73,27.37,9.31,27.11,44.85,13.45,27.32,9.41,27.03,44.83,13.31,7.5,3.23,7.3,11.96,3.35,1.86,0.0,2.0,4.0,1.39,True,3,104.43,True
2026-04-25,nickeil alexander walker,Nickeil Alexander-Walker,ATL,NYK,ATL vs. NYK,5000,1.0,0.0,1.0,0.454,0.4212,0.2985,0.9741,9.31,0.99,-1.45,0.1062,-1.5,214.5,106.53,CORE,16.0,28.13,ACTIVE,0.91,0.91,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,35.4,35.2,36.19,36.19,36.19,33.08,36.32,39.15,2.28,22.24,22.24,22.24,11.86,22.19,32.78,8.1,3.45,3.45,3.45,1.01,3.44,5.74,1.8,3.01,3.01,3.01,0.8,2.96,5.19,1.65,1.32,1.32,0.0,1.0,3.0,1.15,0.79,0.79,0.0,1.0,2.0,0.89,3.54,3.54,3.54,1.79,3.46,5.91,1.68,22.8,21.31,9.57,soft_reconcile,3.56,3.28,1.92,soft_reconcile,2.93,2.78,1.95,soft_reconcile,1.79,1.79,0.45,1.63,2.92,0.94,1.89,1.89,1.01,1.76,2.91,0.79,2.69,2.69,1.24,2.48,4.14,1.13,7.15,7.15,4.78,7.02,9.6,1.89,13.09,13.09,9.74,12.99,16.54,2.67,4.91,4.91,2.58,5.0,7.06,1.88,7.47,7.47,4.0,7.0,11.0,2.7,8.9,8.9,5.0,9.0,12.44,2.82,0.61,0.61,0.0,0.0,2.0,0.78,2.7,2.7,1.0,3.0,5.0,1.68,2.48,2.48,1.0,2.0,5.0,1.58,1.96,1.96,0.0,2.0,4.0,1.4,37.18,37.18,23.87,36.96,50.63,10.44,0.0006,0.0006,0.0,0.0,0.0,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,2.04,2.04,0.0,2.0,4.0,1.59,0.19,0.19,0.0,0.0,1.0,0.45,0.25,0.25,0.0,0.0,1.0,0.53,3.29,3.29,2.0,4.0,4.0,1.04,2.32,2.32,0.0,2.0,4.0,1.35,28.69,17.61,28.69,39.99,8.7,25.69,14.89,25.69,36.63,8.41,25.24,14.64,25.21,36.01,8.39,6.46,3.23,6.42,9.73,2.48,2.11,0.0,2.0,4.0,1.47,True,2,72.98,True
2026-04-25,julius randle,Julius Randle,MIN,DEN,MIN vs. DEN,5000,1.0,0.0,1.0,0.6386,0.8071,0.2189,0.6291,9.56,1.0173,-0.01,0.0988,-1.5,229.5,114.74,CORE,11.0,27.15,ACTIVE,0.89,0.89,HIGH,High,stable,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,32.6,32.9,35.14,35.14,35.14,32.19,35.28,37.92,2.23,21.11,21.11,21.11,12.47,21.05,29.87,6.71,5.42,5.42,5.42,2.01,5.38,8.85,2.68,4.61,4.61,4.61,1.95,4.57,7.36,2.09,1.01,1.01,0.0,1.0,2.0,0.99,0.17,0.17,0.0,0.0,1.0,0.41,1.44,1.44,1.44,0.23,1.05,2.56,0.96,21.12,19.7,9.36,soft_reconcile,5.46,5.12,3.14,soft_reconcile,4.66,4.31,2.13,soft_reconcile,2.27,2.27,1.03,2.26,3.63,1.09,3.39,3.39,1.81,3.44,4.91,1.19,5.27,5.27,3.15,5.12,7.58,1.71,6.24,6.24,4.14,6.14,8.57,1.76,12.2,12.2,8.93,12.14,15.56,2.55,5.19,5.19,3.0,5.0,7.34,1.67,10.13,10.13,7.0,10.0,13.23,2.56,4.47,4.47,2.0,4.0,7.0,2.18,1.63,1.63,0.0,1.0,3.0,1.27,4.05,4.05,2.0,4.0,7.0,2.02,2.54,2.54,1.0,2.0,5.0,1.59,2.22,2.22,0.0,2.0,4.0,1.52,36.51,36.51,25.0,36.26,48.77,9.32,0.051,0.051,0.0,0.0,0.0,0.22,0.0004,0.0004,0.0,0.0,0.0,0.02,1.98,1.98,0.0,2.0,4.0,1.57,0.31,0.31,0.0,0.0,1.0,0.59,0.45,0.45,0.0,0.0,1.0,0.71,3.25,3.25,2.0,4.0,4.0,0.99,2.17,2.17,0.0,2.0,4.0,1.28,31.14,21.22,31.11,41.5,7.87,26.53,16.98,26.39,36.29,7.38,25.72,16.44,25.64,34.88,7.2,10.03,5.56,9.97,14.51,3.48,1.18,0.0,1.0,3.0,1.06,True,1,35.14,True
2026-04-25,jalen duren,Jalen Duren,DET,ORL,DET @ ORL,5000,1.0,0.0,1.0,0.4822,1.0,0.6959,0.3443,9.13,0.9712,3.32,0.1104,2.5,213.5,108.41,CORE,14.0,21.17,ACTIVE,0.85,0.85,HIGH,High,stable,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,29.6,31.8,33.69,33.69,33.69,30.12,33.82,37.08,2.63,19.94,19.94,19.94,11.77,19.98,28.22,6.41,9.55,9.55,9.55,5.65,9.52,13.55,3.1,3.46,3.46,3.46,1.12,3.41,5.81,1.76,0.61,0.61,0.0,0.0,2.0,0.8,0.88,0.88,0.0,1.0,2.0,0.95,0.19,0.19,0.19,0.13,0.18,0.23,0.11,20.17,18.73,8.82,soft_reconcile,9.66,8.98,3.93,soft_reconcile,3.4,3.17,1.9,soft_reconcile,2.25,2.25,0.99,2.24,3.58,1.09,3.76,3.76,2.31,3.67,5.37,1.22,5.4,5.4,3.27,5.34,7.69,1.7,5.96,5.96,3.83,5.93,8.07,1.64,9.49,9.49,6.81,9.38,12.24,2.12,5.44,5.44,3.25,5.46,7.47,1.61,8.73,8.73,6.0,8.74,11.39,2.09,0.01,0.01,0.0,0.0,0.0,0.08,3.67,3.67,1.0,3.0,6.0,1.94,7.04,7.04,4.0,7.0,11.0,2.69,2.85,2.85,1.0,3.0,5.0,1.72,4.19,4.19,2.0,4.0,7.0,2.08,38.93,38.93,26.8,38.83,51.19,9.49,0.4166,0.4166,0.0,0.0,1.0,0.493,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.96,0.0,2.0,4.0,1.52,0.24,0.24,0.0,0.0,1.0,0.5,0.87,0.87,0.0,1.0,2.0,0.97,3.13,3.13,2.0,3.0,4.0,1.03,2.03,2.03,0.0,2.0,4.0,1.24,32.94,22.86,32.94,43.0,7.81,29.49,19.91,29.49,38.91,7.43,23.4,14.74,23.37,32.38,6.79,13.01,8.23,13.05,17.72,3.68,1.5,0.0,1.0,3.0,1.25,True,1,33.69,True
2026-04-25,jalen green,Jalen Green,PHX,OKC,PHX vs. OKC,5000,1.0,0.7,1.0,0.5292,0.5791,0.3047,0.8638,8.96,0.9535,-8.74,0.172,-9.5,214.5,102.88,CORE,15.0,15.54,ACTIVE,0.73,0.73,MEDIUM,Medium,risky,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,25.2,26.7,30.3,30.3,30.3,22.18,31.04,37.49,5.81,19.69,19.69,19.69,4.28,19.11,35.12,11.55,4.1,4.1,4.1,1.4,4.04,6.85,2.09,3.5,3.5,3.5,0.0,3.26,7.16,2.68,0.93,0.93,0.0,1.0,2.0,0.97,0.82,0.82,0.0,1.0,2.0,0.91,1.79,1.79,1.79,0.25,1.81,3.44,1.17,19.35,18.28,10.1,soft_reconcile,4.03,3.78,2.5,soft_reconcile,3.29,3.1,2.03,soft_reconcile,2.29,2.29,1.01,2.26,3.67,1.13,1.57,1.57,0.61,1.57,2.48,0.73,2.45,2.45,1.19,2.4,3.84,1.09,5.72,5.72,3.36,5.63,8.17,1.86,12.17,12.17,8.41,12.05,16.18,3.05,4.24,4.24,2.0,4.0,6.58,1.77,8.98,8.98,5.0,9.0,13.0,3.15,5.52,5.52,2.0,5.0,9.0,2.54,0.57,0.57,0.0,0.0,2.0,0.77,2.78,2.78,1.0,3.0,5.0,1.75,1.95,1.95,0.0,2.0,4.0,1.45,1.89,1.89,0.0,2.0,4.0,1.44,33.72,33.72,15.47,33.0,52.75,14.25,0.0148,0.0148,0.0,0.0,0.0,0.1208,0.0004,0.0004,0.0,0.0,0.0,0.02,2.11,2.11,0.0,2.0,5.0,1.87,0.27,0.27,0.0,0.0,1.0,0.57,0.37,0.37,0.0,0.0,1.0,0.63,2.7,2.7,0.0,3.0,4.0,1.41,1.85,1.85,0.0,2.0,4.0,1.43,27.28,10.86,26.6,44.35,12.67,23.79,7.86,23.14,40.05,12.08,23.18,7.2,22.56,39.43,12.11,7.59,3.15,7.37,12.39,3.58,1.75,0.0,2.0,4.0,1.34,True,2,65.68,True
