GAME_DATE,PLAYER_KEY,PLAYER_NAME,TEAM_ABBREVIATION,OPPONENT,MATCHUP,SIM_RUNS,ACTIVE_PROB,TEAM_INJURY_IMPACT,ARCHETYPE_SCORER,ARCHETYPE_PLAYMAKER,ARCHETYPE_REBOUNDER,ARCHETYPE_RIM,ARCHETYPE_SHOOTER,EXPECTED_PACE,PACE_MULTIPLIER,EXPECTED_TEAM_MARGIN,BLOWOUT_RISK,MARKET_SPREAD,MARKET_TOTAL,IMPLIED_TEAM_TOTAL,ROTATION_TIER,ROTATION_TEMPLATE_GAMES,ROTATION_TEMPLATE_MIN,INJURY_STATUS,CONFIDENCE,BET_CONFIDENCE,MODEL_CONFIDENCE,CONFIDENCE_LABEL,SPOT_STABILITY,PLAYOFF_ROLE,PLAYOFF_SLATE,TEAM_FACES_ELIMINATION,PLAYOFF_CLOSURE_TIER,MIN_PRE_CLOSURE,MIN_CLOSURE_DELTA,projected_rotation_size,projected_core_5,projected_core_7,projected_closing_group,fringe_rotation_risk,TEAM_MINUTES_CLOSED_SUM,PLAYOFF_TRACE_CLOSURE,PLAYOFF_TRACE_USAGE_CONC,PLAYOFF_TRACE_CREATOR_CTX,PLAYOFF_TRACE_LINEUP_CRED,PLAYOFF_TRACE_MATCHUP_ENV,PLAYOFF_TRACE_LINEUP_LAYER,PLAYOFF_TRACE_COMPOSITE,PLAYOFF_MINUTE_ANCHOR,PLAYOFF_ANCHOR_SOURCE,PLAYOFF_ANCHOR_GAMES_USED,PLAYOFF_ANCHOR_CONFIDENCE,PLAYOFF_PRIOR_KIND,MARKET_GUARDRAIL_MODE,SIM_TEAM_MIN_RAW_MEAN,SIM_TEAM_MIN_RECONCILED_MEAN,AVG_MIN_LAST_5,AVG_MIN_LAST_10,MIN_PROJ,PRED_MIN,ACTIVE_MIN_PROJ,SIM_MIN_P10,SIM_MIN_P50,SIM_MIN_P90,SIM_MIN_STD,PTS_PROJ,PRED_PTS,ACTIVE_PTS_PROJ,SIM_PTS_P10,SIM_PTS_P50,SIM_PTS_P90,SIM_PTS_STD,REB_PROJ,PRED_REB,ACTIVE_REB_PROJ,SIM_REB_P10,SIM_REB_P50,SIM_REB_P90,SIM_REB_STD,AST_PROJ,PRED_AST,ACTIVE_AST_PROJ,SIM_AST_P10,SIM_AST_P50,SIM_AST_P90,SIM_AST_STD,STL_PROJ,PRED_STL,SIM_STL_P10,SIM_STL_P50,SIM_STL_P90,SIM_STL_STD,BLK_PROJ,PRED_BLK,SIM_BLK_P10,SIM_BLK_P50,SIM_BLK_P90,SIM_BLK_STD,FG3M_PROJ,PRED_FG3M,ACTIVE_FG3M_PROJ,SIM_FG3M_P10,SIM_FG3M_P50,SIM_FG3M_P90,SIM_FG3M_STD,PTS_PRE_TEAM_BALANCE,PTS_POST_TEAM_BALANCE,PTS_TEAM_ALLOCATED,PTS_TEAM_BALANCE_MODE,REB_PRE_TEAM_BALANCE,REB_POST_TEAM_BALANCE,REB_TEAM_ALLOCATED,REB_TEAM_BALANCE_MODE,AST_PRE_TEAM_BALANCE,AST_POST_TEAM_BALANCE,AST_TEAM_ALLOCATED,AST_TEAM_BALANCE_MODE,TOV_PROJ,PRED_TOV,SIM_TOV_P10,SIM_TOV_P50,SIM_TOV_P90,SIM_TOV_STD,FTM_PROJ,PRED_FTM,SIM_FTM_P10,SIM_FTM_P50,SIM_FTM_P90,SIM_FTM_STD,FTA_PROJ,PRED_FTA,SIM_FTA_P10,SIM_FTA_P50,SIM_FTA_P90,SIM_FTA_STD,FGM_PROJ,PRED_FGM,SIM_FGM_P10,SIM_FGM_P50,SIM_FGM_P90,SIM_FGM_STD,FGA_PROJ,PRED_FGA,SIM_FGA_P10,SIM_FGA_P50,SIM_FGA_P90,SIM_FGA_STD,FG2M_PROJ,PRED_FG2M,SIM_FG2M_P10,SIM_FG2M_P50,SIM_FG2M_P90,SIM_FG2M_STD,FG2A_PROJ,PRED_FG2A,SIM_FG2A_P10,SIM_FG2A_P50,SIM_FG2A_P90,SIM_FG2A_STD,FG3A_PROJ,PRED_FG3A,SIM_FG3A_P10,SIM_FG3A_P50,SIM_FG3A_P90,SIM_FG3A_STD,OREB_PROJ,PRED_OREB,SIM_OREB_P10,SIM_OREB_P50,SIM_OREB_P90,SIM_OREB_STD,DREB_PROJ,PRED_DREB,SIM_DREB_P10,SIM_DREB_P50,SIM_DREB_P90,SIM_DREB_STD,PF_PROJ,PRED_PF,SIM_PF_P10,SIM_PF_P50,SIM_PF_P90,SIM_PF_STD,DUNKS_PROJ,PRED_DUNKS,SIM_DUNKS_P10,SIM_DUNKS_P50,SIM_DUNKS_P90,SIM_DUNKS_STD,FANTASY_PROJ,PRED_FANTASY,SIM_FANTASY_P10,SIM_FANTASY_P50,SIM_FANTASY_P90,SIM_FANTASY_STD,DD_PROJ,PRED_DD,SIM_DD_P10,SIM_DD_P50,SIM_DD_P90,SIM_DD_STD,TD_PROJ,PRED_TD,SIM_TD_P10,SIM_TD_P50,SIM_TD_P90,SIM_TD_STD,PTS_3M_PROJ,PRED_PTS_3M,SIM_PTS_3M_P10,SIM_PTS_3M_P50,SIM_PTS_3M_P90,SIM_PTS_3M_STD,AST_3M_PROJ,PRED_AST_3M,SIM_AST_3M_P10,SIM_AST_3M_P50,SIM_AST_3M_P90,SIM_AST_3M_STD,REB_3M_PROJ,PRED_REB_3M,SIM_REB_3M_P10,SIM_REB_3M_P50,SIM_REB_3M_P90,SIM_REB_3M_STD,Q3P_PROJ,PRED_Q3P,SIM_Q3P_P10,SIM_Q3P_P50,SIM_Q3P_P90,SIM_Q3P_STD,Q5P_PROJ,PRED_Q5P,SIM_Q5P_P10,SIM_Q5P_P50,SIM_Q5P_P90,SIM_Q5P_STD,PRA_PROJ,SIM_PRA_P10,SIM_PRA_P50,SIM_PRA_P90,SIM_PRA_STD,PR_PROJ,SIM_PR_P10,SIM_PR_P50,SIM_PR_P90,SIM_PR_STD,PA_PROJ,SIM_PA_P10,SIM_PA_P50,SIM_PA_P90,SIM_PA_STD,RA_PROJ,SIM_RA_P10,SIM_RA_P50,SIM_RA_P90,SIM_RA_STD,SB_PROJ,SIM_SB_P10,SIM_SB_P50,SIM_SB_P90,SIM_SB_STD,HAS_PROP_LINE,TEAM_ACTIVE_RANK,TEAM_PUBLISHED_CUM_MIN,PUBLISH_ACTIVE_ROTATION
2026-05-02,jaylen brown,Jaylen Brown,BOS,PHI,BOS vs. PHI,5000,1.0,0.2301,1.0,0.4258,0.6729,0.4289,0.8431,9.29,0.9907,7.86,0.1572,7.5,205.5,106.68,CORE,18.0,36.49,ACTIVE,0.85,0.85,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,35.6,34.5,37.15,37.15,37.15,33.31,37.64,40.0,2.69,25.06,25.06,25.06,15.24,24.88,35.14,7.71,5.14,5.14,5.14,1.63,5.06,8.69,2.66,3.27,3.27,3.27,1.01,3.23,5.51,1.72,1.03,1.03,0.0,1.0,2.0,1.02,0.69,0.69,0.0,0.0,2.0,0.84,2.19,2.19,2.19,0.46,1.95,3.59,1.23,25.23,23.85,13.29,soft_reconcile,4.98,4.81,3.84,soft_reconcile,3.12,3.02,2.51,soft_reconcile,3.15,3.15,1.66,3.01,4.86,1.29,3.54,3.54,2.02,3.55,5.01,1.16,5.35,5.35,3.27,5.22,7.42,1.65,7.53,7.53,5.16,7.44,9.97,1.9,16.21,16.21,12.57,16.09,20.0,2.91,5.9,5.9,3.56,6.0,8.11,1.86,13.2,13.2,9.0,13.0,17.0,3.06,6.06,6.06,3.0,6.0,9.0,2.48,1.65,1.65,0.0,1.0,3.0,1.3,3.93,3.93,2.0,4.0,7.0,1.98,3.13,3.13,1.0,3.0,5.0,1.77,2.92,2.92,1.0,3.0,5.0,1.72,39.24,39.24,26.45,39.04,52.1,10.01,0.0348,0.0348,0.0,0.0,0.0,0.1833,0.0,0.0,0.0,0.0,0.0,0.0,2.27,2.27,0.0,2.0,5.0,1.67,0.21,0.21,0.0,0.0,1.0,0.47,0.38,0.38,0.0,0.0,1.0,0.65,3.55,3.55,3.0,4.0,4.0,0.8,2.68,2.68,1.0,3.0,4.0,1.26,33.47,22.69,33.45,44.22,8.51,30.2,19.75,30.12,40.8,8.24,28.33,18.15,28.26,38.68,7.98,8.41,4.3,8.35,12.66,3.22,1.72,0.0,2.0,3.0,1.32,True,1,37.15,True
2026-05-02,tyrese maxey,Tyrese Maxey,PHI,BOS,PHI @ BOS,5000,1.0,0.1598,1.0,0.7502,0.4264,0.2294,0.9335,9.29,0.9907,-7.86,0.1572,-7.5,205.5,98.82,CORE,18.0,39.38,ACTIVE,0.95,0.95,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,41.0,38.3,38.02,38.02,38.02,35.13,38.45,40.0,1.92,23.84,23.84,23.84,14.19,23.87,33.48,7.49,4.23,4.23,4.23,0.0,4.0,8.3,3.04,5.26,5.26,5.26,2.34,5.25,8.13,2.22,1.34,1.34,0.0,1.0,3.0,1.15,0.62,0.62,0.0,0.0,2.0,0.77,2.88,2.88,2.88,1.03,2.66,5.06,1.51,25.04,23.5,11.43,soft_reconcile,4.46,4.09,2.31,soft_reconcile,5.53,5.16,2.67,soft_reconcile,1.38,1.38,0.53,1.22,2.42,0.72,2.23,2.23,1.26,2.11,3.28,0.83,2.98,2.98,1.56,2.83,4.46,1.14,7.81,7.81,5.29,7.72,10.46,2.01,17.03,17.03,13.12,16.89,21.05,3.13,5.95,5.95,3.23,6.0,8.56,1.96,12.86,12.86,8.0,13.0,17.0,3.35,9.07,9.07,5.0,9.0,13.0,3.11,0.67,0.67,0.0,0.0,2.0,0.82,3.56,3.56,1.0,3.0,6.0,1.91,1.86,1.86,0.0,2.0,4.0,1.37,2.34,2.34,1.0,2.0,4.0,1.52,42.73,42.73,29.12,42.38,56.48,10.66,0.053,0.053,0.0,0.0,0.0,0.224,0.0008,0.0008,0.0,0.0,0.0,0.0283,2.06,2.06,0.0,2.0,4.0,1.59,0.34,0.34,0.0,0.0,1.0,0.6,0.28,0.28,0.0,0.0,1.0,0.57,3.47,3.47,2.0,4.0,4.0,0.88,2.56,2.56,1.0,3.0,4.0,1.26,33.32,22.14,33.2,44.53,8.74,28.06,17.38,28.07,38.74,8.23,29.1,18.87,28.99,39.33,8.02,9.49,4.65,9.26,14.58,3.82,1.96,0.0,2.0,4.0,1.4,True,1,38.02,True
2026-05-02,joel embiid,Joel Embiid,PHI,BOS,PHI @ BOS,5000,0.96,0.1598,1.0,0.9489,1.0,0.3289,0.6198,9.29,0.9907,-7.86,0.1572,-7.5,205.5,98.82,CORE,8.0,34.43,PROBABLE,0.89,0.89,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,36.0,33.5,34.02,34.02,35.49,31.6,35.49,38.43,7.42,23.19,23.19,24.19,11.82,23.71,34.33,9.25,8.04,8.04,8.39,2.8,8.15,12.96,3.9,4.95,4.95,5.16,0.42,5.01,8.93,3.02,0.56,0.56,0.0,0.0,2.0,0.76,1.2,1.2,0.0,1.0,3.0,1.14,1.17,1.17,1.22,0.18,0.99,2.49,0.9,25.44,23.56,9.85,soft_reconcile,8.81,8.15,3.68,soft_reconcile,5.27,5.0,2.89,soft_reconcile,2.02,2.02,0.64,1.87,3.54,1.06,4.98,4.98,3.03,4.98,7.13,1.8,6.54,6.54,3.84,6.66,9.38,2.38,6.44,6.44,4.03,6.47,9.18,2.26,14.31,14.31,10.61,14.64,18.67,4.11,5.51,5.51,3.0,5.69,8.0,2.08,12.35,12.35,8.0,12.91,16.68,3.9,5.34,5.34,2.0,5.0,9.0,2.63,1.79,1.79,0.0,2.0,4.0,1.37,7.25,7.25,4.0,7.0,11.0,3.12,2.52,2.52,0.0,2.0,5.0,1.7,2.69,2.69,0.0,3.0,5.0,1.76,44.13,44.13,27.6,45.2,60.89,14.81,0.3318,0.3318,0.0,0.0,1.0,0.4709,0.0194,0.0194,0.0,0.0,0.0,0.1379,2.12,2.12,0.0,2.0,4.0,1.67,0.36,0.36,0.0,0.0,1.0,0.64,0.7,0.7,0.0,0.0,2.0,0.89,3.3,3.3,2.0,4.0,4.0,1.13,2.47,2.47,0.0,3.0,4.0,1.38,36.19,22.48,37.19,50.04,12.23,31.24,18.39,32.17,44.15,11.05,28.14,15.79,28.88,40.49,10.42,12.99,6.36,13.16,19.68,5.35,1.76,0.0,2.0,4.0,1.4,True,3,107.74,True
2026-05-02,payton pritchard,Payton Pritchard,BOS,PHI,BOS vs. PHI,5000,1.0,0.2301,0.8042,0.7216,0.4966,0.1283,0.7805,9.29,0.9907,7.86,0.1572,7.5,205.5,106.68,CORE,20.0,39.35,ACTIVE,0.86,0.86,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,31.4,31.7,35.35,35.35,35.35,31.57,35.41,39.37,2.83,17.8,17.8,17.8,3.48,17.45,31.59,10.52,3.64,3.64,3.64,1.13,3.63,6.04,1.87,5.32,5.32,5.32,2.41,5.29,8.2,2.24,0.65,0.65,0.0,0.0,2.0,0.81,0.1,0.1,0.0,0.0,0.0,0.32,2.61,2.61,2.61,1.06,2.61,4.25,1.35,16.8,16.01,10.83,soft_reconcile,3.36,3.26,2.8,soft_reconcile,5.08,4.79,2.91,soft_reconcile,1.11,1.11,0.47,1.09,1.87,0.61,0.9,0.9,0.51,0.75,1.38,0.4,1.31,1.31,0.64,1.26,2.06,0.61,5.73,5.73,3.72,5.63,7.84,1.63,12.35,12.35,9.33,12.22,15.55,2.42,3.39,3.39,1.0,3.0,5.31,1.56,6.15,6.15,3.0,6.0,9.34,2.49,8.15,8.15,5.0,8.0,11.56,2.58,1.39,1.39,0.0,1.0,3.0,1.2,2.36,2.36,1.0,2.0,4.0,1.54,0.82,0.82,0.0,1.0,2.0,0.9,1.02,1.02,0.0,1.0,2.0,1.01,32.58,32.58,17.2,32.18,48.11,11.83,0.0146,0.0146,0.0,0.0,0.0,0.1199,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,1.0,4.0,1.59,0.37,0.37,0.0,0.0,1.0,0.62,0.28,0.28,0.0,0.0,1.0,0.54,2.67,2.67,0.0,3.0,4.0,1.48,1.74,1.74,0.0,2.0,4.0,1.5,26.75,11.95,26.52,41.4,11.04,21.44,6.83,21.14,35.49,10.72,23.11,8.54,22.68,37.41,10.83,8.95,5.14,8.9,12.79,2.95,0.75,0.0,1.0,2.0,0.87,True,2,72.5,True
2026-05-02,jayson tatum,Jayson Tatum,BOS,PHI,BOS vs. PHI,5000,0.78,0.2301,1.0,0.8743,1.0,0.0963,0.8644,9.29,0.9907,7.86,0.1572,7.5,205.5,106.68,CORE,18.0,24.62,QUESTIONABLE,0.7,0.7,MEDIUM,Medium,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,37.2,36.2,26.46,26.46,34.06,0.0,32.88,38.14,14.5,16.5,16.5,21.25,0.0,18.67,29.15,10.87,7.62,7.62,9.81,0.0,8.05,15.03,5.72,4.67,4.67,6.01,0.0,4.7,9.68,3.79,0.8,0.8,0.0,0.0,2.0,1.0,0.19,0.19,0.0,0.0,1.0,0.44,2.05,2.05,2.64,0.0,1.86,4.26,1.66,24.16,22.57,10.39,soft_reconcile,11.46,10.41,3.5,soft_reconcile,6.83,6.34,2.77,soft_reconcile,1.82,1.82,0.0,1.77,3.58,1.37,1.92,1.92,0.0,2.16,3.54,1.34,2.86,2.86,0.0,3.03,5.3,1.97,4.59,4.59,0.0,5.15,7.85,2.88,9.8,9.8,0.0,11.51,15.57,5.73,3.05,3.05,0.0,3.0,6.0,2.2,5.85,5.85,0.0,6.0,10.76,3.93,6.22,6.22,0.0,7.0,11.0,4.11,0.75,0.75,0.0,0.0,2.0,0.97,7.07,7.07,0.0,8.0,13.0,4.7,1.44,1.44,0.0,1.0,3.0,1.44,0.99,0.99,0.0,1.0,3.0,1.15,34.81,34.81,0.0,40.34,58.18,21.29,0.3944,0.3944,0.0,0.0,1.0,0.4887,0.0408,0.0408,0.0,0.0,0.0,0.1978,1.58,1.58,0.0,1.0,4.0,1.6,0.35,0.35,0.0,0.0,1.0,0.65,0.68,0.68,0.0,0.0,2.0,0.97,2.54,2.54,0.0,3.0,4.0,1.63,1.75,1.75,0.0,2.0,4.0,1.51,28.79,0.0,33.5,47.9,17.6,24.12,0.0,27.78,40.88,15.06,21.17,0.0,24.29,36.49,13.4,12.29,0.0,13.52,22.41,8.29,0.98,0.0,1.0,3.0,1.15,True,4,128.01,True
2026-05-02,paul george,Paul George,PHI,BOS,PHI @ BOS,5000,0.96,0.1598,0.841,0.4376,0.5136,0.1842,0.7823,9.29,0.9907,-7.86,0.1572,-7.5,205.5,98.82,CORE,17.0,28.39,PROBABLE,0.86,0.86,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,38.0,33.2,33.4,33.4,34.84,30.05,34.85,38.45,7.48,14.8,14.8,15.44,6.87,15.08,22.45,6.24,4.18,4.18,4.36,0.0,4.06,8.33,3.03,2.96,2.96,3.09,0.0,2.88,5.89,2.15,1.6,1.6,0.0,1.0,3.0,1.33,0.49,0.49,0.0,0.0,1.0,0.72,2.41,2.41,2.52,0.92,2.51,4.14,1.43,16.4,15.52,9.61,soft_reconcile,4.6,4.23,2.42,soft_reconcile,3.2,3.0,1.93,soft_reconcile,1.44,1.44,0.38,1.22,2.43,0.87,1.3,1.3,0.57,1.24,2.03,0.63,2.04,2.04,0.79,1.95,3.24,0.99,5.11,5.11,3.09,5.13,7.36,1.88,10.73,10.73,7.55,10.95,14.35,3.24,2.97,2.97,1.0,3.0,5.0,1.63,6.66,6.66,3.0,7.0,10.0,2.85,6.0,6.0,2.0,6.0,9.76,2.77,0.3,0.3,0.0,0.0,1.0,0.55,3.83,3.83,1.0,4.0,7.0,2.15,2.14,2.14,0.0,2.0,4.0,1.54,0.99,0.99,0.0,1.0,2.0,1.01,30.3,30.3,17.67,30.71,43.77,11.1,0.0294,0.0294,0.0,0.0,0.0,0.1689,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.0,1.0,3.0,1.26,0.2,0.2,0.0,0.0,1.0,0.46,0.33,0.33,0.0,0.0,1.0,0.63,2.55,2.55,0.0,3.0,4.0,1.3,1.32,1.32,0.0,1.0,3.0,1.21,21.95,12.29,22.39,31.79,8.21,18.99,9.9,19.33,28.16,7.49,17.77,9.21,18.15,26.33,6.97,7.15,1.93,7.01,12.35,3.94,2.09,0.0,2.0,4.0,1.52,True,4,141.14,True
2026-05-02,vj edgecombe,VJ Edgecombe,PHI,BOS,PHI @ BOS,5000,1.0,0.1598,0.6984,0.3725,0.8475,0.3777,0.5625,9.29,0.9907,-7.86,0.1572,-7.5,205.5,98.82,CORE,21.0,24.97,ACTIVE,0.91,0.91,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,38.0,37.7,35.7,35.7,35.7,32.34,35.88,38.88,2.46,12.9,12.9,12.9,0.66,12.55,24.3,8.69,6.58,6.58,6.58,3.27,6.51,9.93,2.56,3.07,3.07,3.07,0.82,3.02,5.29,1.69,1.09,1.09,0.0,1.0,2.0,1.02,0.6,0.6,0.0,0.0,2.0,0.77,1.32,1.32,1.32,0.22,1.0,2.45,0.9,13.46,12.72,8.34,soft_reconcile,7.18,6.68,3.49,soft_reconcile,3.37,3.11,1.81,soft_reconcile,1.28,1.28,0.36,1.04,2.26,0.76,1.16,1.16,0.58,1.17,1.85,0.5,1.74,1.74,0.77,1.67,2.71,0.76,4.58,4.58,2.88,4.43,6.57,1.44,10.62,10.62,7.71,10.48,13.71,2.36,3.28,3.28,1.17,3.0,5.0,1.41,6.77,6.77,4.0,7.0,10.0,2.43,6.01,6.01,3.0,6.0,9.0,2.4,2.17,2.17,0.0,2.0,4.0,1.5,5.31,5.31,2.0,5.0,8.0,2.35,2.67,2.67,1.0,3.0,5.0,1.62,1.44,1.44,0.0,1.0,3.0,1.21,29.85,29.85,15.89,29.5,44.32,10.79,0.0586,0.0586,0.0,0.0,0.0,0.2349,0.0,0.0,0.0,0.0,0.0,0.0,1.11,1.11,0.0,1.0,3.0,1.27,0.2,0.2,0.0,0.0,1.0,0.47,0.56,0.56,0.0,0.0,2.0,0.79,2.12,2.12,0.0,2.0,4.0,1.55,1.13,1.13,0.0,1.0,3.0,1.33,22.55,10.26,22.39,35.11,9.42,19.48,7.47,19.16,31.53,9.16,15.97,4.04,15.63,27.79,8.96,9.65,5.64,9.54,13.79,3.12,1.69,0.0,2.0,3.0,1.28,True,2,73.72,True
2026-05-02,kelly oubre,Kelly Oubre Jr.,PHI,BOS,PHI @ BOS,5000,1.0,0.1598,0.5266,0.1503,0.8113,0.3286,0.3631,9.29,0.9907,-7.86,0.1572,-7.5,205.5,98.82,CORE,17.0,30.93,ACTIVE,0.87,0.87,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,34.8,32.7,32.22,32.22,32.22,27.73,32.27,36.71,3.5,10.03,10.03,10.03,1.61,9.78,18.37,6.19,5.22,5.22,5.22,2.39,5.25,8.06,2.22,1.45,1.45,1.45,0.0,1.32,3.14,1.21,0.94,0.94,0.0,1.0,2.0,0.97,0.63,0.63,0.0,0.0,2.0,0.81,0.9,0.9,0.9,0.18,0.88,1.64,0.7,10.73,10.01,6.35,soft_reconcile,5.71,5.38,3.41,soft_reconcile,1.41,1.38,1.25,soft_reconcile,0.75,0.75,0.24,0.83,1.53,0.55,1.03,1.03,0.46,1.05,1.71,0.51,1.64,1.64,0.63,1.65,2.83,0.79,3.48,3.48,1.88,3.41,5.18,1.25,7.73,7.73,5.28,7.58,10.42,1.99,2.45,2.45,1.0,2.25,4.0,1.2,5.14,5.14,3.0,5.0,8.0,2.03,3.67,3.67,1.0,3.98,6.0,1.89,0.99,0.99,0.0,1.0,2.0,1.0,4.64,4.64,2.0,4.0,8.0,2.17,2.86,2.86,1.0,3.0,5.0,1.69,0.97,0.97,0.0,1.0,2.0,1.0,22.88,22.88,12.18,22.5,33.99,8.42,0.0098,0.0098,0.0,0.0,0.0,0.0985,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.96,0.0,1.0,3.0,1.14,0.09,0.09,0.0,0.0,0.0,0.31,0.48,0.48,0.0,0.0,1.0,0.74,1.73,1.73,0.0,2.0,4.0,1.42,0.7,0.7,0.0,0.0,2.0,1.0,16.7,7.75,16.38,25.83,6.9,15.25,6.47,14.96,24.2,6.71,11.48,3.01,11.22,20.05,6.36,6.67,3.41,6.56,10.04,2.59,1.57,0.0,1.0,3.0,1.29,True,5,173.36,True
2026-05-02,baylor scheierman,Baylor Scheierman,BOS,PHI,BOS vs. PHI,5000,1.0,0.2301,0.5357,0.13,0.8327,0.3693,0.8325,9.29,0.9907,7.86,0.1572,7.5,205.5,106.68,BENCH,15.0,23.67,ACTIVE,0.77,0.77,MEDIUM,Medium,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,12.2,17.9,18.39,18.39,18.39,15.22,18.39,21.47,2.43,8.87,8.87,8.87,4.04,8.72,13.97,3.89,3.52,3.52,3.52,0.61,3.44,6.34,2.14,1.44,1.44,1.44,0.0,1.26,3.2,1.26,1.01,1.01,0.0,1.0,2.0,1.02,0.17,0.17,0.0,0.0,1.0,0.41,2.14,2.14,2.14,0.95,1.84,4.03,1.21,6.75,7.0,7.82,soft_reconcile,2.68,2.75,3.04,soft_reconcile,1.03,1.02,0.98,soft_reconcile,0.58,0.58,0.16,0.24,1.41,0.5,0.48,0.48,0.3,0.39,0.94,0.25,0.76,0.76,0.38,0.53,1.29,0.43,2.95,2.95,1.69,2.91,4.31,1.06,5.98,5.98,4.08,5.86,8.05,1.54,0.53,0.53,0.0,0.0,1.5,0.72,0.98,0.98,0.0,1.0,2.0,1.01,4.19,4.19,2.0,4.0,6.3,1.74,1.07,1.07,0.0,1.0,2.0,1.03,2.29,2.29,0.0,2.0,4.0,1.55,1.59,1.59,0.0,1.0,3.0,1.29,0.19,0.19,0.0,0.0,1.0,0.44,19.28,19.28,11.13,18.86,27.99,6.62,0.0014,0.0014,0.0,0.0,0.0,0.0374,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.06,0.0,1.0,3.0,1.13,0.13,0.13,0.0,0.0,1.0,0.38,0.41,0.41,0.0,0.0,1.0,0.7,1.48,1.48,0.0,1.0,3.0,1.21,0.45,0.45,0.0,0.0,2.0,0.74,13.82,7.62,13.62,20.11,4.88,12.38,6.53,12.16,18.42,4.64,10.31,5.04,10.1,15.75,4.15,4.96,1.77,4.81,8.29,2.51,1.18,0.0,1.0,3.0,1.11,True,9,228.25,True
2026-05-02,quentin grimes,Quentin Grimes,PHI,BOS,PHI @ BOS,5000,1.0,0.1598,0.5323,0.4491,0.6149,0.3571,0.5724,9.29,0.9907,-7.86,0.1572,-7.5,205.5,98.82,ROTATION,22.0,24.79,ACTIVE,0.82,0.82,HIGH,High,volatile,,False,False,,,,,,,,,,,,,,,,,,,0,,,market,,,21.2,22.3,22.42,22.42,22.42,18.85,22.45,25.91,2.76,8.71,8.71,8.71,0.0,8.25,17.4,6.42,3.21,3.21,3.21,0.87,3.12,5.53,1.77,2.19,2.19,2.19,0.0,1.88,4.97,1.98,0.41,0.41,0.0,0.0,1.0,0.65,0.5,0.5,0.0,0.0,1.0,0.72,1.13,1.13,1.13,0.16,0.91,2.34,0.83,8.62,8.08,5.68,soft_reconcile,3.28,3.09,2.25,soft_reconcile,1.98,1.87,1.39,soft_reconcile,0.66,0.66,0.24,0.35,1.49,0.48,1.01,1.01,0.4,1.0,1.66,0.52,1.54,1.54,0.54,1.58,2.73,0.77,2.6,2.6,1.42,2.59,3.93,1.01,5.72,5.72,3.73,5.59,7.83,1.61,1.31,1.31,0.0,1.0,2.67,0.96,2.9,2.9,1.0,3.0,5.0,1.58,3.11,3.11,1.0,3.0,5.0,1.63,0.25,0.25,0.0,0.0,1.0,0.5,2.67,2.67,1.0,2.0,5.0,1.66,1.66,1.66,0.0,1.0,3.0,1.34,0.51,0.51,0.0,0.0,1.0,0.73,18.48,18.48,8.31,17.86,29.21,8.19,0.0004,0.0004,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1.14,0.0,1.0,3.0,1.33,0.22,0.22,0.0,0.0,1.0,0.51,0.39,0.39,0.0,0.0,1.0,0.66,1.44,1.44,0.0,1.0,4.0,1.41,0.58,0.58,0.0,0.0,2.0,0.96,14.11,5.2,13.58,23.6,7.07,11.91,3.41,11.48,20.95,6.74,10.9,2.23,10.52,19.94,6.74,5.4,2.09,5.17,9.04,2.7,0.91,0.0,1.0,2.0,0.97,True,6,195.78,True
