stat,prob_bucket,bets,avg_hit_rate,actual_win_rate,avg_edge,avg_minutes,calibration_gap
assists,60-65%,6,0.5856320274666666,0.5,0.08563202746666658,27.898519647288225,-0.08563202746666665
assists,65-70%,16,0.6173799705,0.5625,0.11737997049999999,24.988452449171028,-0.05487997050000004
assists,70-75%,11,0.6735695761672728,0.36363636363636365,0.17356957616727273,28.315562849251172,-0.3099332125309091
assists,75-80%,7,0.7227691862857143,0.2857142857142857,0.22276918628571424,27.864461831032845,-0.4370549005714286
assists,80-100%,16,0.77524375,0.4375,0.27524375,27.44829064897704,-0.33774375
assists,80-100%+,27,0.9201333333333332,0.5555555555555556,0.42013333333333336,28.88615626117332,-0.36457777777777767
blocks,80-100%+,1,0.8069,0.0,0.2720162790697674,30.13145787835873,-0.8069
pa,60-65%,22,0.5828336477072728,0.5,0.08283364770727271,28.962394093462663,-0.08283364770727275
pa,65-70%,112,0.6206628086628572,0.45535714285714285,0.12066280866285714,27.729464119849602,-0.16530566580571432
pa,70-75%,45,0.6780062986613333,0.4,0.17800629866133333,27.059946573370993,-0.2780062986613333
pa,75-80%,19,0.716883616023158,0.5263157894736842,0.21688361602315792,27.299247185681917,-0.1905678265494738
pa,80-100%,16,0.77098872228,0.5,0.27098872228000004,28.89383573309529,-0.27098872228000004
pa,80-100%+,98,0.9485214285714286,0.5306122448979592,0.44852142857142857,25.41093806565155,-0.4179091836734694
points,60-65%,40,0.582064132027,0.55,0.082064132027,25.680897337311343,-0.03206413202699998
points,65-70%,179,0.6243565521524023,0.5810055865921788,0.12435655215240224,26.474457545903388,-0.04335096556022344
points,70-75%,87,0.6690106374068966,0.5977011494252874,0.16901063740689656,26.72943171337739,-0.07130948798160919
points,75-80%,48,0.7235454614208333,0.5833333333333334,0.22354546142083334,27.032883576615195,-0.14021212808749994
points,80-100%,29,0.7745931034482759,0.4827586206896552,0.2733902165196471,28.63268209946568,-0.29183448275862073
points,80-100%+,155,0.929981935483871,0.535483870967742,0.429981935483871,25.414550184179262,-0.394498064516129
pr,60-65%,44,0.5844445486790909,0.5909090909090909,0.08444454867909089,27.572757560096946,0.006464542230000037
pr,65-70%,187,0.6224138519114438,0.42780748663101603,0.12241385191144386,26.681190463869623,-0.1946063652804278
pr,70-75%,50,0.6715326903152001,0.48,0.17153269031520005,25.207367809665556,-0.19153269031520015
pr,75-80%,37,0.7197963765416217,0.2972972972972973,0.21979637654162162,27.000772355996045,-0.42249907924432434
pr,80-100%,27,0.7729071046933333,0.4444444444444444,0.27290710469333335,26.75170130679481,-0.3284626602488889
pr,80-100%+,186,0.9373205606503225,0.5913978494623656,0.43732056065032254,24.94665607234067,-0.3459227111879569
pra,60-65%,26,0.58326915452,0.46153846153846156,0.08326915451999996,26.01427507533217,-0.12173069298153849
pra,65-70%,150,0.6253314666288,0.5066666666666667,0.12533146662880001,27.63598030906328,-0.1186647999621333
pra,70-75%,83,0.6698267207498795,0.5301204819277109,0.16982672074987953,25.734664370697296,-0.1397062388221686
pra,75-80%,52,0.7257166478469231,0.46153846153846156,0.22571664784692314,27.682014278563184,-0.26417818630846157
pra,80-100%,23,0.7761372045495653,0.34782608695652173,0.2761372045495652,29.229896378918497,-0.4283111175930435
pra,80-100%+,204,0.948788588202353,0.5882352941176471,0.4487885882023529,25.236086749525263,-0.36055329408470593
ra,60-65%,12,0.5828613081166667,0.5,0.08286130811666663,30.424000737787498,-0.0828613081166667
ra,65-70%,47,0.624046020759149,0.46808510638297873,0.12404602075914893,28.96321168646039,-0.1559609143761702
ra,70-75%,21,0.6713864050876192,0.5714285714285714,0.17138640508761904,29.16893284589353,-0.09995783365904776
ra,75-80%,9,0.71617381144,0.3333333333333333,0.21617381144,29.279725022646712,-0.3828404781066667
ra,80-100%,12,0.7742583333333334,0.5,0.27425833333333327,29.18939389482129,-0.2742583333333334
ra,80-100%+,28,0.8645107142857142,0.5357142857142857,0.36451071428571424,27.21623000144089,-0.32879642857142855
rebounds,60-65%,17,0.5806553999529411,0.6470588235294118,0.08065539995294116,26.668591960597947,0.06640342357647067
rebounds,65-70%,68,0.6256419578864706,0.5882352941176471,0.1256419578864706,27.897282232395003,-0.03740666376882351
rebounds,70-75%,31,0.6657051838051613,0.4838709677419355,0.16570518380516128,27.803252637212637,-0.1818342160632258
rebounds,75-80%,20,0.7204586090708001,0.75,0.22045860907079998,28.710036798345755,0.02954139092919994
rebounds,80-100%,16,0.7758972473525,0.75,0.27371701479436045,28.07091117363367,-0.025897247352499986
rebounds,80-100%+,47,0.9091936170212767,0.6808510638297872,0.40845141019297376,25.62457958099452,-0.22834255319148944
steals,60-65%,2,0.5987150496,1.0,0.09871504959999994,33.46200885072757,0.4012849504
steals,65-70%,2,0.6447363920000001,0.5,0.14473639200000005,27.53998426972581,-0.1447363920000001
steals,70-75%,4,0.668896382,0.25,0.16889638199999993,28.646753226832708,-0.418896382
steals,75-80%,4,0.7,0.5,0.1999999999999999,28.776526671440838,-0.19999999999999996
steals,80-100%,2,0.7689999999999999,0.5,0.2689999999999999,27.543612448042616,-0.2689999999999999
steals,80-100%+,7,0.8933571428571428,0.7142857142857143,0.3883737541528239,29.126314097130383,-0.17907142857142855
threes_made,60-65%,5,0.58325619424,0.6,0.08325619423999993,22.578944834055793,0.016743805760000008
threes_made,65-70%,4,0.6255303,0.5,0.12553029999999998,31.347897894233995,-0.12553029999999998
threes_made,75-80%,3,0.7199666666666666,0.3333333333333333,0.21996666666666664,31.738860731665593,-0.38663333333333333
threes_made,80-100%,2,0.78115,1.0,0.28114999999999996,28.203155628948036,0.21885
