LINES_PLAYER,PLAYER_KEY,CLOSE_MATCH_1,CLOSE_MATCH_2,CLOSE_MATCH_3
A'ja Wilson,a'ja wilson,,,
Arike Ogunbowale,arike ogunbowale,,,
Azzi Fudd,azzi fudd,,,
Breanna Stewart,breanna stewart,,,
Bridget Carleton,bridget carleton,,,
Carla Leite,carla leite,,,
Cecilia Zandalasini,cecilia zandalasini,,,
Chelsea Gray,chelsea gray,,,
Courtney Williams,courtney williams,,,
Emily Engstler,emily engstler,,,
Gabby Williams,gabby williams,,,
Jackie Young,jackie young,,,
Jessica Shepard,jessica shepard,,,
Jonquel Jones,jonquel jones,,,
Kamilla Cardoso,kamilla cardoso,,,
Kayla McBride,kayla mcbride,,,
Kayla Thornton,kayla thornton,,,
Kiki Iriafen,kiki iriafen,kiki rice,,
Leonie Fiebich,leonie fiebich,,,
Megan Gustafson,megan gustafson,,,
NaLyssa Smith,nalyssa smith,,,
Natasha Howard,natasha howard,,,
Nia Coffey,nia coffey,,,
Olivia Miles,olivia miles,,,
Paige Bueckers,paige bueckers,,,
Sabrina Ionescu,sabrina ionescu,,,
Sarah Ashlee Barker,sarah ashlee barker,,,
Shakira Austin,shakira austin,,,
Skylar Diggins,skylar diggins,,,
Sonia Citron,sonia citron,,,
Sydney Taylor,sydney taylor,,,
Veronica Burton,veronica burton,,,
