GAME_DATE,PLAYER_KEY,PLAYER,TEAM,OPPONENT,MATCHUP,STAT,STAT_LABEL,PROJECTION,MEDIAN,FLOOR,CEILING,STDDEV,MIN,CONFIDENCE,ACTIVE_PROB,INJURY_STATUS,SIM_RUNS,CONFIDENCE_RANK
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,AST,Assists,5.06,5.0,2.0,8.0,2.42,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,AST,Assists,3.17,3.0,1.0,6.0,2.03,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,AST,Assists,2.4,2.0,0.0,5.0,1.64,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,AST,Assists,1.99,2.0,0.0,4.0,1.5,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,AST,Assists,1.69,1.0,0.0,4.0,1.41,22.2,Low,,UNKNOWN,10000,1
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,AST,Assists,1.48,1.0,0.0,3.0,1.26,24.17,Medium,,UNKNOWN,10000,2
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,AST,Assists,1.43,1.0,0.0,3.0,1.36,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,gianna kneepkens,Gianna Kneepkens,CON,POR,CON vs POR,AST,Assists,1.0,0.0,0.0,3.0,1.67,8.46,Medium,,UNKNOWN,10000,2
2026-07-14,nell angloma,Nell Angloma,CON,POR,CON vs POR,AST,Assists,0.96,1.0,0.0,2.0,1.08,9.9,Medium,,UNKNOWN,10000,2
2026-07-14,raegan beers,Raegan Beers,CON,POR,CON vs POR,AST,Assists,0.7,0.0,0.0,2.0,0.87,10.83,Medium,,UNKNOWN,10000,2
2026-07-14,hailey van lith,Hailey Van Lith,CON,POR,CON vs POR,AST,Assists,0.45,0.0,0.0,1.0,0.7,12.0,Low,,UNKNOWN,10000,1
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,BLK,Blocks,1.63,1.0,0.0,3.0,1.33,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,BLK,Blocks,1.09,1.0,0.0,3.0,1.1,22.2,Low,,UNKNOWN,10000,1
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,BLK,Blocks,0.68,0.0,0.0,2.0,1.07,24.17,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,BLK,Blocks,0.46,0.0,0.0,1.0,0.69,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,BLK,Blocks,0.43,0.0,0.0,1.0,0.7,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,nell angloma,Nell Angloma,CON,POR,CON vs POR,BLK,Blocks,0.39,0.0,0.0,1.0,0.66,9.9,Medium,,UNKNOWN,10000,2
2026-07-14,hailey van lith,Hailey Van Lith,CON,POR,CON vs POR,BLK,Blocks,0.38,0.0,0.0,1.0,0.71,12.0,Low,,UNKNOWN,10000,1
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,BLK,Blocks,0.31,0.0,0.0,1.0,0.56,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,BLK,Blocks,0.27,0.0,0.0,1.0,0.53,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,raegan beers,Raegan Beers,CON,POR,CON vs POR,BLK,Blocks,0.17,0.0,0.0,1.0,0.42,10.83,Medium,,UNKNOWN,10000,2
2026-07-14,gianna kneepkens,Gianna Kneepkens,CON,POR,CON vs POR,BLK,Blocks,0.09,0.0,0.0,0.0,0.3,8.46,Medium,,UNKNOWN,10000,2
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,FG3M,3PM,1.53,1.0,0.0,3.0,1.28,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,FG3M,3PM,1.2,1.0,0.0,3.0,1.16,24.17,Medium,,UNKNOWN,10000,2
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,FG3M,3PM,1.01,1.0,0.0,2.0,1.05,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,FG3M,3PM,0.91,1.0,0.0,2.0,0.98,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,FG3M,3PM,0.58,0.0,0.0,2.0,0.79,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,gianna kneepkens,Gianna Kneepkens,CON,POR,CON vs POR,FG3M,3PM,0.39,0.0,0.0,1.0,0.85,8.46,Medium,,UNKNOWN,10000,2
2026-07-14,nell angloma,Nell Angloma,CON,POR,CON vs POR,FG3M,3PM,0.28,0.0,0.0,1.0,0.54,9.9,Medium,,UNKNOWN,10000,2
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,FG3M,3PM,0.27,0.0,0.0,1.0,0.52,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,hailey van lith,Hailey Van Lith,CON,POR,CON vs POR,FG3M,3PM,0.24,0.0,0.0,1.0,0.5,12.0,Low,,UNKNOWN,10000,1
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,FG3M,3PM,0.22,0.0,0.0,1.0,0.48,22.2,Low,,UNKNOWN,10000,1
2026-07-14,raegan beers,Raegan Beers,CON,POR,CON vs POR,FG3M,3PM,0.12,0.0,0.0,1.0,0.35,10.83,Medium,,UNKNOWN,10000,2
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,PA,Pts+Ast,18.68,18.16,12.41,25.6,5.18,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,PA,Pts+Ast,16.05,14.72,7.68,26.02,7.55,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,PA,Pts+Ast,11.94,10.65,4.76,20.81,6.69,24.17,Medium,,UNKNOWN,10000,2
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,PA,Pts+Ast,11.48,11.29,6.85,16.37,3.7,22.2,Low,,UNKNOWN,10000,1
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,PA,Pts+Ast,11.37,10.82,5.72,17.85,4.84,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,PA,Pts+Ast,8.98,8.64,5.24,13.14,3.17,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,hailey van lith,Hailey Van Lith,CON,POR,CON vs POR,PA,Pts+Ast,7.12,6.87,3.14,11.3,3.22,12.0,Low,,UNKNOWN,10000,1
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,PA,Pts+Ast,5.38,4.83,1.86,9.49,3.16,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,raegan beers,Raegan Beers,CON,POR,CON vs POR,PA,Pts+Ast,4.48,4.27,1.93,7.3,2.11,10.83,Medium,,UNKNOWN,10000,2
2026-07-14,gianna kneepkens,Gianna Kneepkens,CON,POR,CON vs POR,PA,Pts+Ast,4.06,3.29,0.84,8.15,3.18,8.46,Medium,,UNKNOWN,10000,2
2026-07-14,nell angloma,Nell Angloma,CON,POR,CON vs POR,PA,Pts+Ast,3.34,2.95,0.96,6.21,2.15,9.9,Medium,,UNKNOWN,10000,2
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,PR,Pts+Reb,18.81,17.66,9.76,29.62,8.02,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,PR,Pts+Reb,16.32,15.56,9.2,24.27,6.18,22.2,Low,,UNKNOWN,10000,1
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,PR,Pts+Reb,14.68,14.15,9.72,20.29,4.26,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,PR,Pts+Reb,12.96,11.81,5.66,21.96,6.69,24.17,Medium,,UNKNOWN,10000,2
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,PR,Pts+Reb,11.18,10.54,5.71,17.46,4.72,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,PR,Pts+Reb,9.41,9.09,5.74,13.47,3.09,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,hailey van lith,Hailey Van Lith,CON,POR,CON vs POR,PR,Pts+Reb,8.88,8.65,4.12,13.89,3.81,12.0,Low,,UNKNOWN,10000,1
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,PR,Pts+Reb,8.1,7.56,3.11,13.64,4.27,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,raegan beers,Raegan Beers,CON,POR,CON vs POR,PR,Pts+Reb,4.72,4.48,2.2,7.6,2.16,10.83,Medium,,UNKNOWN,10000,2
2026-07-14,nell angloma,Nell Angloma,CON,POR,CON vs POR,PR,Pts+Reb,4.38,3.91,1.34,7.93,2.7,9.9,Medium,,UNKNOWN,10000,2
2026-07-14,gianna kneepkens,Gianna Kneepkens,CON,POR,CON vs POR,PR,Pts+Reb,4.28,3.67,1.23,8.08,2.94,8.46,Medium,,UNKNOWN,10000,2
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,21.8,20.57,11.99,33.22,8.69,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,20.76,20.3,14.22,27.93,5.44,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,17.88,17.15,10.17,26.45,6.64,22.2,Low,,UNKNOWN,10000,1
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,15.15,13.97,7.24,24.62,7.19,24.17,Medium,,UNKNOWN,10000,2
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,14.4,13.82,7.57,22.12,5.72,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,11.32,10.98,6.96,16.1,3.63,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,hailey van lith,Hailey Van Lith,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,9.41,9.13,4.28,14.86,4.12,12.0,Low,,UNKNOWN,10000,1
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,7.96,7.47,3.09,13.33,4.13,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,raegan beers,Raegan Beers,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,6.35,6.08,2.87,10.21,2.91,10.83,Medium,,UNKNOWN,10000,2
2026-07-14,gianna kneepkens,Gianna Kneepkens,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,5.05,4.3,1.34,9.56,3.52,8.46,Medium,,UNKNOWN,10000,2
2026-07-14,nell angloma,Nell Angloma,CON,POR,CON vs POR,PRA,Pts+Reb+Ast,4.93,4.46,1.54,8.89,2.97,9.9,Medium,,UNKNOWN,10000,2
2026-07-14,leila lacan,Leila Lacan,CON,POR,CON vs POR,PTS,Points,15.19,14.62,9.54,21.57,4.79,30.57,Medium,,UNKNOWN,10000,2
2026-07-14,brittney griner,Brittney Griner,CON,POR,CON vs POR,PTS,Points,14.41,12.96,6.17,24.46,7.58,25.7,Medium,,UNKNOWN,10000,2
2026-07-14,olivia nelson-ododa,Olivia Nelson-Ododa,CON,POR,CON vs POR,PTS,Points,11.04,10.9,6.8,15.54,3.42,22.2,Low,,UNKNOWN,10000,1
2026-07-14,aaliyah edwards,Aaliyah Edwards,CON,POR,CON vs POR,PTS,Points,10.72,9.55,3.57,19.24,6.56,12.66,Medium,,UNKNOWN,10000,2
2026-07-14,diamond miller,Diamond Miller,CON,POR,CON vs POR,PTS,Points,9.64,9.21,5.48,14.37,3.57,21.24,Medium,,UNKNOWN,10000,2
2026-07-14,charlisse leger-walker,Charlisse Leger-Walker,CON,POR,CON vs POR,PTS,Points,8.41,7.76,3.95,13.76,3.96,24.21,Medium,,UNKNOWN,10000,2
2026-07-14,kennedy burke,Kennedy Burke,CON,POR,CON vs POR,PTS,Points,8.15,7.04,2.68,14.92,5.15,24.17,Medium,,UNKNOWN,10000,2
