player_name,team,kept,reason
Breanna Stewart,NYL,True,already_in_features
Marina Mabrey,TOR,True,already_in_features
Shakira Austin,WAS,True,baseline_live_line_no_history
Brittney Sykes,TOR,True,baseline_live_line_no_history
Sonia Citron,WAS,True,baseline_live_line_no_history
Kiki Iriafen,WAS,True,baseline_live_line_no_history
Jonquel Jones,NYL,True,already_in_features
Brittney Griner,CON,True,baseline_live_line_no_history
Aneesah Morrow,CON,True,baseline_live_line_no_history
Dominique Malonga,SEA,True,baseline_live_line_no_history
Veronica Burton,GSV,True,baseline_live_line_no_history
Flau'jae Johnson,SEA,True,baseline_live_line_no_history
Natisha Hiedeman,SEA,True,baseline_live_line_no_history
Gabby Williams,GSV,True,baseline_live_line_no_history
Kayla Thornton,GSV,True,baseline_live_line_no_history
