metric,value,detail
prediction_player_rows,3090,
prediction_stat_rows,18540,
actual_player_rows_in_scope,4747,
matched_projection_stat_rows,12618,
matched_minutes_rows,2103,
unmatched_projection_stat_rows,5922,
unmatched_minutes_rows,987,
unmatched_predictions_by_reason,1944,missing_projected_or_actual_value
unmatched_predictions_by_reason,564,no_actual_rows_for_game_date
unmatched_predictions_by_reason,3414,no_safe_player_match
unmatched_actual_player_rows,2322,no_projection_for_player_team_date
