rows,graded_predictions,wins,losses,pushes,accuracy,brier,log_loss,plays_retained_at_56,dimension,segment,projection_mae,projection_rmse
551,539.0,321.0,218.0,12.0,0.5955473098330241,0.37429719183674764,1.5147381503008044,551.0,confidence_bucket,90+,,
188,186.0,92.0,94.0,2.0,0.4946236559139785,0.38680165930107524,1.089221224095883,188.0,confidence_bucket,80-90,,
156,151.0,88.0,63.0,5.0,0.5827814569536424,0.2750599271523179,0.7575452395178935,156.0,confidence_bucket,70-80,,
26,24.0,10.0,14.0,2.0,0.4166666666666667,0.3133059125,0.827547162075878,26.0,confidence_bucket,65-70,,
12,11.0,5.0,6.0,1.0,0.45454545454545453,0.27456863454545455,0.7435179206816528,12.0,confidence_bucket,60-65,,
8,8.0,7.0,1.0,0.0,0.875,0.1988047825,0.589963887204503,8.0,confidence_bucket,55-60,,
155,152.0,77.0,75.0,3.0,0.506578947368421,0.415635532828954,1.477798090562655,155.0,line_range,12-16,,
145,144.0,78.0,66.0,1.0,0.5416666666666666,0.37614291041666664,1.365830955576878,145.0,line_range,16-22,,
104,100.0,56.0,44.0,4.0,0.56,0.37951537139999997,1.4478917018701591,104.0,line_range,8-12,,
98,97.0,60.0,37.0,1.0,0.6185567010309279,0.3303852956701031,1.184565366491046,98.0,line_range,22-28,,
87,87.0,48.0,39.0,0.0,0.5517241379310345,0.3841529871264598,1.3413856827770376,87.0,line_range,18-24,,
54,54.0,29.0,25.0,0.0,0.5370370370370371,0.3434261770370372,1.0391483113800346,54.0,line_range,16-20,,
50,49.0,35.0,14.0,1.0,0.7142857142857143,0.2228122924489796,0.7017746726103132,50.0,line_range,24-30,,
45,45.0,20.0,25.0,0.0,0.4444444444444444,0.5094434615555555,2.2160072548296657,45.0,line_range,12-18,,
28,28.0,19.0,9.0,0.0,0.6785714285714286,0.3005384607142857,1.208545416260643,28.0,line_range,30-36,,
28,27.0,18.0,9.0,1.0,0.6666666666666666,0.30157345,1.2856563549558682,28.0,line_range,3-5,,
24,21.0,7.0,14.0,3.0,0.3333333333333333,0.4534162352380952,1.2219569135259116,24.0,line_range,4-6,,
17,16.0,9.0,7.0,1.0,0.5625,0.29314112375,0.8133671576834106,17.0,line_range,-inf-8,,
17,16.0,10.0,6.0,1.0,0.625,0.2780471725,0.7911153139707408,17.0,line_range,7-9,,
16,15.0,9.0,6.0,1.0,0.6,0.29891025399999993,0.8840830189893564,16.0,line_range,2-4,,
14,11.0,6.0,5.0,3.0,0.5454545454545454,0.29661564363636367,0.8731590737053119,14.0,line_range,6-8,,
12,11.0,7.0,4.0,1.0,0.6363636363636364,0.2366192990909091,0.6881089807951376,12.0,line_range,5-7,,
8,8.0,6.0,2.0,0.0,0.75,0.22552259,0.7656295945693526,8.0,line_range,28+,,
7,7.0,4.0,3.0,0.0,0.5714285714285714,0.26039666714285714,0.7120722883631563,7.0,line_range,1.5-2.5,,
7,7.0,5.0,2.0,0.0,0.7142857142857143,0.19498247000000002,0.5389658203646726,7.0,line_range,20-25,,
6,6.0,5.0,1.0,0.0,0.8333333333333334,0.12019135666666664,0.36951744957198635,6.0,line_range,0.5-1.5,,
6,5.0,4.0,1.0,1.0,0.8,0.17620863599999997,0.545222595309672,6.0,line_range,9-12,,
2,2.0,2.0,0.0,0.0,1.0,1.0000000000575112e-12,1.000000500029089e-06,2.0,line_range,10+,,
2,2.0,2.0,0.0,0.0,1.0,0.05910122500000002,0.2775845620077915,2.0,line_range,12+,,
2,2.0,2.0,0.0,0.0,1.0,7.6050005000000565e-06,0.0019543124157585527,2.0,line_range,25+,,
2,2.0,2.0,0.0,0.0,1.0,2.500000000000005e-06,0.0015012515021283067,2.0,line_range,36+,,
1,1.0,0.0,1.0,0.0,0.0,0.8973772900000001,2.943139823434821,1.0,line_range,-inf-12,,
1,1.0,0.0,1.0,0.0,0.0,0.97180164,4.254513314374923,1.0,line_range,-inf-2,,
1,1.0,1.0,0.0,0.0,1.0,0.017187209999999998,0.14052723513697674,1.0,line_range,-inf-3,,
1,1.0,1.0,0.0,0.0,1.0,0.04004000999999998,0.2232685591273608,1.0,line_range,2.5-4.5,,
