player_name,team,opponent,has_live_line,has_history,history_source,included,reason
Allisha Gray,ATL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Angel Reese,ATL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Jordin Canada,ATL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Rhyne Howard,ATL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Courtney Vandersloot,CHI,CON,True,True,last_good_canonical,True,included
Kamilla Cardoso,CHI,CON,True,True,last_good_canonical,True,included
Natasha Cloud,CHI,CON,True,True,last_good_canonical,True,included
Sydney Taylor,CHI,CON,True,True,last_good_canonical,True,included
Aneesah Morrow,CON,CHI,True,True,last_good_canonical,True,included
Charlisse Leger-Walker,CON,CHI,True,True,last_good_canonical,True,included
Diamond Miller,CON,CHI,True,True,last_good_canonical,True,included
Leila Lacan,CON,CHI,True,True,last_good_canonical,True,included
Olivia Nelson-Ododa,CON,CHI,True,True,last_good_canonical,True,included
Arike Ogunbowale,DAL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Azzi Fudd,DAL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Jessica Shepard,DAL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Paige Bueckers,DAL,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Aliyah Boston,IND,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Caitlin Clark,IND,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Kelsey Mitchell,IND,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
A'ja Wilson,LVA,NYL,True,True,last_good_canonical,True,included
Chelsea Gray,LVA,NYL,True,True,last_good_canonical,True,included
Jackie Young,LVA,NYL,True,True,last_good_canonical,True,included
Jewell Loyd,LVA,NYL,True,True,last_good_canonical,True,included
NaLyssa Smith,LVA,NYL,True,True,last_good_canonical,True,included
Courtney Williams,MIN,TOR,True,True,last_good_canonical,True,included
Kayla McBride,MIN,TOR,True,True,last_good_canonical,True,included
Napheesa Collier,MIN,TOR,True,True,last_good_canonical,True,included
Natasha Howard,MIN,TOR,True,True,last_good_canonical,True,included
Olivia Miles,MIN,TOR,True,True,last_good_canonical,True,included
Breanna Stewart,NYL,LVA,True,True,last_good_canonical,True,included
Jonquel Jones,NYL,LVA,True,True,last_good_canonical,True,included
Pauline Astier,NYL,LVA,True,True,last_good_canonical,True,included
Sabrina Ionescu,NYL,LVA,True,True,last_good_canonical,True,included
Bridget Carleton,POR,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Carla Leite,POR,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Emily Engstler,POR,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Megan DiLeo,POR,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Dominique Malonga,SEA,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Julie Allemand,TOR,MIN,True,True,last_good_canonical,True,included
Laura Juškaitė,TOR,MIN,True,True,last_good_canonical,True,included
Maria Conde,TOR,MIN,True,True,last_good_canonical,True,included
Marina Mabrey,TOR,MIN,True,True,last_good_canonical,True,included
Georgia Amoore,WAS,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Kiki Iriafen,WAS,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Michaela Onyenwere,WAS,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Shakira Austin,WAS,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
Sonia Citron,WAS,,True,True,last_good_canonical,False,excluded_not_on_canonical_slate
