game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source,name_key,reason
2026-05-14,2026,A'ja Wilson,LVA,CON,A,21.0,22.0,11.0,1.0,0.0,0.0,2.0,1.0,15.0,8.0,9.0,6.0,4.0,7.0,,a'ja wilson,0,last_good_canonical,401856905.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-05-24,2026,A'ja Wilson,LVA,LAS,A,35.0,24.0,15.0,4.0,2.0,2.0,4.0,3.0,20.0,8.0,6.0,6.0,2.0,13.0,,a'ja wilson,0,last_good_canonical,401856932.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-05-29,2026,A'ja Wilson,LVA,DAL,A,35.0,21.0,7.0,3.0,1.0,1.0,0.0,2.0,24.0,10.0,1.0,0.0,1.0,6.0,,a'ja wilson,0,last_good_canonical,401856943.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-03,2026,A'ja Wilson,LVA,LAS,A,34.0,25.0,15.0,1.0,1.0,3.0,5.0,3.0,20.0,10.0,7.0,4.0,3.0,12.0,,a'ja wilson,0,last_good_canonical,401856958.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-09,2026,A'ja Wilson,LVA,SEA,A,36.0,34.0,12.0,9.0,3.0,1.0,3.0,2.0,19.0,10.0,13.0,11.0,4.0,8.0,,a'ja wilson,0,last_good_canonical,401856974.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-12,2026,A'ja Wilson,LVA,POR,A,36.0,32.0,5.0,4.0,1.0,1.0,2.0,3.0,20.0,10.0,13.0,11.0,2.0,3.0,,a'ja wilson,0,last_good_canonical,401856983.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-14,2026,A'ja Wilson,LVA,MIN,A,32.0,24.0,10.0,1.0,1.0,2.0,3.0,3.0,15.0,9.0,6.0,5.0,2.0,8.0,,a'ja wilson,0,last_good_canonical,401856987.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-16,2026,A'ja Wilson,LVA,DAL,A,26.0,18.0,5.0,2.0,0.0,1.0,0.0,2.0,15.0,8.0,3.0,2.0,0.0,5.0,,a'ja wilson,0,last_good_canonical,401856992.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-18,2026,A'ja Wilson,LVA,PHX,A,37.0,33.0,10.0,3.0,0.0,5.0,2.0,2.0,20.0,11.0,13.0,11.0,4.0,6.0,,a'ja wilson,0,last_good_canonical,401857000.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
2026-06-24,2026,A'ja Wilson,LVA,NYL,A,36.0,16.0,9.0,5.0,0.0,4.0,0.0,3.0,18.0,7.0,3.0,2.0,1.0,8.0,,a'ja wilson,0,last_good_canonical,401857016.0,3149391.0,C,1.0,1.0,espn,a'ja wilson,no_projection_for_player_team_date
