player_name,team,had_history_before,rows_added,source,athlete_id
Aneesah Morrow,CON,False,41,api:espn:wnba:gamelog,4684384
Brittney Griner,CON,False,102,api:espn:wnba:gamelog,2490553
Kennedy Burke,CON,False,75,api:espn:wnba:gamelog,3922628
Saniya Rivers,CON,False,42,api:espn:wnba:gamelog,4433514
Gabby Williams,GSV,False,67,api:espn:wnba:gamelog,3142328
Janelle Salaün,GSV,False,0,api:espn:wnba:gamelog,4790264
Kayla Thornton,GSV,False,105,api:espn:wnba:gamelog,2529622
Tiffany Hayes,GSV,False,0,api:espn:wnba:gamelog,1054
Veronica Burton,GSV,False,115,api:espn:wnba:gamelog,4398935
Betnijah Laney-Hamilton,NYL,True,70,api:espn:wnba:gamelog,2593770
Breanna Stewart,NYL,True,114,api:espn:wnba:gamelog,2998928
Jonquel Jones,NYL,True,113,api:espn:wnba:gamelog,2999101
Marine Johannes,NYL,False,80,api:espn:wnba:gamelog,4038379
Dominique Malonga,SEA,False,42,api:espn:wnba:gamelog,5220150
Flau'jae Johnson,SEA,False,92,api:espn:womens-college-basketball:gamelog,4698736
Jade Melbourne,SEA,False,0,api:espn:wnba:gamelog,5017726
Natisha Hiedeman,SEA,False,126,api:espn:wnba:gamelog,3906753
Brittney Sykes,TOR,False,98,api:espn:wnba:gamelog,2988756
Julie Allemand,TOR,False,34,api:espn:wnba:gamelog,4001679
Kia Nurse,TOR,False,124,api:espn:wnba:gamelog,3142327
Marina Mabrey,TOR,True,114,api:espn:wnba:gamelog,3904576
Temi Fágbénlé,TOR,False,61,api:espn:wnba:gamelog,2569044
Georgia Amoore,WAS,False,90,api:espn:womens-college-basketball:gamelog,4704180
Kiki Iriafen,WAS,False,45,api:espn:wnba:gamelog,4898384
Lauren Betts,WAS,False,86,api:espn:womens-college-basketball:gamelog,5105737
Shakira Austin,WAS,False,69,api:espn:wnba:gamelog,4398911
Sonia Citron,WAS,False,45,api:espn:wnba:gamelog,4433524
