game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source
2025-05-16,2025,A'ja Wilson,LVA,NYL,H,36.5,23.9,9.0,1.1,1.1,2.1,2.7,,,,,,,,,a'ja wilson,1,csv
2025-05-18,2025,A'ja Wilson,LVA,NYL,H,31.3,18.9,14.0,5.7,0.2,1.5,3.1,,,,,,,,,a'ja wilson,1,csv
2025-05-20,2025,A'ja Wilson,LVA,NYL,H,35.3,15.2,11.3,2.7,0.8,2.7,1.4,,,,,,,,,a'ja wilson,1,csv
2025-05-22,2025,A'ja Wilson,LVA,NYL,H,34.8,23.3,11.6,2.0,1.3,0.6,2.2,,,,,,,,,a'ja wilson,1,csv
2025-05-24,2025,A'ja Wilson,LVA,NYL,H,34.4,23.1,10.4,3.7,0.0,1.8,2.2,,,,,,,,,a'ja wilson,1,csv
2025-05-26,2025,A'ja Wilson,LVA,NYL,H,33.7,28.4,12.8,4.4,0.4,1.2,1.9,,,,,,,,,a'ja wilson,1,csv
2025-05-28,2025,A'ja Wilson,LVA,NYL,H,27.6,25.9,3.4,0.0,0.9,2.0,1.8,,,,,,,,,a'ja wilson,1,csv
2025-05-30,2025,A'ja Wilson,LVA,NYL,H,36.7,28.9,11.9,3.7,0.9,1.0,2.8,,,,,,,,,a'ja wilson,1,csv
2025-06-01,2025,A'ja Wilson,LVA,NYL,H,37.3,21.2,11.3,1.3,0.0,2.2,2.4,,,,,,,,,a'ja wilson,1,csv
2025-06-03,2025,A'ja Wilson,LVA,NYL,H,32.9,22.1,12.1,3.1,1.1,1.7,2.7,,,,,,,,,a'ja wilson,1,csv
2025-06-05,2025,A'ja Wilson,LVA,NYL,H,32.6,21.5,12.2,4.1,0.3,1.5,2.5,,,,,,,,,a'ja wilson,1,csv
2025-06-07,2025,A'ja Wilson,LVA,NYL,H,34.6,28.5,10.4,1.6,0.0,2.1,2.3,,,,,,,,,a'ja wilson,1,csv
2025-06-09,2025,A'ja Wilson,LVA,NYL,H,30.9,27.0,8.5,5.1,1.4,1.9,2.5,,,,,,,,,a'ja wilson,1,csv
2025-06-11,2025,A'ja Wilson,LVA,NYL,H,37.9,27.0,10.7,5.5,0.6,1.7,2.1,,,,,,,,,a'ja wilson,1,csv
2025-06-13,2025,A'ja Wilson,LVA,NYL,H,35.4,26.8,13.2,7.7,0.0,1.3,2.1,,,,,,,,,a'ja wilson,1,csv
2025-06-15,2025,A'ja Wilson,LVA,NYL,H,34.8,23.2,11.5,6.6,0.1,2.0,3.0,,,,,,,,,a'ja wilson,1,csv
2025-06-17,2025,A'ja Wilson,LVA,NYL,H,36.9,27.0,10.7,1.8,0.0,1.9,2.7,,,,,,,,,a'ja wilson,1,csv
2025-06-19,2025,A'ja Wilson,LVA,NYL,H,37.6,21.7,9.3,5.4,0.6,1.4,2.3,,,,,,,,,a'ja wilson,1,csv
2025-06-21,2025,A'ja Wilson,LVA,NYL,H,35.3,23.4,10.4,1.8,3.0,2.0,2.2,,,,,,,,,a'ja wilson,1,csv
2025-06-23,2025,A'ja Wilson,LVA,NYL,H,32.6,21.7,12.5,4.0,0.7,0.9,2.2,,,,,,,,,a'ja wilson,1,csv
2025-06-25,2025,A'ja Wilson,LVA,NYL,H,32.1,24.4,7.2,0.3,1.4,1.4,1.8,,,,,,,,,a'ja wilson,1,csv
2025-06-27,2025,A'ja Wilson,LVA,NYL,H,33.9,26.9,7.8,1.8,1.9,1.1,2.8,,,,,,,,,a'ja wilson,1,csv
2025-06-29,2025,A'ja Wilson,LVA,NYL,H,33.4,25.3,11.3,6.0,0.0,1.7,2.6,,,,,,,,,a'ja wilson,1,csv
2025-07-01,2025,A'ja Wilson,LVA,NYL,H,33.6,29.6,11.4,3.4,0.0,2.3,2.2,,,,,,,,,a'ja wilson,1,csv
2023-05-20,2023,Alanna Smith,DAL,MIN,A,20.0,15.0,4.0,1.0,3.0,2.0,3.0,,,,,,,,,alanna smith,0,csv
2023-05-21,2023,Alanna Smith,DAL,PHX,A,16.0,6.0,3.0,0.0,0.0,0.0,1.0,,,,,,,,,alanna smith,0,csv
2023-05-27,2023,Alanna Smith,DAL,WAS,H,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,alanna smith,1,csv
2023-05-28,2023,Alanna Smith,DAL,DAL,H,28.0,14.0,12.0,6.0,1.0,0.0,2.0,,,,,,,,,alanna smith,1,csv
2023-05-30,2023,Alanna Smith,DAL,ATL,A,21.0,3.0,6.0,1.0,1.0,0.0,1.0,,,,,,,,,alanna smith,0,csv
2023-06-02,2023,Alanna Smith,DAL,NYL,H,35.0,18.0,6.0,3.0,4.0,0.0,1.0,,,,,,,,,alanna smith,1,csv
2023-06-04,2023,Alanna Smith,DAL,NYL,A,38.0,7.0,5.0,3.0,0.0,1.0,1.0,,,,,,,,,alanna smith,0,csv
2023-06-07,2023,Alanna Smith,DAL,IND,H,39.0,18.0,5.0,5.0,2.0,2.0,2.0,,,,,,,,,alanna smith,1,csv
2023-06-10,2023,Alanna Smith,DAL,LAS,A,29.0,19.0,9.0,2.0,2.0,2.0,5.0,,,,,,,,,alanna smith,0,csv
2023-06-11,2023,Alanna Smith,DAL,LVA,A,29.0,7.0,8.0,1.0,1.0,1.0,1.0,,,,,,,,,alanna smith,0,csv
2023-06-16,2023,Alanna Smith,DAL,IND,H,38.0,8.0,11.0,4.0,0.0,2.0,3.0,,,,,,,,,alanna smith,1,csv
2023-06-18,2023,Alanna Smith,DAL,WAS,A,26.0,8.0,13.0,0.0,0.0,0.0,1.0,,,,,,,,,alanna smith,0,csv
2023-06-23,2023,Alanna Smith,DAL,WAS,H,26.0,13.0,8.0,1.0,0.0,2.0,0.0,,,,,,,,,alanna smith,1,csv
2023-06-25,2023,Alanna Smith,DAL,CON,A,27.0,11.0,5.0,2.0,0.0,2.0,1.0,,,,,,,,,alanna smith,0,csv
2023-06-28,2023,Alanna Smith,DAL,LAS,H,34.0,9.0,7.0,2.0,0.0,2.0,2.0,,,,,,,,,alanna smith,1,csv
2023-07-01,2023,Alanna Smith,DAL,LAS,H,33.0,18.0,6.0,3.0,2.0,3.0,0.0,,,,,,,,,alanna smith,1,csv
2023-07-02,2023,Alanna Smith,DAL,IND,A,22.0,0.0,6.0,1.0,0.0,3.0,2.0,,,,,,,,,alanna smith,0,csv
2023-07-08,2023,Alanna Smith,DAL,ATL,H,24.0,9.0,6.0,1.0,1.0,1.0,0.0,,,,,,,,,alanna smith,1,csv
2023-07-10,2023,Alanna Smith,DAL,ATL,H,21.0,7.0,6.0,0.0,1.0,0.0,4.0,,,,,,,,,alanna smith,1,csv
2023-07-12,2023,Alanna Smith,DAL,CON,H,23.0,6.0,4.0,0.0,0.0,0.0,1.0,,,,,,,,,alanna smith,1,csv
2023-07-21,2023,Alanna Smith,DAL,PHX,A,29.0,6.0,7.0,0.0,0.0,4.0,0.0,,,,,,,,,alanna smith,0,csv
2023-07-23,2023,Alanna Smith,DAL,SEA,A,31.0,9.0,17.0,2.0,0.0,4.0,3.0,,,,,,,,,alanna smith,0,csv
2023-07-25,2023,Alanna Smith,DAL,LVA,H,22.0,7.0,8.0,2.0,1.0,1.0,1.0,,,,,,,,,alanna smith,1,csv
2023-07-29,2023,Alanna Smith,DAL,SEA,H,33.0,10.0,3.0,2.0,0.0,2.0,3.0,,,,,,,,,alanna smith,1,csv
2023-07-30,2023,Alanna Smith,DAL,PHX,H,27.0,10.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,alanna smith,1,csv
2023-08-05,2023,Alanna Smith,DAL,DAL,A,31.0,20.0,5.0,2.0,1.0,1.0,0.0,,,,,,,,,alanna smith,0,csv
2023-08-06,2023,Alanna Smith,DAL,DAL,A,25.0,3.0,5.0,3.0,0.0,1.0,0.0,,,,,,,,,alanna smith,0,csv
