game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source
2024-05-11,2024,A'ja Wilson,LVA,PUERTORICO,A,23.0,27.0,14.0,2.0,1.0,0.0,0.0,0.0,15.0,10.0,8.0,6.0,3.0,11.0,,a'ja wilson,0,last_good_canonical,401653736.0,3149391.0,C,1.0,1.0,espn
2024-05-15,2024,A'ja Wilson,LVA,PHX,A,35.0,30.0,13.0,5.0,0.0,1.0,3.0,1.0,22.0,10.0,11.0,10.0,3.0,10.0,,a'ja wilson,0,last_good_canonical,401620220.0,3149391.0,C,1.0,1.0,espn
2024-05-18,2024,A'ja Wilson,LVA,LAS,A,32.0,22.0,10.0,1.0,1.0,3.0,2.0,2.0,20.0,9.0,4.0,3.0,4.0,6.0,,a'ja wilson,0,last_good_canonical,401620228.0,3149391.0,C,1.0,1.0,espn
2024-05-22,2024,A'ja Wilson,LVA,PHX,A,32.0,21.0,13.0,2.0,0.0,0.0,3.0,1.0,18.0,8.0,8.0,5.0,2.0,11.0,,a'ja wilson,0,last_good_canonical,401620235.0,3149391.0,C,1.0,1.0,espn
2024-05-26,2024,A'ja Wilson,LVA,IND,A,31.0,29.0,15.0,2.0,1.0,1.0,1.0,0.0,18.0,12.0,4.0,4.0,2.0,13.0,,a'ja wilson,0,last_good_canonical,401620244.0,3149391.0,C,1.0,1.0,espn
2024-05-30,2024,A'ja Wilson,LVA,MIN,A,32.0,29.0,15.0,3.0,0.0,2.0,4.0,2.0,23.0,11.0,10.0,7.0,3.0,12.0,,a'ja wilson,0,last_good_canonical,401620254.0,3149391.0,C,1.0,1.0,espn
2024-05-31,2024,A'ja Wilson,LVA,ATL,A,35.0,28.0,9.0,3.0,0.0,1.0,4.0,1.0,27.0,12.0,4.0,4.0,0.0,9.0,,a'ja wilson,0,last_good_canonical,401620257.0,3149391.0,C,1.0,1.0,espn
2024-06-06,2024,A'ja Wilson,LVA,DAL,A,34.0,36.0,12.0,2.0,1.0,6.0,1.0,3.0,22.0,15.0,6.0,5.0,5.0,7.0,,a'ja wilson,0,last_good_canonical,401620269.0,3149391.0,C,1.0,1.0,espn
2024-06-08,2024,A'ja Wilson,LVA,SEA,A,36.0,29.0,11.0,0.0,0.0,1.0,3.0,3.0,20.0,8.0,14.0,13.0,1.0,10.0,,a'ja wilson,0,last_good_canonical,401620274.0,3149391.0,C,1.0,1.0,espn
2024-06-10,2024,A'ja Wilson,LVA,LAS,A,37.0,31.0,8.0,5.0,2.0,2.0,6.0,1.0,17.0,10.0,11.0,9.0,1.0,7.0,,a'ja wilson,0,last_good_canonical,401620282.0,3149391.0,C,1.0,1.0,espn
2024-06-12,2024,A'ja Wilson,LVA,MIN,A,33.0,28.0,8.0,3.0,1.0,2.0,0.0,1.0,18.0,9.0,10.0,9.0,2.0,6.0,,a'ja wilson,0,last_good_canonical,401620285.0,3149391.0,C,1.0,1.0,espn
2024-06-14,2024,A'ja Wilson,LVA,PHX,A,34.0,32.0,15.0,2.0,1.0,1.0,2.0,3.0,17.0,10.0,11.0,11.0,6.0,9.0,,a'ja wilson,0,last_good_canonical,401620290.0,3149391.0,C,1.0,1.0,espn
2024-06-15,2024,A'ja Wilson,LVA,NYL,A,36.0,21.0,9.0,3.0,0.0,0.0,1.0,2.0,16.0,9.0,4.0,3.0,0.0,9.0,,a'ja wilson,0,last_good_canonical,401620294.0,3149391.0,C,1.0,1.0,espn
2024-06-20,2024,A'ja Wilson,LVA,SEA,A,32.0,27.0,9.0,3.0,0.0,4.0,2.0,0.0,18.0,11.0,7.0,5.0,2.0,7.0,,a'ja wilson,0,last_good_canonical,401620303.0,3149391.0,C,1.0,1.0,espn
2024-06-22,2024,A'ja Wilson,LVA,CON,A,34.0,26.0,16.0,1.0,0.0,2.0,2.0,3.0,17.0,9.0,8.0,8.0,4.0,12.0,,a'ja wilson,0,last_good_canonical,401620307.0,3149391.0,C,1.0,1.0,espn
2024-06-27,2024,A'ja Wilson,LVA,CHI,A,34.0,31.0,6.0,3.0,1.0,2.0,2.0,3.0,19.0,10.0,12.0,10.0,2.0,4.0,,a'ja wilson,0,last_good_canonical,401620317.0,3149391.0,C,1.0,1.0,espn
2024-06-29,2024,A'ja Wilson,LVA,WAS,A,32.0,11.0,9.0,5.0,0.0,2.0,1.0,1.0,15.0,4.0,4.0,3.0,0.0,9.0,,a'ja wilson,0,last_good_canonical,401620321.0,3149391.0,C,1.0,1.0,espn
2024-07-03,2024,A'ja Wilson,LVA,IND,A,36.0,28.0,9.0,1.0,0.0,2.0,5.0,0.0,22.0,13.0,3.0,2.0,2.0,7.0,,a'ja wilson,0,last_good_canonical,401620330.0,3149391.0,C,1.0,1.0,espn
2024-07-05,2024,A'ja Wilson,LVA,WAS,A,26.0,18.0,9.0,4.0,0.0,3.0,3.0,2.0,12.0,9.0,0.0,0.0,0.0,9.0,,a'ja wilson,0,last_good_canonical,401620334.0,3149391.0,C,1.0,1.0,espn
2024-07-06,2024,A'ja Wilson,LVA,LAS,A,41.0,35.0,12.0,3.0,0.0,0.0,6.0,2.0,23.0,13.0,9.0,9.0,0.0,12.0,,a'ja wilson,0,last_good_canonical,401620336.0,3149391.0,C,1.0,1.0,espn
2024-07-07,2024,A'ja Wilson,LVA,DAL,A,31.0,28.0,10.0,2.0,3.0,1.0,2.0,2.0,22.0,11.0,4.0,3.0,3.0,7.0,,a'ja wilson,0,last_good_canonical,401620341.0,3149391.0,C,1.0,1.0,espn
