player_name,team,position,player_key,_data_source
Sabrina Ionescu,NYL,G,sabrina ionescu,csv:manual
Breanna Stewart,NYL,F,breanna stewart,csv:manual
Jonquel Jones,NYL,C,jonquel jones,csv:manual
Betnijah Laney-Hamilton,NYL,G,betnijah laney-hamilton,csv:manual
Courtney Vandersloot,NYL,G,courtney vandersloot,csv:manual
A'ja Wilson,LVA,C,a'ja wilson,csv:manual
Jackie Young,LVA,G,jackie young,csv:manual
Chelsea Gray,LVA,G,chelsea gray,csv:manual
Kelsey Plum,LVA,G,kelsey plum,csv:manual
Alysha Clark,LVA,F,alysha clark,csv:manual
Alyssa Thomas,CON,F,alyssa thomas,csv:manual
DeWanna Bonner,CON,F,dewanna bonner,csv:manual
Brionna Jones,CON,C,brionna jones,csv:manual
DiJonai Carrington,CON,G,dijonai carrington,csv:manual
Marina Mabrey,CON,G,marina mabrey,csv:manual
Caitlin Clark,IND,G,caitlin clark,csv:manual
Aliyah Boston,IND,C,aliyah boston,csv:manual
Kelsey Mitchell,IND,G,kelsey mitchell,csv:manual
NaLyssa Smith,IND,F,nalyssa smith,csv:manual
Erica Wheeler,IND,G,erica wheeler,csv:manual
