player_name,team,opponent,stat,line,over_odds,under_odds,sportsbook,fetched_at,source_mode,_data_source,_stat_label,_odds_type,player_key
Nneka Ogwumike,LAS,,pra,29.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,nneka ogwumike
Carla Leite,POR,,points,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,carla leite
Bridget Carleton,POR,,pra,19.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,bridget carleton
Olivia Nelson-Ododa,CON,,pr,17.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,olivia nelson-ododa
Leila Lacan,CON,,pa,17.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,leila lacan
Carla Leite,POR,,pr,17.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,carla leite
Bridget Carleton,POR,,pr,17.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,bridget carleton
Megan Gustafson,POR,,pr,16.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,megan gustafson
Bridget Carleton,POR,,pa,15.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,bridget carleton
Emily Engstler,POR,,pr,14.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,emily engstler
Olivia Miles,MIN,,ra,10.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Rebs+Asts,standard,olivia miles
Bridget Carleton,POR,,points,13.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,bridget carleton
Brittney Griner,CON,,points,13.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,brittney griner
Megan Gustafson,POR,,points,12.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,megan gustafson
Leila Lacan,CON,,points,11.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,leila lacan
Olivia Nelson-Ododa,CON,,points,11.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,olivia nelson-ododa
Emily Engstler,POR,,points,8.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Points,standard,emily engstler
Carla Leite,POR,,assists,5.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Assists,standard,carla leite
Brittney Griner,CON,,pr,20.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Rebs,standard,brittney griner
Carla Leite,POR,,pa,20.0,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,carla leite
Carla Leite,POR,,pra,22.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,PRA,standard,carla leite
Alyssa Thomas,PHX,,steals,1.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Steals,standard,alyssa thomas
Nia Coffey,MIN,,pa,9.5,,,prizepicks,2026-07-13T22:30:10.849144+00:00,api,api:prizepicks,Pts+Asts,standard,nia coffey
