confidence_label,stat,side,total_bets,wins,losses,pushes,win_rate,avg_predicted_hit_rate,calibration_gap,created_at_utc
Low,assists,over,9,4,4,1,0.5,0.7298166053333334,-0.22981660533333337,2026-06-20T11:30:28Z
Low,assists,under,11,6,4,1,0.6,0.7498307752727272,-0.14983077527272726,2026-06-20T11:30:28Z
Low,pa,over,9,2,7,0,0.2222222222222222,0.670623744,-0.4484015217777778,2026-06-20T11:30:28Z
Low,pa,under,76,31,44,1,0.41333333333333333,0.7655577186505261,-0.3522243853171928,2026-06-20T11:30:28Z
Low,points,over,19,11,8,0,0.5789473684210527,0.719254396631579,-0.14030702821052632,2026-06-20T11:30:28Z
Low,points,under,80,40,40,0,0.5,0.7788078434235001,-0.27880784342350007,2026-06-20T11:30:28Z
Low,pr,over,18,7,11,0,0.3888888888888889,0.6731729487555556,-0.28428405986666666,2026-06-20T11:30:28Z
Low,pr,under,108,60,47,1,0.5607476635514018,0.8245492030833333,-0.26380153953193153,2026-06-20T11:30:28Z
Low,pra,over,21,7,14,0,0.3333333333333333,0.7607767760533333,-0.42744344271999996,2026-06-20T11:30:28Z
Low,pra,under,120,65,54,1,0.5462184873949579,0.8558305223146665,-0.30961203491970857,2026-06-20T11:30:28Z
Low,ra,over,5,0,5,0,0.0,0.6476067408,-0.6476067408,2026-06-20T11:30:28Z
Low,ra,under,16,10,6,0,0.625,0.8044853279999999,-0.17948532799999994,2026-06-20T11:30:28Z
Low,rebounds,over,12,5,5,2,0.5,0.659724138,-0.15972413799999996,2026-06-20T11:30:28Z
Low,rebounds,under,17,13,4,0,0.7647058823529411,0.818144737882353,-0.053438855529411855,2026-06-20T11:30:28Z
Low,steals,over,2,1,1,0,0.5,0.85545,-0.35545000000000004,2026-06-20T11:30:28Z
Low,steals,under,2,2,0,0,1.0,0.6892031999999999,0.3107968000000001,2026-06-20T11:30:28Z
Low,threes_made,under,1,1,0,0,1.0,0.6187368000000001,0.3812631999999999,2026-06-20T11:30:28Z
Medium,assists,over,19,7,10,2,0.4117647058823529,0.8002100956631579,-0.388445389780805,2026-06-20T11:30:28Z
Medium,assists,under,31,14,14,3,0.5,0.835067192516129,-0.33506719251612904,2026-06-20T11:30:28Z
Medium,pa,over,43,21,21,1,0.5,0.8647728097023256,-0.3647728097023256,2026-06-20T11:30:28Z
Medium,pa,under,77,40,37,0,0.5194805194805194,0.791649923121039,-0.27216940364051956,2026-06-20T11:30:28Z
Medium,points,over,105,56,46,3,0.5490196078431373,0.8178424533889522,-0.2688228455458149,2026-06-20T11:30:28Z
Medium,points,under,141,79,58,4,0.5766423357664233,0.7776502758156029,-0.20100794004917955,2026-06-20T11:30:28Z
Medium,pr,over,77,40,35,2,0.5333333333333333,0.8074291615714287,-0.2740958282380954,2026-06-20T11:30:28Z
Medium,pr,under,132,75,56,1,0.5725190839694656,0.8277099771675758,-0.25519089319811017,2026-06-20T11:30:28Z
Medium,pra,over,59,30,29,0,0.5084745762711864,0.8288726985145762,-0.3203981222433898,2026-06-20T11:30:28Z
Medium,pra,under,125,78,47,0,0.624,0.8440011630550401,-0.22000116305504014,2026-06-20T11:30:28Z
Medium,ra,over,18,9,9,0,0.5,0.7440201925111111,-0.24402019251111107,2026-06-20T11:30:28Z
Medium,ra,under,36,21,13,2,0.6176470588235294,0.7454822695877777,-0.1278352107642483,2026-06-20T11:30:28Z
Medium,rebounds,over,45,27,13,5,0.675,0.7303104734439111,-0.055310473443911046,2026-06-20T11:30:28Z
Medium,rebounds,under,53,33,17,3,0.66,0.7838173571622642,-0.12381735716226416,2026-06-20T11:30:28Z
Medium,steals,over,8,4,4,0,0.5,0.7947260608,-0.29472606079999997,2026-06-20T11:30:28Z
Medium,steals,under,2,0,2,0,0.0,0.7004146,-0.7004146,2026-06-20T11:30:28Z
Medium,threes_made,over,2,1,1,0,0.5,0.7028922,-0.20289219999999997,2026-06-20T11:30:28Z
Medium,threes_made,under,7,4,3,0,0.5714285714285714,0.7483055867428571,-0.17687701531428568,2026-06-20T11:30:28Z
