slate_date,game_date,player_name,player_id,player_key,team,opponent,stat,projected_value,actual_value,error,absolute_error,squared_error,source_file,created_at_utc
2026-05-08,2026-05-08,Aneesah Morrow,aneesah morrow,aneesah morrow,CON,NYL,points,11.47,15.0,-3.5299999999999994,3.5299999999999994,12.460899999999995,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Aneesah Morrow,aneesah morrow,aneesah morrow,CON,NYL,rebounds,7.73,6.0,1.7300000000000004,1.7300000000000004,2.9929000000000014,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Aneesah Morrow,aneesah morrow,aneesah morrow,CON,NYL,assists,1.04,0.0,1.04,1.04,1.0816000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Aneesah Morrow,aneesah morrow,aneesah morrow,CON,NYL,threes_made,1.03,1.0,0.030000000000000027,0.030000000000000027,0.0009000000000000016,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Aneesah Morrow,aneesah morrow,aneesah morrow,CON,NYL,steals,1.06,1.0,0.06000000000000005,0.06000000000000005,0.0036000000000000064,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Aneesah Morrow,aneesah morrow,aneesah morrow,CON,NYL,blocks,0.77,0.0,0.77,0.77,0.5929,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,CON,points,11.45,12.0,-0.5500000000000007,0.5500000000000007,0.30250000000000077,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,CON,rebounds,3.37,2.0,1.37,1.37,1.8769000000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,CON,assists,2.95,4.0,-1.0499999999999998,1.0499999999999998,1.1024999999999996,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,CON,threes_made,1.63,0.0,1.63,1.63,2.6569,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
