slate_date,game_date,player_name,player_id,player_key,team,opponent,projected_minutes,source_file,reason,candidate_actual_rows,created_at_utc
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,36.35,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,30.13,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,26.22,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,34.07,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,LVA,28.36,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Breanna Stewart,breanna stewart,breanna stewart,NYL,LVA,34.45,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Brionna Jones,brionna jones,brionna jones,CON,IND,28.92,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Caitlin Clark,caitlin clark,caitlin clark,IND,CON,34.6,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Chelsea Gray,chelsea gray,chelsea gray,LVA,NYL,32.14,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Courtney Vandersloot,courtney vandersloot,courtney vandersloot,NYL,LVA,26.39,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,DeWanna Bonner,dewanna bonner,dewanna bonner,CON,IND,31.09,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,DiJonai Carrington,dijonai carrington,dijonai carrington,CON,IND,29.69,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Erica Wheeler,erica wheeler,erica wheeler,IND,CON,23.49,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Jackie Young,jackie young,jackie young,LVA,NYL,33.83,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Jonquel Jones,jonquel jones,jonquel jones,NYL,LVA,30.9,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Kelsey Mitchell,kelsey mitchell,kelsey mitchell,IND,CON,31.6,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Kelsey Plum,kelsey plum,kelsey plum,LVA,NYL,32.98,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Marina Mabrey,marina mabrey,marina mabrey,CON,IND,30.06,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,NaLyssa Smith,nalyssa smith,nalyssa smith,IND,CON,27.17,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2025-07-05,2025-07-05,Sabrina Ionescu,sabrina ionescu,sabrina ionescu,NYL,LVA,32.37,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,36.22,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,30.09,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Alysha Clark,alysha clark,alysha clark,LVA,NYL,26.16,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,34.01,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,LVA,28.31,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Breanna Stewart,breanna stewart,breanna stewart,NYL,LVA,34.52,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Brionna Jones,brionna jones,brionna jones,CON,IND,29.0,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Caitlin Clark,caitlin clark,caitlin clark,IND,CON,34.55,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Chelsea Gray,chelsea gray,chelsea gray,LVA,NYL,32.21,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Courtney Vandersloot,courtney vandersloot,courtney vandersloot,NYL,LVA,26.3,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,DeWanna Bonner,dewanna bonner,dewanna bonner,CON,IND,31.18,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,DiJonai Carrington,dijonai carrington,dijonai carrington,CON,IND,29.73,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Erica Wheeler,erica wheeler,erica wheeler,IND,CON,23.55,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Jackie Young,jackie young,jackie young,LVA,NYL,33.55,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Jonquel Jones,jonquel jones,jonquel jones,NYL,LVA,30.92,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Kelsey Mitchell,kelsey mitchell,kelsey mitchell,IND,CON,31.67,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Kelsey Plum,kelsey plum,kelsey plum,LVA,NYL,32.89,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Marina Mabrey,marina mabrey,marina mabrey,CON,IND,29.97,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,NaLyssa Smith,nalyssa smith,nalyssa smith,IND,CON,27.1,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-03-31,2026-03-31,Sabrina Ionescu,sabrina ionescu,sabrina ionescu,NYL,LVA,32.44,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260331.csv,no_actual_rows_for_game_date,0,2026-06-24T11:30:43Z
2026-05-09,2026-05-09,Monique Billings,monique billings,monique billings,IND,DAL,21.34,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260509.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
2026-05-14,2026-05-14,Carla Leite,carla leite,carla leite,POR,NYL,13.37,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260514.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2026-05-17,2026-05-17,Aliyah Boston,aliyah boston,aliyah boston,IND,SEA,29.44,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260517.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
2026-05-17,2026-05-17,Skylar Diggins,skylar diggins,skylar diggins,CHI,MIN,31.81,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260517.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
2026-05-18,2026-05-18,Carla Leite,carla leite,carla leite,POR,CON,13.63,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260518.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2026-05-20,2026-05-20,Brittney Griner,brittney griner,brittney griner,CON,SEA,18.75,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260520.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
2026-05-22,2026-05-22,Brittney Griner,brittney griner,brittney griner,CON,SEA,18.28,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260522.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
2026-05-23,2026-05-23,Alysha Clark,alysha clark,alysha clark,LVA,LAS,24.29,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260523.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2026-05-23,2026-05-23,Haley Jones,haley jones,haley jones,POR,TOR,24.77,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260523.csv,no_safe_player_match,0,2026-06-24T11:30:43Z
2026-05-23,2026-05-23,Julie Allemand,julie allemand,julie allemand,TOR,POR,27.8,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260523.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
2026-05-23,2026-05-23,Karlie Samuelson,karlie samuelson,karlie samuelson,POR,TOR,13.09,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260523.csv,missing_projected_or_actual_minutes,1,2026-06-24T11:30:43Z
