slate_date,game_date,player_name,player_id,player_key,team,opponent,stat,projected_value,source_file,reason,candidate_actual_rows,created_at_utc
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,points,23.72,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,rebounds,9.73,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,assists,3.41,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,threes_made,1.04,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,steals,1.54,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,A'ja Wilson,a'ja wilson,a'ja wilson,LVA,NYL,blocks,2.33,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,points,15.43,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,rebounds,7.51,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,assists,3.62,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,threes_made,0.83,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,steals,0.76,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Aliyah Boston,aliyah boston,aliyah boston,IND,CON,blocks,1.1,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,points,8.22,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,rebounds,4.33,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,assists,1.91,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,threes_made,0.75,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,steals,1.05,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alysha Clark,alysha clark,alysha clark,LVA,NYL,blocks,0.51,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,points,13.55,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,rebounds,9.27,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,assists,8.05,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,threes_made,1.12,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,steals,1.39,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Alyssa Thomas,alyssa thomas,alyssa thomas,CON,IND,blocks,0.6,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,LVA,points,12.56,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
2025-07-05,2025-07-05,Betnijah Laney-Hamilton,betnijah laney-hamilton,betnijah laney-hamilton,NYL,LVA,rebounds,4.34,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20250705.csv,no_safe_player_match,0,2026-06-08T11:30:43Z
