player_name,team,opponent,projected_minutes,pts_proj,reb_proj,ast_proj,fg3m_proj,stl_proj,blk_proj,pts_floor,pts_ceiling,reb_floor,reb_ceiling,ast_floor,ast_ceiling,fg3m_floor,fg3m_ceiling,stl_floor,stl_ceiling,blk_floor,blk_ceiling,confidence
A'ja Wilson,LVA,NYL,36.22,23.45,9.73,3.37,1.02,1.51,2.34,19.97,26.95,7.95,11.56,1.36,5.64,0.26,1.89,1.16,1.88,1.98,2.72,medium
Aliyah Boston,IND,CON,30.09,15.58,7.52,3.48,0.8,0.76,1.12,11.97,19.34,6.37,8.71,1.85,5.25,0.2,1.49,0.3,1.26,0.69,1.57,medium
Alysha Clark,LVA,NYL,26.16,8.43,4.4,1.89,0.74,1.01,0.5,6.12,10.84,1.84,7.2,0.47,3.52,0.12,1.45,0.51,1.55,0.26,0.77,medium
Alyssa Thomas,CON,IND,34.01,13.88,9.38,7.99,1.16,1.42,0.59,9.69,18.43,7.75,11.08,6.13,9.94,0.33,2.1,0.98,1.9,0.3,0.91,medium
Betnijah Laney-Hamilton,NYL,LVA,28.31,12.7,4.3,3.17,1.5,0.84,0.5,7.89,17.87,2.68,6.06,1.97,4.46,0.75,2.32,0.25,1.51,0.21,0.84,medium
Breanna Stewart,NYL,LVA,34.52,22.53,8.5,3.61,2.02,1.64,1.51,19.14,26.06,6.67,10.39,2.24,5.07,1.08,3.05,1.21,2.09,1.0,2.05,medium
Brionna Jones,CON,IND,29.0,13.91,8.33,3.54,0.55,0.69,0.99,9.1,19.14,6.36,10.39,1.93,5.3,0.41,0.69,0.17,1.29,0.44,1.59,medium
Caitlin Clark,IND,CON,34.55,24.46,5.95,8.24,3.27,1.45,0.53,19.78,29.33,4.74,7.21,6.72,9.85,2.17,4.43,0.81,2.13,0.26,0.82,medium
Chelsea Gray,LVA,NYL,32.21,16.02,3.07,7.1,2.1,1.45,0.34,13.39,18.75,1.48,4.79,5.47,8.82,1.56,2.67,0.78,2.18,0.18,0.52,medium
Courtney Vandersloot,NYL,LVA,26.3,9.52,3.46,5.6,1.52,1.31,0.31,5.99,13.28,1.78,5.27,3.82,7.5,0.76,2.35,0.89,1.75,0.06,0.59,medium
DeWanna Bonner,CON,IND,31.18,16.74,7.37,2.96,1.73,0.98,0.7,11.99,21.69,5.1,9.78,1.72,4.3,0.92,2.61,0.6,1.39,0.42,0.99,medium
DiJonai Carrington,CON,IND,29.73,12.29,4.81,3.59,1.41,1.19,0.4,10.37,14.28,3.04,6.69,2.05,5.26,0.63,2.29,0.62,1.8,0.09,0.75,medium
Erica Wheeler,IND,CON,23.55,7.92,2.58,4.48,1.35,1.1,0.28,3.93,12.24,1.48,3.75,3.23,5.83,0.82,1.91,0.66,1.57,0.06,0.54,medium
Jackie Young,LVA,NYL,33.55,18.78,3.94,5.77,2.05,1.39,0.4,15.64,22.08,1.71,6.4,4.5,7.1,1.19,2.97,0.79,2.04,0.1,0.75,medium
Jonquel Jones,NYL,LVA,30.92,15.76,8.48,2.41,1.3,1.03,1.61,12.92,18.65,6.31,10.76,1.1,3.84,0.72,1.93,0.69,1.39,1.25,2.0,medium
Kelsey Mitchell,IND,CON,31.67,20.85,3.42,2.75,2.36,1.13,0.47,16.94,25.01,1.34,5.67,1.39,4.25,1.64,3.12,0.65,1.64,0.18,0.79,medium
Kelsey Plum,LVA,NYL,32.89,20.3,3.98,4.15,2.96,1.3,0.51,17.19,23.52,2.3,5.79,2.99,5.38,1.84,4.13,0.87,1.77,0.24,0.81,medium
Marina Mabrey,CON,IND,29.97,16.64,3.39,4.61,2.58,1.15,0.35,11.73,21.86,1.8,5.14,3.39,5.88,1.67,3.56,0.63,1.72,0.07,0.67,medium
NaLyssa Smith,IND,CON,27.1,10.9,7.18,1.96,0.46,0.86,0.84,7.8,14.2,5.49,8.95,0.87,3.23,0.07,0.93,0.47,1.28,0.48,1.23,medium
Sabrina Ionescu,NYL,LVA,32.44,18.61,6.16,7.38,2.53,1.63,0.38,15.87,21.52,4.25,8.22,5.76,9.05,1.91,3.18,1.3,1.97,0.12,0.67,medium
