GAME_DATE,PLAYER_KEY,PLAYER_NAME,TEAM_ABBREVIATION,OPPONENT_ABBREVIATION,OPPONENT,MATCHUP,GAME_ID,SIM_RUNS,ACTIVE_PROB,INJURY_STATUS,CONFIDENCE_LABEL,MODEL_CONFIDENCE,MIN_PROJ,PRED_MIN,SIM_MIN_P10,SIM_MIN_P50,SIM_MIN_P90,SIM_MIN_STD,PTS_PROJ,PRED_PTS,SIM_PTS_P10,SIM_PTS_P50,SIM_PTS_P90,SIM_PTS_STD,REB_PROJ,PRED_REB,SIM_REB_P10,SIM_REB_P50,SIM_REB_P90,SIM_REB_STD,AST_PROJ,PRED_AST,SIM_AST_P10,SIM_AST_P50,SIM_AST_P90,SIM_AST_STD,FG3M_PROJ,PRED_FG3M,SIM_FG3M_P10,SIM_FG3M_P50,SIM_FG3M_P90,SIM_FG3M_STD,STL_PROJ,PRED_STL,SIM_STL_P10,SIM_STL_P50,SIM_STL_P90,SIM_STL_STD,BLK_PROJ,PRED_BLK,SIM_BLK_P10,SIM_BLK_P50,SIM_BLK_P90,SIM_BLK_STD,PRA_PROJ,SIM_PRA_P10,SIM_PRA_P50,SIM_PRA_P90,SIM_PRA_STD,PR_PROJ,SIM_PR_P10,SIM_PR_P50,SIM_PR_P90,SIM_PR_STD,PA_PROJ,SIM_PA_P10,SIM_PA_P50,SIM_PA_P90,SIM_PA_STD,RA_PROJ,SIM_RA_P10,SIM_RA_P50,SIM_RA_P90,SIM_RA_STD,SB_PROJ,SIM_SB_P10,SIM_SB_P50,SIM_SB_P90,SIM_SB_STD,player_name,player_key,team,opponent,matchup,game_date,game_id,projected_minutes,pts_proj,pts_median,reb_proj,reb_median,ast_proj,ast_median,fg3m_proj,fg3m_median,stl_proj,stl_median,blk_proj,blk_median,pts_floor,pts_ceiling,pts_std,reb_floor,reb_ceiling,reb_std,ast_floor,ast_ceiling,ast_std,fg3m_floor,fg3m_ceiling,fg3m_std,stl_floor,stl_ceiling,stl_std,blk_floor,blk_ceiling,blk_std,confidence
2026-05-10,a'ja wilson,A'ja Wilson,LVA,LAS,LAS,LVA @ LAS,401856898,10000,,UNKNOWN,Medium,MEDIUM,34.56,34.68,31.48,34.62,37.65,2.38,24.28,,20.63,24.2,27.97,2.87,10.23,,8.43,10.17,12.12,1.45,3.89,,1.81,3.7,6.24,1.75,0.98,,0.23,0.87,1.83,0.66,1.66,,1.3,1.65,2.04,0.29,2.34,,1.98,2.33,2.73,0.29,38.41,33.69,38.27,43.36,3.8,34.51,30.34,34.46,38.76,3.31,28.17,23.93,28.01,32.63,3.41,14.12,11.3,13.98,17.15,2.3,4.01,3.48,4.0,4.56,0.42,A'ja Wilson,a'ja wilson,LVA,LAS,LVA @ LAS,2026-05-10,401856898,34.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,alyssa thomas,Alyssa Thomas,PHX,GSV,GSV,PHX @ GSV,401856900,10000,,UNKNOWN,Medium,MEDIUM,29.65,29.71,24.49,29.73,34.84,4.03,8.57,,5.34,8.36,12.07,2.65,6.47,,3.89,6.32,9.3,2.12,7.81,,4.8,7.61,11.08,2.48,0.3,,0.17,0.29,0.44,0.11,1.19,,0.26,1.04,2.29,0.85,0.44,,0.02,0.33,0.98,0.45,22.85,17.36,22.72,28.46,4.38,15.04,10.75,14.83,19.62,3.47,16.38,11.84,16.17,21.22,3.71,14.29,10.18,14.09,18.65,3.32,1.64,0.58,1.47,2.9,0.96,Alyssa Thomas,alyssa thomas,PHX,GSV,PHX @ GSV,2026-05-10,401856900,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,aneesah morrow,Aneesah Morrow,CON,SEA,SEA,CON vs SEA,401856896,10000,,UNKNOWN,Low,LOW,21.22,21.44,11.44,21.23,31.07,7.54,11.07,,5.56,10.48,17.21,4.63,8.82,,3.88,8.26,14.51,4.2,1.45,,0.58,1.34,2.46,0.76,0.83,,0.09,0.66,1.75,0.72,1.08,,0.35,0.98,1.93,0.64,0.69,,0.26,0.63,1.18,0.37,21.34,13.11,20.67,30.43,6.78,19.89,11.91,19.22,28.86,6.62,12.52,6.8,11.96,18.92,4.78,10.26,5.12,9.74,16.09,4.35,1.77,0.87,1.67,2.79,0.77,Aneesah Morrow,aneesah morrow,CON,SEA,CON vs SEA,2026-05-10,401856896,21.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-05-10,ariel atkins,Ariel Atkins,LAS,LVA,LVA,LAS vs LVA,401856898,10000,,UNKNOWN,Medium,MEDIUM,26.73,27.36,17.85,27.04,35.36,6.64,11.63,,4.84,10.86,19.35,5.86,3.77,,2.12,3.63,5.6,1.38,3.47,,1.51,3.26,5.72,1.68,1.18,,0.5,1.1,1.96,0.6,1.24,,0.52,1.16,2.06,0.62,0.51,,0.11,0.44,0.97,0.36,18.87,11.3,18.13,27.54,6.45,15.4,8.24,14.63,23.55,6.11,15.1,7.88,14.35,23.42,6.19,7.24,4.52,7.03,10.25,2.25,1.75,0.88,1.67,2.73,0.74,Ariel Atkins,ariel atkins,LAS,LVA,LAS vs LVA,2026-05-10,401856898,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,betnijah laney-hamilton,Betnijah Laney-Hamilton,NYL,WAS,WAS,NYL @ WAS,401856897,10000,,UNKNOWN,Medium,MEDIUM,27.06,27.15,20.38,27.1,33.78,5.17,10.27,,5.41,9.92,15.59,4.03,3.71,,1.88,3.56,5.7,1.51,2.93,,1.79,2.86,4.2,0.95,1.58,,0.57,1.45,2.73,0.88,0.99,,0.21,0.86,1.93,0.72,0.27,,0.14,0.26,0.42,0.11,16.91,11.41,16.52,22.92,4.56,13.98,8.75,13.6,19.77,4.39,13.21,8.09,12.85,18.7,4.2,6.64,4.42,6.49,9.05,1.82,1.27,0.47,1.14,2.23,0.73,Betnijah Laney-Hamilton,betnijah laney-hamilton,NYL,WAS,NYL @ WAS,2026-05-10,401856897,27.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,breanna stewart,Breanna Stewart,NYL,WAS,WAS,NYL @ WAS,401856897,10000,,UNKNOWN,Low,LOW,26.15,28.23,15.12,26.74,36.51,8.11,12.75,,6.45,12.13,19.81,5.31,5.39,,2.96,5.19,8.07,2.02,2.48,,0.81,2.25,4.39,1.47,0.71,,0.19,0.63,1.32,0.46,1.14,,0.3,1.0,2.17,0.77,1.24,,0.19,1.02,2.52,1.02,20.62,13.05,20.07,29.04,6.26,18.14,11.07,17.51,26.17,5.93,15.23,8.51,14.65,22.69,5.64,7.87,4.75,7.63,11.31,2.6,2.38,0.93,2.18,4.09,1.29,Breanna Stewart,breanna stewart,NYL,WAS,NYL @ WAS,2026-05-10,401856897,28.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-05-10,brittney griner,Brittney Griner,CON,SEA,SEA,CON vs SEA,401856896,10000,,UNKNOWN,Low,LOW,17.82,17.82,12.07,17.81,23.69,4.52,10.26,,6.12,9.91,14.83,3.45,5.31,,2.93,5.13,7.95,2.0,1.12,,0.4,1.04,1.94,0.61,0.19,,0.07,0.17,0.33,0.1,0.68,,0.17,0.6,1.27,0.46,1.2,,0.36,1.08,2.17,0.74,16.7,11.5,16.41,22.2,4.25,15.58,10.5,15.27,20.96,4.15,11.39,7.11,11.08,16.03,3.55,6.44,3.87,6.26,9.24,2.12,1.88,0.87,1.76,3.05,0.87,Brittney Griner,brittney griner,CON,SEA,CON vs SEA,2026-05-10,401856896,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-05-10,chelsea gray,Chelsea Gray,LVA,LAS,LAS,LVA @ LAS,401856898,10000,,UNKNOWN,Medium,MEDIUM,30.5,30.5,27.31,30.5,33.7,2.49,16.96,,14.35,16.88,19.69,2.11,3.37,,1.78,3.25,5.12,1.32,6.5,,4.89,6.45,8.18,1.3,1.98,,1.45,1.95,2.55,0.43,1.41,,0.73,1.36,2.15,0.55,0.31,,0.15,0.3,0.48,0.13,26.83,23.18,26.72,30.6,2.9,20.33,17.19,20.22,23.63,2.52,23.46,20.25,23.39,26.76,2.55,9.87,7.56,9.77,12.29,1.86,1.72,1.03,1.67,2.48,0.57,Chelsea Gray,chelsea gray,LVA,LAS,LVA @ LAS,2026-05-10,401856898,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,dearica hamby,Dearica Hamby,LAS,LVA,LVA,LAS vs LVA,401856898,10000,,UNKNOWN,Medium,MEDIUM,28.6,28.59,24.44,28.6,32.82,3.28,17.88,,12.47,17.58,23.56,4.4,7.09,,5.05,6.98,9.29,1.67,3.1,,1.39,2.92,4.99,1.46,0.38,,0.08,0.33,0.75,0.28,1.61,,0.42,1.44,3.01,1.06,0.46,,0.09,0.4,0.9,0.34,28.07,21.86,27.77,34.6,5.02,24.97,19.02,24.67,31.21,4.77,20.98,15.27,20.65,27.06,4.66,10.19,7.42,10.05,13.14,2.25,2.08,0.81,1.91,3.52,1.12,Dearica Hamby,dearica hamby,LAS,LVA,LAS vs LVA,2026-05-10,401856898,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,dewanna bonner,DeWanna Bonner,PHX,GSV,GSV,PHX @ GSV,401856900,10000,,UNKNOWN,Medium,MEDIUM,25.76,25.83,21.47,25.72,30.15,3.38,6.81,,3.08,6.5,10.87,3.13,3.42,,1.62,3.26,5.45,1.5,0.95,,0.15,0.8,1.9,0.75,1.41,,0.36,1.27,2.59,0.92,1.04,,0.06,0.8,2.29,0.99,0.49,,0.04,0.39,1.05,0.45,11.17,6.81,10.89,15.87,3.59,10.23,5.97,9.92,14.78,3.5,7.76,3.87,7.46,11.96,3.23,4.36,2.35,4.19,6.62,1.67,1.52,0.39,1.3,2.95,1.08,DeWanna Bonner,dewanna bonner,PHX,GSV,PHX @ GSV,2026-05-10,401856900,25.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,diamond miller,Diamond Miller,CON,SEA,SEA,CON vs SEA,401856896,10000,,UNKNOWN,Medium,MEDIUM,13.3,12.16,4.22,12.94,22.84,7.04,7.59,,2.73,6.94,13.24,4.31,2.69,,1.02,2.45,4.67,1.48,1.29,,0.3,1.09,2.5,0.93,0.63,,0.18,0.56,1.18,0.41,0.75,,0.16,0.63,1.49,0.56,0.5,,0.1,0.42,0.99,0.37,11.56,5.66,10.94,18.23,5.03,10.28,4.7,9.65,16.6,4.79,8.87,3.68,8.22,14.79,4.53,3.97,1.82,3.71,6.47,1.86,1.24,0.46,1.12,2.19,0.7,Diamond Miller,diamond miller,CON,SEA,CON vs SEA,2026-05-10,401856896,12.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,dominique malonga,Dominique Malonga,SEA,CON,CON,SEA @ CON,401856896,10000,,UNKNOWN,Low,LOW,16.25,16.33,9.12,16.22,23.35,5.57,10.45,,4.81,9.81,16.96,4.8,5.62,,2.43,5.25,9.27,2.75,1.19,,0.47,1.1,2.04,0.62,0.31,,0.03,0.24,0.67,0.28,0.87,,0.12,0.71,1.79,0.71,1.02,,0.17,0.86,2.09,0.8,17.27,10.19,16.64,25.19,5.89,16.07,9.16,15.45,23.87,5.79,11.64,5.87,11.0,18.26,4.89,6.82,3.48,6.45,10.68,2.88,1.89,0.67,1.71,3.32,1.08,Dominique Malonga,dominique malonga,SEA,CON,SEA @ CON,2026-05-10,401856896,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-05-10,flau'jae johnson,Flau'jae Johnson,SEA,CON,CON,SEA @ CON,401856896,10000,,UNKNOWN,Medium,MEDIUM,31.07,31.18,25.7,31.1,36.37,4.04,17.46,,13.16,17.26,22.05,3.51,5.98,,3.32,5.79,8.86,2.22,2.36,,1.05,2.23,3.81,1.1,1.68,,0.61,1.56,2.88,0.92,1.66,,0.61,1.54,2.82,0.9,0.79,,0.03,0.59,1.76,0.82,25.8,20.22,25.6,31.61,4.46,23.44,18.15,23.22,29.01,4.25,19.81,15.22,19.6,24.69,3.73,8.34,5.28,8.14,11.69,2.52,2.45,1.05,2.28,4.05,1.22,Flau'jae Johnson,flau'jae johnson,SEA,CON,SEA @ CON,2026-05-10,401856896,31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-05-10,gabby williams,Gabby Williams,GSV,PHX,PHX,GSV vs PHX,401856900,10000,,UNKNOWN,Medium,MEDIUM,26.89,27.21,19.67,26.92,34.31,5.57,8.83,,5.27,8.52,12.8,2.99,3.18,,1.48,3.01,5.06,1.43,2.87,,1.35,2.72,4.6,1.3,1.16,,0.27,1.01,2.21,0.81,1.33,,0.31,1.17,2.53,0.92,0.65,,0.09,0.53,1.35,0.54,14.89,10.32,14.64,19.76,3.7,12.02,7.84,11.76,16.47,3.4,11.71,7.68,11.42,16.13,3.31,6.06,3.68,5.87,8.65,1.96,1.98,0.75,1.83,3.39,1.07,Gabby Williams,gabby williams,GSV,PHX,GSV vs PHX,2026-05-10,401856900,27.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
