dimension,segment,n,minutes_mae,minutes_rmse,minutes_bias,mean_proj,mean_actual
experience,veteran,588,5.6134,7.225,-1.5116,25.95,27.46
injury_return,normal,529,5.6969,7.2784,-1.7683,25.77,27.54
injury_return,return(10d+ rest),59,4.8642,6.7279,0.79,27.55,26.76
overall,all,588,5.6134,7.225,-1.5116,25.95,27.46
position,UNK,462,5.9259,7.6083,-1.8767,25.02,26.89
position,F,36,5.2758,6.405,-1.1842,27.79,28.97
position,C,28,4.5468,5.7598,0.3925,29.18,28.79
position,G,62,3.9623,4.992,0.159,30.38,30.23
proj_minutes_bucket,<10,8,14.495,16.3897,-13.995,8.88,22.88
proj_minutes_bucket,10-18,69,9.0313,10.1146,-8.5217,14.54,23.06
proj_minutes_bucket,18-26,158,6.5971,7.9391,-2.7985,23.2,25.99
proj_minutes_bucket,26+,353,4.3037,5.7145,0.7176,29.8,29.08
role,bench,185,7.4749,9.1363,-4.5705,19.85,24.42
role,starter,403,4.7588,6.1519,-0.1073,28.75,28.86
team,POR,27,7.6696,8.6189,-7.6148,17.68,25.3
team,CON,32,7.2213,8.6478,-4.1531,19.13,23.28
team,NYL,42,7.001,9.0741,-3.3186,22.87,26.19
team,DAL,45,6.706,8.4477,1.5651,27.39,25.82
team,PHX,42,6.4783,7.5485,-4.7326,24.89,29.62
team,MIN,50,6.1746,8.216,-4.3382,25.52,29.86
team,TOR,35,6.0711,7.1917,-2.5489,25.02,27.57
team,WAS,32,5.9075,7.7603,0.77,27.96,27.19
team,SEA,42,5.5883,7.0029,-2.2812,22.81,25.1
team,GSV,41,5.3363,6.8934,1.8612,26.86,25.0
team,CHI,30,4.8797,6.4619,0.601,28.9,28.3
team,IND,37,4.5481,5.81,2.5297,29.15,26.62
team,LVA,49,4.5143,6.0139,1.8073,30.17,28.37
team,LAS,42,4.514,5.8024,-3.405,25.48,28.88
team,ATL,42,2.5088,3.1782,-0.9236,31.67,32.6
volatility,high(6+),140,6.634,8.1183,-2.1119,24.34,26.45
volatility,med(3-6),291,5.7635,7.4087,-1.5757,25.48,27.05
volatility,low(<3),157,4.4248,5.9159,-0.8575,28.26,29.12
