feature,tree_perm_importance_mae,tree_perm_std,ridge_abs_coef,rank
season_avg_minutes,1.3998612381821283,0.03211716865376537,6.150678391379579,1
points_ewm,0.2329785907235186,0.03152977254749511,1.1114786296175716,2
minutes_trend_3_over_10,0.055337401523223306,0.022223593474313044,1.311935897000472,3
points_rolling_mean_10,0.04527889558691758,0.008951680295224985,1.317917218725023,4
assists_ewm,0.04440301496855277,0.014304008751962305,1.5429277746687313,5
rebounds_ewm,0.04382207703878969,0.007261909145260857,1.234098804026718,6
team,0.032681007927021,0.005782897829701141,,7
rate_rebounds_last_10,0.01872717377017725,0.004470817490487434,1.232079689206997,8
rebounds_rolling_mean_10,0.017742723203657284,0.00788095149961967,2.5891508723591845,9
threes_made_rolling_std_5,0.016647749418194913,0.0028221927513001374,0.6025359051903784,10
points_rolling_mean_5,0.014224507671281472,0.005028868399903057,0.16269528586744314,11
rest_days,0.01379835410149326,0.00542194521452773,0.38333527988102467,12
player_threes_made_std_10,0.012978685658240785,0.003250510105274827,0.24445590311897303,13
rate_steals_last_10,0.010148523377105612,0.002812722538853998,0.37405182733593884,14
opponent_blocks_allowed_last_10,0.01000417781088565,0.004486399400199813,0.200100844650936,15
opponent_rebounds_allowed_last_10,0.009913628301260146,0.005871044361843251,0.01909672760813923,16
rebounds_rolling_mean_5,0.009809830652513618,0.003713754938168668,0.4339351703853941,17
blocks_rolling_std_3,0.0070529538665136116,0.0027865107179291127,0.18665791121979833,18
player_assists_std_10,0.007002955327626381,0.0021963602187010625,0.19417805590918288,19
points_rolling_std_5,0.006454228128098727,0.0033143186884655508,0.3082576140204665,20
season_avg_assists,0.006315566501619152,0.004095512831880066,1.093401363392891,21
points_rolling_mean_3,0.0059272867052577284,0.0032160744609463685,0.8491243470362878,22
assists_rolling_std_10,0.005909811203458659,0.0024517466730441056,0.01111202137765202,23
blocks_ewm,0.005633023709082252,0.001332044590931987,0.6082140864481643,24
player_steals_std_10,0.005094510151946707,0.005452659243653642,0.05713913170930856,25
threes_made_rolling_std_10,0.005063329552018913,0.004285075231663351,0.10635994258071352,26
opponent_assists_allowed_last_10,0.004733750477747556,0.001685316926771722,0.29835456545823874,27
season_avg_threes_made,0.004713968566674431,0.002700017868897885,0.3953216235025371,28
assists_rolling_mean_10,0.0043779815712929,0.0034121838434112376,1.9237853492888717,29
games_played_season,0.004351546518959637,0.0016765440150052053,0.17622251563140276,30
rebounds_rolling_mean_3,0.00435056558391036,0.003570940344216203,0.30806365478485387,31
rate_threes_made_last_10,0.003705922779014159,0.0011441825851828446,0.5114648742621904,32
player_rebounds_std_10,0.0035915278103443526,0.004805312398768676,0.21754796250048214,33
assists_rolling_std_5,0.003176876834224984,0.004546922441006756,0.04470055431421847,34
threes_made_ewm,0.0031337955800168514,0.003036416586647493,1.5530688961625247,35
opponent_points_allowed_last_10,0.003022538698544963,0.001613293342995989,0.5846957345117918,36
position,0.0028982130212815704,0.0011834958788016355,,37
