player_name,team,game_date,rotation_class,expected,floor,ceiling,volatility,actual
Aaliyah Edwards,CON,2026-05-08,,20.78,15.01,26.56,4.51,21.2
Aneesah Morrow,CON,2026-05-08,Injury Return,25.09,11.14,39.04,10.89,24.0
Brittney Griner,CON,2026-05-08,Injury Return,20.54,15.2,25.87,4.16,27.0
Charlisse Leger-Walker,CON,2026-05-08,Bench Flyer,21.84,16.07,27.62,4.51,21.0
Diamond Miller,CON,2026-05-08,Injury Return,18.81,7.05,30.58,9.18,25.0
Gianna Kneepkens,CON,2026-05-08,Bench Flyer,21.84,16.07,27.62,4.51,13.0
Hailey Van Lith,CON,2026-05-08,Injury Return,14.58,6.44,22.71,6.35,14.0
Kennedy Burke,CON,2026-05-08,Injury Return,21.2,15.44,26.96,4.49,24.0
Olivia Nelson-Ododa,CON,2026-05-08,Bench Flyer,21.84,16.07,27.62,4.51,15.0
Raegan Beers,CON,2026-05-08,Bench Flyer,21.84,16.07,27.62,4.51,11.0
Saniya Rivers,CON,2026-05-08,Injury Return,26.21,21.38,31.04,3.77,26.0
Cecilia Zandalasini,GSV,2026-05-08,Injury Return,23.66,8.51,38.82,11.82,7.0
Gabby Williams,GSV,2026-05-08,Injury Return,26.47,21.18,31.75,4.12,24.0
Janelle Salaun,GSV,2026-05-08,Bench Flyer,21.89,16.11,27.66,4.51,27.0
Kaila Charles,GSV,2026-05-08,Bench Flyer,21.89,16.11,27.66,4.51,17.0
Kaitlyn Chen,GSV,2026-05-08,Bench Flyer,21.89,16.11,27.66,4.51,16.0
Kayla Thornton,GSV,2026-05-08,Injury Return,27.45,20.51,34.39,5.41,30.0
Kiah Stokes,GSV,2026-05-08,Injury Return,12.09,6.26,17.92,4.55,24.0
Laeticia Amihere,GSV,2026-05-08,Bench Flyer,21.89,16.11,27.66,4.51,16.0
Miela Sowah,GSV,2026-05-08,Bench Flyer,21.89,16.11,27.66,4.51,3.0
Ndjakalenga Mwenentanda,GSV,2026-05-08,Bench Flyer,21.89,16.11,27.66,4.51,1.0
Tiffany Hayes,GSV,2026-05-08,Injury Return,24.75,18.99,30.51,4.49,4.0
Veronica Burton,GSV,2026-05-08,Injury Return,28.3,23.22,33.38,3.96,31.0
Aubrey Griffin,NYL,2026-05-08,Bench Flyer,21.85,16.07,27.62,4.51,5.0
Betnijah Laney-Hamilton,NYL,2026-05-08,Injury Return,24.18,22.26,26.1,1.5,28.0
Breanna Stewart,NYL,2026-05-08,Injury Return,26.09,19.52,32.66,5.13,28.0
Han Xu,NYL,2026-05-08,Injury Return,11.12,6.53,15.7,3.58,22.0
Jonquel Jones,NYL,2026-05-08,Injury Return,24.4,17.61,31.18,5.29,25.0
Julie Vanloo,NYL,2026-05-08,Bench Flyer,21.85,16.07,27.62,4.51,22.0
Marine Johannes,NYL,2026-05-08,Injury Return,15.11,5.15,25.06,7.77,28.0
Pauline Astier,NYL,2026-05-08,Bench Flyer,21.85,16.07,27.62,4.51,20.0
Rebekah Gardner,NYL,2026-05-08,Bench Flyer,21.85,16.07,27.62,4.51,22.0
Sabrina Ionescu,NYL,2026-05-08,,29.48,23.71,35.26,4.51,32.22
Satou Sabally,NYL,2026-05-08,,25.13,19.35,30.9,4.51,24.6
Dominique Malonga,SEA,2026-05-08,Injury Return,21.09,15.54,26.65,4.34,29.0
Flau'jae Johnson,SEA,2026-05-08,Injury Return,29.32,22.69,35.94,5.17,26.0
Grace VanSlooten,SEA,2026-05-08,Bench Flyer,22.1,16.32,27.87,4.51,7.0
Jade Melbourne,SEA,2026-05-08,Injury Return,21.04,17.58,24.5,2.7,17.0
Jordan Horston,SEA,2026-05-08,Bench Flyer,22.1,16.32,27.87,4.51,15.0
Lexie Brown,SEA,2026-05-08,Bench Flyer,22.1,16.32,27.87,4.51,22.0
Mackenzie Holmes,SEA,2026-05-08,Bench Flyer,22.1,16.32,27.87,4.51,11.0
