player_key,player_name,team,opponent,game_date,minutes,window_days,projected_minutes,points_proj_A,points_proj_B,points_proj_C,points_proj_D,points_actual,rebounds_proj_A,rebounds_proj_B,rebounds_proj_C,rebounds_proj_D,rebounds_actual,assists_proj_A,assists_proj_B,assists_proj_C,assists_proj_D,assists_actual,threes_made_proj_A,threes_made_proj_B,threes_made_proj_C,threes_made_proj_D,threes_made_actual,steals_proj_A,steals_proj_B,steals_proj_C,steals_proj_D,steals_actual,blocks_proj_A,blocks_proj_B,blocks_proj_C,blocks_proj_D,blocks_actual
cecilia zandalasini,Cecilia Zandalasini,GSV,LVA,2026-05-31,21.0,7,14.155333780029949,4.48084873320878,4.459077047416609,5.521354158606488,4.990215603011548,9.0,1.8452243467945382,1.837045411028617,1.5976603773904492,1.717352894209533,4.0,1.659690589182076,1.6555887956565656,1.413451461453714,1.5345201285551398,1.0,0.9313689356465287,0.9291721876326237,1.0589532900371263,0.9940627388348751,2.0,0.5752848776458342,0.5734099273201336,0.4595674003197958,0.5164886638199647,0.0,0.07407838087459671,0.07313801048557915,0.11070034207501366,0.0919191762802964,0.0
gabby williams,Gabby Williams,GSV,LVA,2026-05-31,26.0,7,25.533646406601076,9.275775831426314,9.653952659311635,11.275455473980337,10.464704066645986,20.0,3.542634132984167,3.7837445446215914,3.596473887226623,3.690109215924107,4.0,2.9363729896145547,3.145527981981523,2.9275782767889478,3.0365531293852355,1.0,1.187571327769049,1.2185188515624292,1.6409022794280452,1.4297105654952373,4.0,1.3712073442060237,1.3976214205810729,1.2047570622807569,1.3011892414309147,2.0,0.3428825438646087,0.35976685587504836,0.30612438890528104,0.3329456223901647,0.0
janelle salaun,Janelle Salaun,GSV,LVA,2026-05-31,21.0,7,24.381963262615848,8.772097950819099,10.02888539829631,10.512483001840785,10.270684200068548,16.0,3.2603338990754205,3.407988569933127,3.470837040836308,3.4394128053847175,4.0,1.4911079168055887,1.6834801171488354,1.4908998615391489,1.587189989343992,1.0,1.3194068760568674,1.5204434211489555,1.8942672852137021,1.7073553531813288,3.0,0.8721270221116235,0.9327670448429366,0.6679652799767115,0.8003661624098241,2.0,0.19540689386818558,0.21808114787761532,0.2203684594045981,0.2192248036411067,0.0
juste jocyte,Juste Jocyte,GSV,LVA,2026-05-31,5.0,7,10.16180421279213,1.2555501308072876,1.2381990360193682,2.789714198302193,2.0139566171607806,5.0,1.635867175661104,1.6066478657451342,1.0702125748116569,1.3384302202783955,1.0,1.7747939052068316,1.760140216797566,1.2138345713222742,1.48698739405992,1.0,0.395706830225916,0.38785893132285454,0.48721625981920447,0.4375375955710295,1.0,0.5829032633397362,0.5762049891129152,0.38549007039340305,0.48084752975315914,0.0,0.2697142127212055,0.26635473239040325,0.16328310745636915,0.2148189199233862,0.0
kaila charles,Kaila Charles,GSV,LVA,2026-05-31,11.0,7,20.548547698455423,6.33514747398889,5.798875889442322,7.019913517073701,6.409394703258012,0.0,5.6328128770425625,5.333727712235357,5.437136695327653,5.385432203781505,0.0,1.4885785842526016,1.4026194666179794,1.1994685773965565,1.301044022007268,1.0,0.8089248698025797,0.7706025985148417,0.9076277040616698,0.8391151512882558,0.0,0.8361546456587017,0.7761953162735845,0.6408005595495863,0.7084979379115854,0.0,0.37664753677057417,0.36024277439874997,0.35859155077322863,0.3594171625859893,0.0
kaitlyn chen,Kaitlyn Chen,GSV,LVA,2026-05-31,12.0,7,16.25597617893253,5.2693055833463704,4.823148982422683,6.028614629864908,5.425881806143796,5.0,2.150117479435038,1.9804307313091414,1.995163988885754,1.9877973600974477,1.0,1.5716482605788573,1.4756825613190547,1.3813783962561472,1.428530478787601,3.0,0.5290147026898017,0.44671471850712796,0.5923009669844032,0.5195078427457656,1.0,0.5801800290031235,0.5558370131917727,0.4469004378112702,0.5013687255015215,0.0,0.17186145508706857,0.16248395962839318,0.16062947956484008,0.16155671959661663,0.0
kayla thornton,Kayla Thornton,GSV,LVA,2026-05-31,27.0,7,21.995681027271544,6.412078550963665,5.7869092745343345,7.193462432660076,6.490185853597206,12.0,4.535642130320163,4.376837762154737,4.5990352052156105,4.487936483685173,4.0,1.3578658146955762,1.2473358256551994,1.2253547746409825,1.2363453001480909,0.0,1.0411827968560199,0.9673139664968513,1.0572911919080978,1.0123025792024745,4.0,1.0021621455445138,0.9664259722119855,0.7292639906630124,0.8478449814374989,2.0,0.4773420920148407,0.45941882292441627,0.3740403086318021,0.41672956577810916,0.0
kiah stokes,Kiah Stokes,GSV,LVA,2026-05-31,24.0,7,19.590721302938007,3.352039687329009,1.5690194228995664,4.0643689056342875,2.816694164266927,0.0,4.7660127739618945,4.205146936335649,3.981226999321504,4.093186967828577,7.0,1.760900839525294,1.5552509549726938,1.3645375375566864,1.4598942462646902,0.0,0.34251167812098027,0.22682877843309882,0.3947496761995795,0.3107892273163392,0.0,0.9022822268185107,0.782983551916818,0.7570977091850775,0.7700406305509477,1.0,1.2204357186646644,1.1116602495901826,1.2123297101281678,1.161994979859175,0.0
laeticia amihere,Laeticia Amihere,GSV,LVA,2026-05-31,7.0,7,14.67222114052402,3.6269057750467217,3.8570136557929176,5.066797567309008,4.4619056115509625,2.0,4.31837141123721,4.411008762110448,4.24814340839536,4.329576085252905,4.0,1.4952674116193285,1.6112767231101601,1.3225572885795747,1.4669170058448673,2.0,0.027898619579340877,0.027898619579340877,0.1186227389640134,0.07326067927167713,0.0,0.5716020562306016,0.6088216783601149,0.4601174454214505,0.5344695618907827,0.0,0.7013520652768089,0.7730688408109242,0.8329778333137087,0.8030233370623164,0.0
ndjakalenga mwenentanda,Ndjakalenga Mwenentanda,GSV,LVA,2026-05-31,4.0,7,5.0,0.8972301574968504,0.9742156196530594,1.2068563994218156,1.0905360095374375,0.0,0.7103684243717775,0.9530336841840845,0.6558055839970109,0.8044196340905477,1.0,0.21841712140159053,0.3194652370650195,0.402415968677015,0.36094060287101726,0.0,0.17769869439691968,0.1816582131416419,0.19683465931036725,0.18924643622600457,0.0,0.27473017108290143,0.30443903121738924,0.21540160457770519,0.2599203178975472,0.0,0.14767789553400157,0.1844702214832526,0.021538292704779274,0.10300425709401594,0.0
tiffany hayes,Tiffany Hayes,GSV,LVA,2026-05-31,14.0,7,14.240994844207059,3.933529806321648,4.54709637395997,5.62823194029976,5.087664157129865,5.0,1.8521064360350714,2.0014536434242385,1.7775939949164339,1.889523819170336,0.0,1.9182699780603254,1.9633752533465783,1.505731065395024,1.734553159370801,1.0,0.3733509102448369,0.40191702791791506,0.6311175136026185,0.5165172707602668,0.0,0.6463328533953034,0.6669507002134837,0.48213973629069834,0.574545218252091,1.0,0.10825213673030391,0.12038728767098462,0.1299122224614027,0.12514975506619366,0.0
veronica burton,Veronica Burton,GSV,LVA,2026-05-31,28.0,7,27.568438059800044,13.159511149015797,13.152252417810072,13.769040082897419,13.460646250353745,7.0,3.699758663944486,3.697031787539947,3.7293630858076345,3.7131974366737905,3.0,6.199792976664785,6.198425429064325,5.758979872465765,5.978702650765045,5.0,1.3884303396131243,1.3876979386630157,1.483685987154878,1.4356919629089469,1.0,1.3749769923829542,1.3743518795383052,1.2406410896650557,1.3074964846016806,1.0,0.5690342214244348,0.5687206997269024,0.7840689625684506,0.6763948311476765,0.0
a'ja wilson,A'ja Wilson,LVA,GSV,2026-05-31,36.0,7,32.36823226236035,20.947142411849242,21.778923355094673,23.142611213753472,22.460767284424072,28.0,8.802511595318178,9.006227949068318,8.774066631323523,8.89014729019592,15.0,2.4655404716985787,2.506917522409489,2.6571682856164145,2.582042904012952,4.0,0.8476890254185383,0.8963547932105131,1.4404779621118022,1.1684163776611576,0.0,1.0892432337591436,1.1203034957197135,0.7915779900254863,0.9559407428725999,1.0,2.3307356445356304,2.3681898413277986,1.9647990571556038,2.1664944492417013,4.0
