player_name,team,game_date,min_avg_3,min_avg_5,min_avg_10,min_std_5,min_std_10,starts_last_10,consec_starts,consec_bench,minutes_trend,usage_trend,availability,rotation_class
Alex Fowler,NYL,2026-05-21,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,active,Bench Flyer
Kamiah Smalls,POR,2026-05-14,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,active,Bench Flyer
Maddy Siegrist,DAL,2026-06-05,15.0,13.8,15.1,6.98,5.88,3.0,1.0,0.0,-0.1,0.07,active,Bench Flyer
Ashlon Jackson,CON,2026-06-05,13.33,13.75,13.75,3.4,3.4,0.0,0.0,4.0,-0.42,-0.01,active,Bench Flyer
Lexie Brown,SEA,2026-06-01,11.0,13.6,16.0,5.22,5.0,1.0,0.0,4.0,-5.0,0.08,active,Bench Flyer
Haley Jones,POR,2026-05-20,12.67,13.4,20.2,5.59,9.09,6.0,0.0,4.0,-7.53,-0.01,active,Bench Flyer
Kiana Williams,PHX,2026-05-27,14.33,13.0,14.0,4.47,4.8,0.0,0.0,7.0,0.33,-0.03,active,Bench Flyer
Lexi Held,PHX,2026-06-05,11.33,13.0,8.9,6.67,6.51,1.0,0.0,4.0,2.43,0.14,active,Bench Flyer
Antonia Delaere,MIN,2026-06-06,16.0,13.0,13.5,6.67,5.64,1.0,0.0,1.0,2.5,0.05,active,Bench Flyer
Laeticia Amihere,GSV,2026-06-02,13.33,12.8,14.38,4.38,5.29,1.0,0.0,2.0,-1.04,0.1,active,Bench Flyer
Angela Dugalic,WAS,2026-06-02,15.0,12.8,12.29,4.32,3.68,0.0,0.0,7.0,2.71,0.22,active,Bench Flyer
Frieda Buhner,POR,2026-06-05,12.67,12.8,12.38,1.64,2.2,0.0,0.0,8.0,0.29,0.01,active,Bench Flyer
Liatu King,MIN,2026-05-29,12.67,12.67,12.67,5.51,5.51,0.0,0.0,3.0,0.0,0.0,active,Bench Flyer
Lauren Betts,WAS,2026-06-02,11.33,12.6,19.2,2.07,10.44,3.0,0.0,7.0,-7.87,-0.1,active,Bench Flyer
Han Xu,NYL,2026-06-03,14.67,12.6,12.6,4.04,7.6,2.0,0.0,7.0,2.07,0.23,active,Bench Flyer
Kierstan Bell,LVA,2026-06-06,15.0,12.4,13.5,5.86,5.89,1.0,1.0,0.0,1.5,0.04,active,Bench Flyer
Te-Hina Paopao,ATL,2026-06-04,11.0,12.0,16.25,2.55,8.78,1.0,0.0,5.0,-5.25,-0.21,active,Bench Flyer
Kyara Linskens,PHX,2026-06-05,14.67,11.8,10.89,6.02,5.04,0.0,0.0,9.0,3.78,-0.12,active,Bench Flyer
Chance Gray,LAS,2026-06-05,15.67,11.8,11.75,6.83,5.6,0.0,0.0,8.0,3.92,0.17,active,Bench Flyer
Karlie Samuelson,POR,2026-06-05,14.33,11.8,12.1,5.72,5.7,6.0,0.0,4.0,2.23,-0.01,active,Bench Flyer
Teonni Key,TOR,2026-06-03,10.0,11.4,11.44,2.7,3.97,0.0,0.0,9.0,-1.44,-0.11,active,Bench Flyer
Anastasiia Olairi Kosu,MIN,2026-06-06,12.0,11.4,9.22,5.32,4.68,0.0,0.0,9.0,2.78,0.16,active,Bench Flyer
