variant,threshold,coverage,n_resolved,qualified_winrate,brier,log_loss,roi_proxy
A_production,0.5,732,715,0.6168,0.2253,0.6412,0.1775
A_production,0.52,706,690,0.6232,0.2244,0.6393,0.1897
A_production,0.54,667,652,0.6396,0.2223,0.635,0.221
A_production,0.56,635,624,0.6458,0.2209,0.632,0.233
A_production,0.58,601,592,0.6639,0.2176,0.6253,0.2674
A_production,0.6,558,549,0.6776,0.2143,0.6183,0.2936
C_variant,0.5,740,722,0.6136,0.2274,0.6457,0.1714
C_variant,0.52,711,695,0.6245,0.2263,0.6435,0.1922
C_variant,0.54,675,660,0.6318,0.2248,0.6404,0.2062
C_variant,0.56,634,623,0.6437,0.2227,0.636,0.2288
C_variant,0.58,603,593,0.656,0.2204,0.6312,0.2523
C_variant,0.6,563,553,0.6727,0.2168,0.6238,0.2842
