team,is_target,n_min,minutes_mae,minutes_bias,n_proj,proj_mae,pace_season,off_rating_season,def_rating_season
POR,False,27,7.67,-7.615,162,2.33,,,
WAS,True,32,5.908,0.77,192,2.267,,,
LVA,False,49,4.514,1.807,294,2.14,79.65,104.02,101.08
TOR,False,35,6.071,-2.549,210,2.124,,,
NYL,False,42,7.001,-3.319,252,2.102,79.69,104.71,101.3
DAL,False,45,6.706,1.565,270,2.082,,,
CHI,True,30,4.88,0.601,180,2.055,,,
ATL,False,42,2.509,-0.924,252,2.039,,,
MIN,False,50,6.175,-4.338,300,2.002,,,
PHX,False,42,6.478,-4.733,252,1.938,,,
GSV,True,41,5.336,1.861,246,1.921,,,
IND,False,37,4.548,2.53,222,1.838,80.16,103.89,100.39
LAS,False,42,4.514,-3.405,252,1.798,,,
SEA,False,42,5.588,-2.281,252,1.756,,,
CON,False,32,7.221,-4.153,192,1.746,79.36,102.89,100.66
