generated_at_utc,data_through,window_days,n_val,n_bets,A_minutes_mae,C_minutes_mae,A_minutes_rmse,C_minutes_rmse,A_proj_mae,C_proj_mae,A_proj_rmse,C_proj_rmse,A_brier,C_brier,A_log_loss,C_log_loss,A_coverage,C_coverage,A_accuracy,C_accuracy
2026-06-07T00:59:51.205452+00:00,2026-06-06,7,359,195,4.3756,4.2118,5.6014,5.3945,1.5326,1.4922,2.5739,2.5061,0.2654,0.269,0.7261,0.734,102,105,0.55,0.5294
2026-06-07T00:59:51.205452+00:00,2026-06-06,14,807,399,4.4674,4.1765,5.8739,5.432,1.5287,1.4888,2.5575,2.4767,0.2549,0.2542,0.7039,0.7025,247,248,0.5809,0.5809
2026-06-07T00:59:51.205452+00:00,2026-06-06,30,1755,941,5.0271,4.9657,6.6219,6.5046,1.5867,1.6122,2.6971,2.6818,0.2553,0.2524,0.7057,0.6989,687,678,0.5848,0.5837
2026-06-08T12:02:49.579060+00:00,2026-06-07,7,433,238,4.2716,4.0007,5.5203,5.1595,1.5188,1.4892,2.5172,2.4814,0.257,0.2547,0.7095,0.7047,130,134,0.5859,0.6031
2026-06-08T12:02:49.579060+00:00,2026-06-07,14,832,432,4.3724,4.0511,5.7746,5.3345,1.5198,1.4924,2.5152,2.4725,0.258,0.2546,0.7107,0.7036,253,270,0.576,0.5902
2026-06-08T12:02:49.579060+00:00,2026-06-07,30,1784,928,4.8787,4.7537,6.4237,6.2019,1.5718,1.5959,2.6435,2.6409,0.2525,0.2522,0.6995,0.6991,669,672,0.5802,0.5957
2026-06-15T12:03:02.772082+00:00,2026-06-14,7,467,299,4.4492,4.0843,5.5568,5.224,1.5525,1.5289,2.7162,2.6689,0.2643,0.2626,0.7229,0.7196,214,208,0.4739,0.4854
2026-06-15T12:03:02.772082+00:00,2026-06-14,14,902,540,4.3031,4.0714,5.4683,5.221,1.5383,1.508,2.6179,2.576,0.258,0.2575,0.7103,0.7093,350,347,0.5217,0.5205
2026-06-15T12:03:02.772082+00:00,2026-06-14,30,1809,1036,4.4135,4.302,5.7122,5.6226,1.5401,1.5177,2.605,2.5761,0.2503,0.2509,0.694,0.6955,693,693,0.5652,0.5658
2026-06-22T12:03:06.716868+00:00,2026-06-21,7,454,257,4.4435,4.2735,5.6317,5.5046,1.5368,1.5041,2.6562,2.5924,0.2618,0.2603,0.7177,0.7148,200,198,0.5,0.5131
2026-06-22T12:03:06.716868+00:00,2026-06-21,14,921,556,4.3689,4.2014,5.5136,5.3813,1.5341,1.5222,2.682,2.6344,0.2632,0.2636,0.7208,0.7217,415,400,0.4888,0.4885
2026-06-22T12:03:06.716868+00:00,2026-06-21,30,1897,1060,4.2722,4.2449,5.4776,5.456,1.5234,1.5106,2.6024,2.5578,0.2572,0.2558,0.7084,0.7055,722,706,0.522,0.539
2026-06-29T12:03:12.003282+00:00,2026-06-28,7,511,319,4.9022,4.6288,6.3907,6.2176,1.5456,1.5417,2.7556,2.753,0.2692,0.2679,0.7332,0.7301,261,266,0.4667,0.4749
2026-06-29T12:03:12.003282+00:00,2026-06-28,14,965,576,4.6506,4.4738,6.0006,5.9024,1.5366,1.5279,2.7032,2.6844,0.2657,0.2642,0.7259,0.7228,458,458,0.4775,0.4899
2026-06-29T12:03:12.003282+00:00,2026-06-28,30,1961,1164,4.3937,4.319,5.6601,5.6407,1.526,1.5178,2.6534,2.6359,0.2621,0.2629,0.7186,0.7203,821,818,0.4975,0.5056
2026-07-06T12:02:52.372928+00:00,2026-07-05,7,232,84,4.3634,4.2267,5.6414,5.4378,1.4453,1.4663,2.5303,2.5265,0.291,0.3055,0.7792,0.8136,64,67,0.3968,0.4242
2026-07-06T12:02:52.372928+00:00,2026-07-05,14,1028,403,4.7213,4.595,6.3314,6.1422,1.4437,1.4398,2.6051,2.5622,0.2696,0.2753,0.7349,0.7486,303,314,0.4764,0.4787
2026-07-06T12:02:52.372928+00:00,2026-07-05,30,2682,1028,4.4108,4.3844,5.832,5.7842,1.4408,1.4351,2.588,2.5284,0.2623,0.2662,0.7189,0.7279,677,706,0.4848,0.4906
