GAME_DATE,PLAYER_KEY,PLAYER,TEAM,OPPONENT,MATCHUP,STAT,STAT_LABEL,PROJECTION,MEDIAN,FLOOR,CEILING,STDDEV,MIN,CONFIDENCE,ACTIVE_PROB,INJURY_STATUS,SIM_RUNS,CONFIDENCE_RANK
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,AST,Assists,5.67,5.0,3.0,9.0,2.5,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,AST,Assists,4.79,4.0,1.0,9.0,3.16,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,AST,Assists,3.02,3.0,1.0,6.0,2.09,27.65,Low,,UNKNOWN,10000,1
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,AST,Assists,2.33,2.0,0.0,4.0,1.58,29.13,Low,,UNKNOWN,10000,1
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,AST,Assists,1.38,1.0,0.0,3.0,1.41,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,AST,Assists,1.03,0.0,0.0,3.0,2.47,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,AST,Assists,0.75,0.0,0.0,2.0,1.64,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,AST,Assists,0.6,0.0,0.0,2.0,2.2,19.65,Low,,UNKNOWN,10000,1
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,AST,Assists,0.51,0.0,0.0,2.0,0.84,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,AST,Assists,0.41,0.0,0.0,1.0,0.82,11.87,Medium,,UNKNOWN,10000,2
