GAME_DATE,PLAYER_KEY,PLAYER_NAME,TEAM_ABBREVIATION,OPPONENT_ABBREVIATION,OPPONENT,MATCHUP,GAME_ID,SIM_RUNS,ACTIVE_PROB,INJURY_STATUS,CONFIDENCE_LABEL,MODEL_CONFIDENCE,MIN_PROJ,PRED_MIN,SIM_MIN_P10,SIM_MIN_P50,SIM_MIN_P90,SIM_MIN_STD,PTS_PROJ,PRED_PTS,SIM_PTS_P10,SIM_PTS_P50,SIM_PTS_P90,SIM_PTS_STD,REB_PROJ,PRED_REB,SIM_REB_P10,SIM_REB_P50,SIM_REB_P90,SIM_REB_STD,AST_PROJ,PRED_AST,SIM_AST_P10,SIM_AST_P50,SIM_AST_P90,SIM_AST_STD,FG3M_PROJ,PRED_FG3M,SIM_FG3M_P10,SIM_FG3M_P50,SIM_FG3M_P90,SIM_FG3M_STD,STL_PROJ,PRED_STL,SIM_STL_P10,SIM_STL_P50,SIM_STL_P90,SIM_STL_STD,BLK_PROJ,PRED_BLK,SIM_BLK_P10,SIM_BLK_P50,SIM_BLK_P90,SIM_BLK_STD,PRA_PROJ,SIM_PRA_P10,SIM_PRA_P50,SIM_PRA_P90,SIM_PRA_STD,PR_PROJ,SIM_PR_P10,SIM_PR_P50,SIM_PR_P90,SIM_PR_STD,PA_PROJ,SIM_PA_P10,SIM_PA_P50,SIM_PA_P90,SIM_PA_STD,RA_PROJ,SIM_RA_P10,SIM_RA_P50,SIM_RA_P90,SIM_RA_STD,SB_PROJ,SIM_SB_P10,SIM_SB_P50,SIM_SB_P90,SIM_SB_STD,player_name,player_key,team,opponent,matchup,game_date,game_id,projected_minutes,pts_proj,pts_median,reb_proj,reb_median,ast_proj,ast_median,fg3m_proj,fg3m_median,stl_proj,stl_median,blk_proj,blk_median,pts_floor,pts_ceiling,pts_std,reb_floor,reb_ceiling,reb_std,ast_floor,ast_ceiling,ast_std,fg3m_floor,fg3m_ceiling,fg3m_std,stl_floor,stl_ceiling,stl_std,blk_floor,blk_ceiling,blk_std,confidence
2026-08-08,a'ja wilson,A'ja Wilson,LVA,MIN,MIN,LVA @ MIN,,10000,,UNKNOWN,Low,LOW,31.88,34.31,25.1,32.48,38.06,4.99,24.17,,14.29,23.22,35.19,8.31,9.36,,4.67,8.73,14.94,4.14,3.13,,1.0,3.0,6.0,1.9,1.0,,0.0,1.0,2.0,1.03,1.32,,0.0,1.0,3.0,1.18,1.84,,0.0,2.0,4.0,1.39,40.08,26.18,39.05,55.05,11.33,36.4,23.34,35.51,50.67,10.73,29.64,18.31,28.64,42.26,9.51,12.49,6.94,11.92,18.93,4.75,3.17,1.0,3.0,6.0,1.87,A'ja Wilson,a'ja wilson,LVA,MIN,LVA @ MIN,2026-08-08,,34.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-08-08,aicha coulibaly,Aicha Coulibaly,CHI,IND,IND,CHI vs IND,,10000,,UNKNOWN,Medium,MEDIUM,15.53,15.41,7.3,15.4,23.7,6.27,5.31,,1.88,4.7,9.59,3.21,3.72,,1.34,3.31,6.62,2.17,0.59,,0.0,0.0,2.0,0.81,0.15,,0.0,0.0,1.0,0.39,0.52,,0.0,0.0,2.0,0.75,0.38,,0.0,0.0,1.0,0.64,14.33,5.79,13.33,24.27,7.38,13.55,5.51,12.52,22.86,7.04,9.18,3.24,8.25,16.3,5.41,4.3,1.5,3.9,7.61,2.47,0.9,0.0,1.0,2.0,1.02,Aicha Coulibaly,aicha coulibaly,CHI,IND,CHI vs IND,2026-08-08,,15.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,aliyah boston,Aliyah Boston,IND,CHI,CHI,IND @ CHI,,10000,0.85,DAY-TO-DAY,Low,LOW,21.01,23.26,8.93,21.14,33.05,8.9,15.46,,6.39,15.38,24.46,6.84,7.29,,2.85,6.99,12.06,3.57,2.88,,0.0,2.0,6.0,2.34,1.11,,0.0,1.0,3.0,1.22,1.45,,0.0,1.0,4.0,1.66,1.14,,0.0,1.0,3.0,1.18,20.23,8.28,20.06,32.15,9.02,19.27,7.96,19.15,30.55,8.53,14.41,5.89,14.27,22.96,6.5,10.17,3.81,9.78,16.97,5.09,2.59,0.0,2.0,5.0,2.19,Aliyah Boston,aliyah boston,IND,CHI,IND @ CHI,2026-08-08,,23.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-08-08,anastasiia olairi kosu,Anastasiia Olairi Kosu,MIN,LVA,LVA,MIN vs LVA,,10000,,UNKNOWN,Medium,MEDIUM,9.07,8.53,3.1,8.81,15.19,4.61,3.57,,0.68,2.79,7.4,3.03,2.02,,0.19,1.28,4.72,2.31,0.74,,0.0,0.0,2.0,1.11,0.28,,0.0,0.0,1.0,0.56,0.45,,0.0,0.0,2.0,0.98,0.2,,0.0,0.0,1.0,0.47,5.46,1.3,4.56,10.75,3.99,5.72,1.34,4.65,11.47,4.36,3.57,0.7,2.88,7.31,2.83,2.76,0.28,2.01,6.11,2.7,0.65,0.0,0.0,2.0,1.1,Anastasiia Olairi Kosu,anastasiia olairi kosu,MIN,LVA,MIN vs LVA,2026-08-08,,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,antonia delaere,Antonia Delaere,MIN,LVA,LVA,MIN vs LVA,,10000,,UNKNOWN,Medium,MEDIUM,13.33,12.67,4.71,12.94,22.2,6.62,3.52,,0.17,1.9,8.84,4.53,1.11,,0.13,0.75,2.53,1.16,0.77,,0.0,1.0,2.0,0.96,0.86,,0.0,0.0,2.0,1.26,0.36,,0.0,0.0,1.0,0.72,0.13,,0.0,0.0,1.0,0.36,8.88,1.4,6.33,19.27,8.71,7.81,1.06,5.15,17.75,8.36,7.21,0.59,4.54,16.88,8.22,1.88,0.2,1.5,4.0,1.64,0.48,0.0,0.0,2.0,0.82,Antonia Delaere,antonia delaere,MIN,LVA,MIN vs LVA,2026-08-08,,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,awa fam,Awa Fam,SEA,POR,POR,SEA @ POR,,10000,,UNKNOWN,Medium,MEDIUM,27.95,28.13,24.65,27.94,31.25,2.58,7.36,,3.04,6.7,12.61,3.94,5.4,,2.38,4.95,9.09,2.68,1.75,,0.0,2.0,4.0,1.36,1.19,,0.0,1.0,3.0,1.17,0.81,,0.0,0.0,3.0,1.53,0.97,,0.0,1.0,2.0,1.01,19.95,11.73,19.03,29.41,7.11,17.01,9.51,16.09,25.74,6.56,13.43,6.34,12.45,21.74,6.24,7.15,3.56,6.75,11.23,3.07,1.79,0.0,1.0,4.0,1.83,Awa Fam,awa fam,SEA,POR,SEA @ POR,2026-08-08,,28.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,azura stevens,Azura Stevens,CHI,IND,IND,CHI vs IND,,10000,,UNKNOWN,Medium,MEDIUM,31.13,31.33,27.81,31.15,34.45,2.59,15.52,,9.54,14.89,22.29,5.07,8.8,,4.98,8.37,13.12,3.28,3.1,,1.0,3.0,6.0,1.83,1.36,,0.0,1.0,3.0,1.26,1.35,,0.0,1.0,3.0,1.19,0.62,,0.0,0.0,2.0,1.39,27.41,19.44,26.7,36.23,6.66,23.17,16.15,22.51,31.14,5.97,19.3,12.45,18.67,26.97,5.71,11.9,7.39,11.5,16.9,3.81,1.97,0.0,2.0,4.0,1.83,Azura Stevens,azura stevens,CHI,IND,CHI vs IND,2026-08-08,,31.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,bree hall,Bree Hall,IND,CHI,CHI,IND @ CHI,,10000,,UNKNOWN,Medium,MEDIUM,8.62,8.0,2.76,8.31,14.74,4.55,3.1,,0.54,2.34,6.67,2.75,1.06,,0.33,1.01,1.83,0.58,0.38,,0.0,0.0,1.0,0.64,0.59,,0.0,0.0,2.0,0.84,0.19,,0.0,0.0,1.0,0.45,0.14,,0.0,0.0,1.0,0.39,4.44,1.09,3.76,8.68,3.24,3.11,0.81,2.61,6.04,2.27,3.6,0.63,2.84,7.48,3.03,1.44,0.35,1.23,2.78,0.98,0.33,0.0,0.0,1.0,0.6,Bree Hall,bree hall,IND,CHI,IND @ CHI,2026-08-08,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,brianna turner,Brianna Turner,LVA,MIN,MIN,LVA @ MIN,,10000,,UNKNOWN,Medium,MEDIUM,14.05,13.25,4.7,13.66,23.6,7.11,4.37,,1.38,4.1,7.58,2.45,3.22,,1.05,3.09,5.46,1.68,0.6,,0.0,0.0,2.0,0.84,0.25,,0.0,0.0,1.0,0.51,0.41,,0.0,0.0,1.0,0.68,0.65,,0.0,0.0,2.0,0.88,6.43,2.09,6.14,10.98,3.44,6.33,2.06,6.05,10.75,3.35,3.82,1.17,3.55,6.7,2.18,3.82,1.17,3.63,6.67,2.13,1.06,0.0,1.0,3.0,1.17,Brianna Turner,brianna turner,LVA,MIN,LVA @ MIN,2026-08-08,,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,bridget carleton,Bridget Carleton,POR,SEA,SEA,POR vs SEA,,10000,0.85,DAY-TO-DAY,Low,LOW,28.99,33.01,20.94,29.44,36.67,5.98,12.86,,6.02,11.89,20.88,6.07,3.86,,1.72,3.48,6.5,1.97,2.65,,1.0,2.0,5.0,1.73,2.63,,0.0,2.0,5.0,1.93,1.17,,0.0,1.0,3.0,1.18,0.45,,0.0,0.0,2.0,0.87,20.01,11.24,19.11,29.86,7.51,16.14,8.72,15.26,24.73,6.5,16.97,8.73,15.93,26.55,7.19,6.52,3.22,6.19,10.22,2.79,1.62,0.0,1.0,4.0,1.49,Bridget Carleton,bridget carleton,POR,SEA,POR vs SEA,2026-08-08,,33.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
